,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Craig Barlow,95,"9' 2""",542.0830000000001,59,128
1,2,2,Corey Pavin,88,"9' 4""",496.0,53,4
2,T3,T3,Jeff Brehaut,110,"9' 7""",528.5830000000001,55,61
3,T3,T3,Rory Sabbatini,95,"9' 7""",469.083,49,113
4,5,5,Chris Riley,96,"9' 11""",425.667,43,2
5,T6,T6,Jim Carter,95,"10' 1""",565.1669999999999,56,81
6,T6,T6,Michael Clark II,54,"10' 1""",452.0,45,189
7,T6,T6,Arron Oberholser,80,"10' 1""",523.3330000000001,52,1
8,9,9,Justin Leonard,80,"10' 3""",378.417,37,38
9,T10,T10,Luke Donald,88,"10' 4""",382.5,37,143
10,T10,T10,Tom Pernice Jr.,105,"10' 4""",620.0830000000001,60,28
11,12,12,Jonathan Byrd,101,"10' 5""",637.0830000000001,61,93
12,13,13,Chris Anderson,96,"10' 6""",546.0830000000001,52,70
13,14,14,Kevin Sutherland,97,"10' 7""",571.8330000000001,54,64
14,T15,T15,Tommy Armour III,66,"10' 9""",278.41700000000003,26,144
15,T15,T15,Tim Clark,79,"10' 9""",247.833,23,105
16,T15,T15,John Huston,76,"10' 9""",279.5,26,127
17,T15,T15,Steve Stricker,59,"10' 9""",375.417,35,12
18,T19,T19,Brian Gay,100,"10' 10""",532.5,49,59
19,T19,T19,Len Mattiace,94,"10' 10""",724.9169999999999,67,79
20,21,21,Thomas Levet,85,"10' 11""",326.58299999999997,30,168
21,22,22,Vijay Singh,106,"11' 1""",645.1669999999999,58,3
22,23,23,Tom Lehman,87,"11' 2""",425.5,38,174
23,T24,T24,Notah Begay III,92,"11' 3""",718.9169999999999,64,84
