,Scrambling_from__30_yards_RANK THIS WEEK,Scrambling_from__30_yards_RANK LAST WEEK,Scrambling_from__30_yards_PLAYER NAME,Scrambling_from__30_yards_ROUNDS,Scrambling_from__30_yards_%,Scrambling_from__30_yards_SUCCESSES,Scrambling_from__30_yards_ATTEMPTS
0,1,1,Arron Oberholser,80,41.18,28,68
1,2,2,Paul Goydos,86,40.74,33,81
2,3,3,Paul Gow,62,39.13,18,46
3,4,4,Glen Hnatiuk,92,38.96,30,77
4,5,5,Bernhard Langer,65,38.81,26,67
5,T6,T6,Retief Goosen,69,38.71,12,31
6,T6,T6,Loren Roberts,87,38.71,24,62
7,8,8,Mike Weir,80,38.46,20,52
8,9,9,Billy Mayfair,105,38.37,33,86
9,10,10,John Senden,111,38.33,23,60
10,11,11,Corey Pavin,88,38.2,34,89
11,12,12,Pat Bates,111,38.1,32,84
12,13,13,Steve Allan,53,38.0,19,50
13,14,14,Scott Verplank,97,37.5,27,72
14,15,15,Rod Pampling,87,37.25,19,51
15,16,16,Jonathan Byrd,101,37.14,26,70
16,17,17,Kirk Triplett,92,36.62,26,71
17,18,18,Len Mattiace,94,36.45,39,107
18,19,19,Bob Tway,89,36.36,28,77
19,T20,T20,Bob Estes,92,36.0,27,75
20,T20,T20,Shigeki Maruyama,87,36.0,27,75
21,T20,T20,Geoff Ogilvy,86,36.0,27,75
22,T20,T20,Vijay Singh,106,36.0,18,50
23,24,24,Brandt Jobe,77,35.94,23,64
24,25,25,Brad Faxon,97,35.79,34,95
25,26,26,Duffy Waldorf,90,35.19,19,54
26,27,27,Mark Calcavecchia,84,34.48,20,58
27,T28,T28,Brian Gay,100,34.29,36,105
28,T28,T28,Cliff Kresge,102,34.29,24,70
29,30,30,Billy Andrade,100,34.25,25,73
30,31,31,David Toms,90,33.93,19,56
31,32,32,Jeff Brehaut,110,33.82,23,68
32,33,33,Ben Crane,94,33.77,26,77
33,34,34,Chris Anderson,96,33.7,31,92
34,T35,T35,Tommy Armour III,66,33.33,17,51
35,T35,T35,Woody Austin,107,33.33,23,69
36,T35,T35,Briny Baird,113,33.33,26,78
37,T35,T35,Brian Henninger,56,33.33,21,63
38,T35,T35,Davis Love III,85,33.33,15,45
39,T35,T35,Steve Stricker,59,33.33,29,87
40,T35,T35,Hal Sutton,81,33.33,13,39
41,42,42,Chris Riley,96,32.89,25,76
42,43,43,Tim Clark,79,32.84,22,67
43,44,44,Dean Wilson,82,32.5,26,80
44,45,45,Jim Furyk,104,32.35,22,68
45,T46,T46,Robert Gamez,114,32.1,26,81
46,T46,T46,Craig Perks,82,32.1,26,81
47,T48,T48,Steve Flesch,110,31.58,30,95
48,T48,T48,Vance Veazey,66,31.58,24,76
49,50,50,Justin Leonard,80,31.48,17,54
50,51,51,Fred Funk,112,31.43,22,70
51,52,52,Kenneth Staton,59,31.37,16,51
52,53,53,Tiger Woods,74,31.25,15,48
53,54,54,Jerry Kelly,108,31.15,19,61
54,55,55,Stewart Cink,104,31.03,27,87
55,56,56,Kenny Perry,98,30.91,17,55
56,57,57,Jim Carter,95,30.7,35,114
57,58,58,Pat Perez,95,30.69,31,101
58,T59,T59,Dan Forsman,98,30.65,19,62
59,T59,T59,Ty Tryon,52,30.65,19,62
60,61,61,Tim Herron,102,30.56,33,108
61,62,62,Ernie Els,65,30.3,10,33
62,63,63,Tom Pernice Jr.,105,30.23,26,86
63,64,64,Scott Laycock,71,30.16,19,63
64,65,65,Michael Clark II,54,30.14,22,73
65,66,66,Mark Wilson,82,30.12,25,83
66,67,67,Esteban Toledo,109,30.11,28,93
67,T68,T68,David Frost,80,30.0,27,90
