,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Arron Oberholser,80,67.28,327,486
1,2,2,Chris Riley,96,65.65,409,623
2,3,3,Vijay Singh,106,64.86,360,555
3,4,4,Corey Pavin,88,63.9,377,590
4,5,5,David Peoples,96,63.74,334,524
5,6,6,Jim Furyk,104,63.33,342,540
6,7,7,Brandt Jobe,77,63.31,283,447
7,8,8,Stewart Cink,104,63.26,396,626
8,9,9,Jeff Sluman,106,63.25,370,585
9,10,10,Dan Forsman,98,63.1,313,496
10,11,11,Pat Bates,111,62.7,385,614
11,12,12,Steve Stricker,59,62.62,253,404
12,13,13,Mike Weir,80,62.47,288,461
13,T14,T14,David Frost,80,62.45,326,522
14,T14,T14,Kirk Triplett,92,62.45,311,498
15,16,16,Paul Goydos,86,62.15,330,531
16,17,17,Jay Williamson,93,62.09,362,583
17,18,18,Nick Price,65,62.04,255,411
18,T19,T19,Brett Quigley,92,61.87,331,535
19,T19,T19,Patrick Sheehan,101,61.87,383,619
20,21,21,Jay Haas,89,61.84,329,532
21,22,22,Robert Damron,96,61.83,392,634
22,23,23,Kenny Perry,98,61.78,333,539
23,24,24,Stuart Appleby,90,61.7,327,530
24,25,25,Loren Roberts,87,61.63,347,563
25,26,26,Tim Herron,102,61.58,375,609
26,27,27,Skip Kendall,110,61.57,407,661
27,T28,T28,Jerry Kelly,108,61.46,362,589
28,T28,T28,Tom Pernice Jr.,105,61.46,405,659
29,30,30,Mike Sposa,72,61.31,263,429
30,31,31,Rod Pampling,87,61.28,307,501
31,32,32,Neal Lancaster,110,61.11,385,630
32,33,33,Stephen Ames,91,61.1,311,509
33,34,34,Mark Calcavecchia,84,61.03,332,544
34,35,35,Tim Petrovic,108,60.97,389,638
35,36,36,Per-Ulrik Johansson,96,60.95,359,589
36,37,37,Geoff Ogilvy,86,60.89,316,519
37,38,38,Justin Leonard,80,60.81,287,472
38,39,39,Hidemichi Tanaka,112,60.78,389,640
39,40,40,Brad Faxon,97,60.76,384,632
40,41,41,Tom Byrum,97,60.75,387,637
41,42,42,Fred Funk,112,60.65,390,643
42,T43,T43,Paul Gow,62,60.62,234,386
43,T43,T43,Garrett Willis,97,60.62,374,617
44,45,45,Scott Verplank,97,60.57,341,563
45,46,46,Andrew Magee,91,60.55,307,507
46,47,47,Dicky Pride,73,60.53,273,451
47,48,48,Brent Geiberger,51,60.49,196,324
48,49,49,Matt Gogel,77,60.47,286,473
49,50,50,Steve Flesch,110,60.44,388,642
50,T51,T51,Steven Alker,87,60.41,351,581
51,T51,T51,John Riegger,55,60.41,177,293
52,53,53,David Toms,90,60.39,282,467
53,54,54,Billy Andrade,100,60.31,386,640
54,55,55,Ernie Els,65,60.29,205,340
