,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,T1,Craig Barlow,95,100.0,10.0,10
1,T1,T1,Notah Begay III,92,100.0,8.0,8
2,T1,T1,Brad Elder,51,100.0,6.0,6
3,4,4,Todd Barranger,78,91.67,11.0,12
4,5,5,Kevin Sutherland,97,90.91,10.0,11
5,T6,T6,Chris Anderson,96,88.89,8.0,9
6,T6,T6,Gavin Coles,69,88.89,8.0,9
7,8,8,Mark Wilson,82,87.5,7.0,8
8,9,9,Arron Oberholser,80,85.71,6.0,7
9,T10,T10,Jason Buha,61,83.33,5.0,6
10,T10,T10,Jason Gore,83,83.33,5.0,6
11,T10,T10,John Rollins,89,83.33,5.0,6
12,T10,T10,Mike Weir,80,83.33,5.0,6
13,T14,T14,Mathew Goggin,90,81.82,9.0,11
14,T14,T14,Donnie Hammond,92,81.82,9.0,11
15,T16,T16,Alex Cejka,98,80.0,8.0,10
16,T16,T16,Jerry Kelly,108,80.0,8.0,10
17,T16,T16,Craig Perks,82,80.0,8.0,10
18,T16,T16,Paul Stankowski,67,80.0,4.0,5
19,T20,T20,Steve Flesch,110,77.78,7.0,9
20,T20,T20,Tim Herron,102,77.78,7.0,9
21,T22,T22,K.J. Choi,112,76.92,10.0,13
22,T22,T22,John Morgan,81,76.92,10.0,13
23,24,24,Steven Alker,87,76.47,13.0,17
24,T25,T25,Robert Allenby,87,75.0,6.0,8
25,T25,T25,Joe Durant,96,75.0,3.0,4
26,T25,T25,Ernie Els,65,75.0,6.0,8
27,T25,T25,Jim Furyk,104,75.0,9.0,12
28,T25,T25,Lee Janzen,83,75.0,3.0,4
29,30,30,Brian Gay,100,73.33,11.0,15
30,T31,T31,Tim Clark,79,72.73,8.0,11
31,T31,T31,Per-Ulrik Johansson,96,72.73,8.0,11
32,T33,T33,Paul Gow,62,71.43,5.0,7
33,T33,T33,Matt Kuchar,63,71.43,5.0,7
34,T33,T33,John Maginnes,87,71.43,5.0,7
35,T33,T33,Tom Pernice Jr.,105,71.43,5.0,7
36,T37,T37,Brent Geiberger,51,70.0,7.0,10
37,T37,T37,Justin Leonard,80,70.0,7.0,10
38,T37,T37,Shigeki Maruyama,87,70.0,7.0,10
39,T37,T37,Mike Sposa,72,70.0,7.0,10
40,T41,T41,Doug Barron,90,69.23,9.0,13
