,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Loren Roberts,87,0.6609999999999999,62,41.0
1,2,2,Corey Pavin,88,0.674,89,60.0
2,3,3,Vijay Singh,106,0.68,50,34.0
3,4,4,Rod Pampling,87,0.6859999999999999,51,35.0
4,5,5,Glen Hnatiuk,92,0.688,77,53.0
5,6,6,Bob Tway,89,0.701,77,54.0
6,7,7,Kirk Triplett,92,0.7040000000000001,71,50.0
7,8,8,Len Mattiace,94,0.71,107,76.0
8,9,9,Brian Henninger,56,0.7140000000000001,63,45.0
9,10,10,Steve Allan,53,0.72,50,36.0
10,T11,T11,Pat Bates,111,0.726,84,61.0
11,T11,T11,Brad Faxon,97,0.726,95,69.0
12,T13,T13,Bernhard Langer,65,0.731,67,49.0
13,T13,T13,Mike Weir,80,0.731,52,38.0
14,15,15,Bob Estes,92,0.733,75,55.0
15,16,16,Retief Goosen,69,0.742,31,23.0
16,17,17,Billy Mayfair,105,0.7440000000000001,86,64.0
17,T18,T18,Jim Furyk,104,0.75,68,51.0
18,T18,T18,Brandt Jobe,77,0.75,64,48.0
19,T18,T18,John Senden,111,0.75,60,45.0
20,T18,T18,Scott Verplank,97,0.75,72,54.0
21,22,22,Cliff Kresge,102,0.757,70,53.0
22,23,23,Shigeki Maruyama,87,0.76,75,57.0
23,24,24,Tommy Armour III,66,0.765,51,39.0
24,25,25,Jerry Kelly,108,0.77,61,47.0
25,26,26,Mark Calcavecchia,84,0.7759999999999999,58,45.0
26,T27,T27,Justin Leonard,80,0.778,54,42.0
27,T27,T27,Davis Love III,85,0.778,45,35.0
28,T27,T27,Duffy Waldorf,90,0.778,54,42.0
29,30,30,Arron Oberholser,80,0.779,68,53.0
30,T31,T31,Briny Baird,113,0.782,78,61.0
31,T31,T31,Steve Stricker,59,0.782,87,68.0
32,33,33,Gavin Coles,69,0.7829999999999999,60,47.0
33,34,34,Fred Funk,112,0.7859999999999999,70,55.0
34,35,35,Paul Goydos,86,0.79,81,64.0
35,36,36,Olin Browne,113,0.8,95,76.0
36,37,37,Robert Gamez,114,0.802,81,65.0
37,38,38,Nick Price,65,0.804,51,41.0
38,39,39,Dan Forsman,98,0.8059999999999999,62,50.0
39,40,40,Billy Andrade,100,0.8079999999999999,73,59.0
40,41,41,Peter Lonard,96,0.81,79,64.0
41,T42,T42,Brian Bateman,70,0.813,64,52.0
42,T42,T42,Geoff Ogilvy,86,0.813,75,61.0
43,44,44,Chris Riley,96,0.816,76,62.0
44,45,45,J.J. Henry,100,0.8170000000000001,93,76.0
45,46,46,Kevin Sutherland,97,0.818,66,54.0
46,T47,T47,Joey Sindelar,93,0.82,61,50.0
47,T47,T47,Heath Slocum,101,0.82,89,73.0
48,T49,T49,John Rollins,89,0.821,56,46.0
49,T49,T49,David Toms,90,0.821,56,46.0
50,51,51,Kenneth Staton,59,0.8240000000000001,51,42.0
51,T52,T52,Scott Laycock,71,0.825,63,52.0
52,T52,T52,John Riegger,55,0.825,40,33.0
53,54,54,Tom Pernice Jr.,105,0.826,86,71.0
54,T55,T55,Mark Brooks,90,0.8270000000000001,81,67.0
55,T55,T55,Craig Perks,82,0.8270000000000001,81,67.0
56,57,57,Stewart Cink,104,0.828,87,72.0
57,T58,T58,Ben Crane,94,0.831,77,64.0
58,T58,T58,Mike Sposa,72,0.831,65,54.0
59,60,60,Tiger Woods,74,0.833,48,40.0
60,T61,T61,Luke Donald,88,0.836,67,56.0
61,T61,T61,Kenny Perry,98,0.836,55,46.0
62,63,63,Brian Gay,100,0.838,105,88.0
63,64,64,Chad Campbell,105,0.8390000000000001,62,52.0
64,T65,T65,Woody Austin,107,0.841,69,58.0
65,T65,T65,Shaun Micheel,97,0.841,82,69.0
66,67,67,Jim Carter,95,0.8420000000000001,114,96.0
67,68,68,Jonathan Byrd,101,0.843,70,59.0
68,69,69,Matt Kuchar,63,0.846,65,55.0
69,T70,T70,Doug Barron,90,0.847,85,72.0
70,T70,T70,Cameron Beckman,86,0.847,72,61.0
71,T70,T70,Peter Jacobsen,75,0.847,59,50.0
72,T73,T73,Ernie Els,65,0.848,33,28.0
73,T73,T73,Paul Gow,62,0.848,46,39.0
74,75,75,Dean Wilson,82,0.85,80,68.0
75,76,76,Tim Clark,79,0.851,67,57.0
76,77,77,Jeff Klein,60,0.853,75,64.0
77,78,78,Steven Alker,87,0.8540000000000001,96,82.0
78,79,79,Chris DiMarco,98,0.855,69,59.0
79,80,80,David Frost,80,0.856,90,77.0
80,81,81,Stephen Ames,91,0.8590000000000001,64,55.0
81,T82,T82,Michael Clark II,54,0.863,73,63.0
82,T82,T82,Jeff Sluman,106,0.863,51,44.0
83,84,84,Andy Miller,75,0.865,74,64.0
84,85,85,Jeff Brehaut,110,0.868,68,59.0
85,86,86,Chris Anderson,96,0.87,92,80.0
86,87,87,Stuart Appleby,90,0.873,71,62.0
87,88,88,Kent Jones,74,0.875,56,49.0
88,89,89,Ben Curtis,69,0.879,58,51.0
89,T90,T90,Matt Gogel,77,0.88,92,81.0
90,T90,T90,David Gossett,92,0.88,75,66.0
91,T92,T92,Mathew Goggin,90,0.882,68,60.0
92,T92,T92,Skip Kendall,110,0.882,76,67.0
93,T92,T92,Esteban Toledo,109,0.882,93,82.0
94,T95,T95,Todd Fischer,97,0.883,94,83.0
95,T95,T95,Rocco Mediate,80,0.883,60,53.0
96,T97,T97,Tom Byrum,97,0.884,69,61.0
97,T97,T97,Dicky Pride,73,0.884,69,61.0
98,99,99,Carl Paulson,101,0.8859999999999999,79,70.0
99,100,100,Aaron Barber,94,0.89,91,81.0
100,T101,T101,Richard Johnson,89,0.892,83,74.0
101,T101,T101,Hidemichi Tanaka,112,0.892,74,66.0
102,T101,T101,Mark Wilson,82,0.892,83,74.0
103,104,104,John Maginnes,87,0.894,66,59.0
104,T105,T105,Steve Flesch,110,0.895,95,85.0
105,T105,T105,Donnie Hammond,92,0.895,86,77.0
106,107,107,Fred Couples,71,0.897,39,35.0
107,T108,T108,Marco Dawson,86,0.9,70,63.0
108,T108,T108,Glen Day,103,0.9,90,81.0
109,T108,T108,Phil Mickelson,87,0.9,80,72.0
110,111,111,Charles Howell III,120,0.902,92,83.0
111,112,112,Jay Haas,89,0.903,72,65.0
