,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Kevin Sutherland,97,72.0,36,50
1,2,2,Jay Haas,89,71.15,37,52
2,3,3,Fred Couples,71,70.59,24,34
3,4,4,Arron Oberholser,80,69.35,43,62
4,5,5,Shigeki Maruyama,87,68.0,34,50
5,6,6,David Toms,90,67.39,31,46
6,7,7,Doug Barron,90,67.16,45,67
7,8,8,Stuart Appleby,90,66.67,40,60
8,9,9,Jay Williamson,93,65.93,60,91
9,10,10,Peter Jacobsen,75,65.71,23,35
10,11,11,Hidemichi Tanaka,112,63.89,46,72
11,12,12,Vijay Singh,106,63.77,44,69
12,T13,T13,Rod Pampling,87,63.64,35,55
13,T13,T13,Jeff Sluman,106,63.64,35,55
14,15,15,Deane Pappas,75,63.27,31,49
15,16,16,Len Mattiace,94,62.71,37,59
16,T17,T17,Dudley Hart,66,62.5,30,48
17,T17,T17,Carl Pettersson,80,62.5,40,64
18,19,19,Steven Alker,87,62.3,38,61
19,20,20,Chris DiMarco,98,62.26,33,53
20,21,21,Geoff Ogilvy,86,62.12,41,66
21,T22,T22,Aaron Baddeley,71,61.82,34,55
22,T22,T22,Alex Cejka,98,61.82,34,55
23,T22,T22,Brett Quigley,92,61.82,34,55
24,25,25,Justin Leonard,80,61.67,37,60
25,26,26,Anthony Painter,87,61.54,40,65
26,T27,T27,Mathew Goggin,90,61.4,35,57
27,T27,T27,J.P. Hayes,79,61.4,35,57
28,T27,T27,Peter Lonard,96,61.4,35,57
29,30,30,Tim Petrovic,108,60.94,39,64
30,31,31,John Senden,111,60.81,45,74
31,32,32,Matt Kuchar,63,60.71,34,56
32,33,33,Brenden Pappas,105,60.32,38,63
33,34,34,Robert Gamez,114,60.26,47,78
34,T35,T35,Ben Curtis,69,60.0,36,60
35,T35,T35,Scott Verplank,97,60.0,39,65
36,T37,T37,Rory Sabbatini,95,59.68,37,62
37,T37,T37,Dean Wilson,82,59.68,37,62
38,T39,T39,Lee Janzen,83,59.62,31,52
39,T39,T39,Billy Mayfair,105,59.62,31,52
40,41,41,Greg Chalmers,98,59.57,56,94
41,42,42,Tim Herron,102,59.42,41,69
42,T43,T43,Ben Crane,94,59.32,35,59
43,T43,T43,Donnie Hammond,92,59.32,35,59
44,T45,T45,Richard Johnson,89,59.26,32,54
45,T45,T45,Gene Sauers,87,59.26,48,81
46,47,47,Tom Gillis,71,59.09,26,44
47,48,48,Matt Gogel,77,58.93,33,56
48,49,49,Jeff Brehaut,110,58.9,43,73
49,50,50,Skip Kendall,110,58.82,30,51
50,51,51,Adam Scott,52,58.62,17,29
51,52,52,John Huston,76,58.46,38,65
52,53,53,David Frost,80,58.33,42,72
53,54,54,Jay Don Blake,77,58.14,25,43
54,55,55,Notah Begay III,92,57.89,44,76
55,56,56,Neal Lancaster,110,57.81,37,64
56,57,57,Kenny Perry,98,57.63,34,59
57,58,58,Jim Carter,95,57.58,38,66
