,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Mark Brooks,90,-.029,104,-3.00
1,T2,T2,Dan Forsman,98,-.026,114,-3.00
2,T2,T2,Paul Goydos,86,-.026,116,-3.00
3,4,4,Steven Alker,87,-.019,107,-2.00
4,5,5,Tiger Woods,74,-.017,60,-1.00
5,6,6,Nick Price,65,-.016,64,-1.00
6,7,7,Rocco Mediate,80,-.012,86,-1.00
7,T8,T8,Darren Clarke,61,E,46,E
8,T8,T8,Brad Elder,51,E,65,E
9,T8,T8,Jay Haas,89,E,101,E
10,T8,T8,Bernhard Langer,65,E,77,E
11,T8,T8,Geoff Ogilvy,86,E,100,E
12,T8,T8,Tom Pernice Jr.,105,E,148,E
13,T8,T8,Kirk Triplett,92,E,90,E
14,15,15,Pat Bates,111,+.006,164,+1.00
15,16,16,Brad Faxon,97,+.008,129,+1.00
16,17,17,Scott McCarron,86,+.010,105,+1.00
17,18,18,Chris DiMarco,98,+.015,130,+2.00
18,19,19,Brett Quigley,92,+.017,118,+2.00
19,20,20,Stewart Cink,104,+.021,143,+3.00
20,21,21,Billy Andrade,100,+.023,132,+3.00
21,22,22,Steve Allan,53,+.024,82,+2.00
22,23,23,Vijay Singh,106,+.025,120,+3.00
23,24,24,Brian Gay,100,+.027,112,+3.00
24,25,25,Scott Verplank,97,+.029,103,+3.00
25,26,26,Mike Sposa,72,+.031,97,+3.00
26,27,27,Andrew Magee,91,+.032,95,+3.00
27,28,28,David Toms,90,+.033,91,+3.00
28,T29,T29,Thomas Levet,85,+.036,112,+4.00
29,T29,T29,Jeff Sluman,106,+.036,138,+5.00
30,T31,T31,Bob Estes,92,+.038,105,+4.00
31,T31,T31,J.P. Hayes,79,+.038,104,+4.00
32,T31,T31,Hank Kuehne,73,+.038,78,+3.00
33,T31,T31,Deane Pappas,75,+.038,106,+4.00
34,T31,T31,Dicky Pride,73,+.038,106,+4.00
35,36,36,Glen Day,103,+.040,125,+5.00
36,T37,T37,Ben Crane,94,+.041,97,+4.00
37,T37,T37,Tim Petrovic,108,+.041,148,+6.00
38,T39,T39,Jim Furyk,104,+.042,119,+5.00
