,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Arron Oberholser,80,69.66,62,89
1,2,2,Jeff Sluman,106,65.43,53,81
2,3,3,Jay Haas,89,64.56,51,79
3,4,4,Stuart Appleby,90,64.2,52,81
4,5,5,Doug Barron,90,63.56,75,118
5,6,6,Paul Stankowski,67,62.71,37,59
6,7,7,Robert Allenby,87,60.94,39,64
7,8,8,Kevin Sutherland,97,60.67,54,89
8,9,9,Jay Williamson,93,60.36,67,111
9,10,10,Alex Cejka,98,60.24,50,83
10,T11,T11,Jerry Kelly,108,60.0,60,100
11,T11,T11,Hidemichi Tanaka,112,60.0,60,100
12,13,13,Kenny Perry,98,59.72,43,72
13,14,14,Steven Alker,87,59.66,71,119
14,15,15,Gavin Coles,69,59.57,56,94
15,16,16,Justin Leonard,80,59.46,44,74
16,T17,T17,David Peoples,96,59.34,54,91
17,T17,T17,Carl Pettersson,80,59.34,54,91
18,19,19,Tim Herron,102,59.14,55,93
19,20,20,Ernie Els,65,58.82,30,51
20,21,21,Bob Burns,88,58.59,58,99
21,22,22,Rod Pampling,87,58.43,52,89
22,23,23,John Maginnes,87,58.25,60,103
23,24,24,Mark Calcavecchia,84,58.02,47,81
24,25,25,Neal Lancaster,110,57.83,48,83
25,26,26,David Toms,90,57.75,41,71
26,T27,T27,Dudley Hart,66,57.65,49,85
27,T27,T27,Rory Sabbatini,95,57.65,49,85
28,29,29,Vijay Singh,106,57.47,50,87
29,30,30,Geoff Ogilvy,86,57.29,55,96
30,31,31,Fred Funk,112,57.26,71,124
31,32,32,Cameron Beckman,86,57.14,48,84
32,33,33,Shigeki Maruyama,87,56.98,49,86
33,34,34,Skip Kendall,110,56.86,58,102
34,T35,T35,David Frost,80,56.76,63,111
35,T35,T35,Brent Geiberger,51,56.76,42,74
36,T35,T35,Anthony Painter,87,56.76,63,111
37,38,38,Tim Clark,79,56.63,47,83
38,39,39,Bernhard Langer,65,56.6,30,53
39,40,40,Deane Pappas,75,56.58,43,76
40,41,41,Dean Wilson,82,56.57,56,99
41,42,42,Chris Riley,96,56.47,48,85
42,43,43,Scott Verplank,97,56.44,57,101
43,44,44,Len Mattiace,94,56.31,58,103
44,45,45,Matt Gogel,77,56.18,50,89
45,46,46,Steve Flesch,110,56.14,64,114
46,47,47,Greg Chalmers,98,56.08,83,148
47,48,48,Luke Donald,88,56.07,60,107
48,49,49,Per-Ulrik Johansson,96,55.96,61,109
49,50,50,Scott McCarron,86,55.7,44,79
50,51,51,Billy Andrade,100,55.67,54,97
51,52,52,Fred Couples,71,55.56,35,63
52,53,53,Tim Petrovic,108,55.45,61,110
53,54,54,Lee Janzen,83,55.38,36,65
54,55,55,Robert Damron,96,55.28,68,123
55,56,56,Darron Stiles,93,55.1,54,98
56,57,57,K.J. Choi,112,55.0,55,100
57,58,58,Kirk Triplett,92,54.87,62,113
58,59,59,Tom Byrum,97,54.81,57,104
59,60,60,Dan Forsman,98,54.76,46,84
60,61,61,Charles Howell III,120,54.74,52,95
61,T62,T62,Ben Crane,94,54.55,54,99
62,T62,T62,Garrett Willis,97,54.55,48,88
63,64,64,Brian Gay,100,54.4,68,125
64,65,65,Paul Goydos,86,54.39,62,114
65,T66,T66,Notah Begay III,92,54.03,67,124
66,T66,T66,Jim Carter,95,54.03,67,124
67,68,68,Brett Quigley,92,54.02,47,87
68,69,69,Ben Curtis,69,54.0,54,100
69,T70,T70,Donnie Hammond,92,53.77,57,106
70,T70,T70,Corey Pavin,88,53.77,57,106
71,72,72,Brenden Pappas,105,53.76,50,93
72,73,73,Billy Mayfair,105,53.68,51,95
73,74,74,Brad Faxon,97,53.61,52,97
74,75,75,Cliff Kresge,102,53.54,53,99
75,T76,T76,Paul Azinger,73,53.49,46,86
76,T76,T76,Darren Clarke,61,53.49,23,43
77,T76,T76,Mathew Goggin,90,53.49,46,86
78,T76,T76,Tiger Woods,74,53.49,23,43
79,T80,T80,John Huston,76,53.27,57,107
80,T80,T80,John Morgan,81,53.27,57,107
81,82,82,Chris DiMarco,98,53.26,49,92
82,83,83,Bob Estes,92,53.25,41,77
83,84,84,Gene Sauers,87,53.13,68,128
84,85,85,Chris Anderson,96,53.0,53,100
85,T86,T86,Stewart Cink,104,52.78,57,108
86,T86,T86,Adam Scott,52,52.78,19,36
87,88,88,Todd Fischer,97,52.59,71,135
88,89,89,Tom Gillis,71,52.46,32,61
89,90,90,John Rollins,89,52.44,43,82
90,91,91,Nick Price,65,52.31,34,65
91,92,92,John Daly,56,51.92,27,52
92,T93,T93,Jason Gore,83,51.85,56,108
93,T93,T93,Brian Henninger,56,51.85,28,54
94,T93,T93,Mike Weir,80,51.85,28,54
95,96,96,Andrew Magee,91,51.81,43,83
96,97,97,Glen Hnatiuk,92,51.65,47,91
97,98,98,Mark Wilson,82,51.61,48,93
98,99,99,Davis Love III,85,51.56,33,64
99,100,100,John Senden,111,51.35,57,111
100,101,101,Duffy Waldorf,90,51.28,40,78
101,102,102,Loren Roberts,87,51.16,44,86
102,103,103,Kenichi Kuboya,91,51.14,45,88
103,104,104,Tom Pernice Jr.,105,51.06,48,94
104,105,105,Robert Gamez,114,50.77,66,130
105,T106,T106,Jay Don Blake,77,50.72,35,69
106,T106,T106,Matt Kuchar,63,50.72,35,69
107,108,108,Phil Mickelson,87,50.7,36,71
108,109,109,Aaron Baddeley,71,50.62,41,81
109,110,110,Peter Jacobsen,75,50.59,43,85
110,111,111,Peter Lonard,96,50.57,44,87
111,112,112,Briny Baird,113,50.52,49,97
112,T113,T113,Stephen Ames,91,50.0,53,106
113,T113,T113,Craig Barlow,95,50.0,55,110
114,T113,T113,Jason Caron,74,50.0,43,86
115,T113,T113,Sergio Garcia,62,50.0,24,48
116,T113,T113,Paul Gow,62,50.0,30,60
117,T113,T113,Mike Grob,83,50.0,42,84
118,T113,T113,J.P. Hayes,79,50.0,46,92
119,T113,T113,Mike Sposa,72,50.0,40,80
120,121,121,Andy Miller,75,49.52,52,105
121,T122,T122,Todd Barranger,78,49.46,46,93
122,T122,T122,Carlos Franco,99,49.46,46,93
123,T122,T122,Craig Perks,82,49.46,46,93
124,125,125,Rich Beem,80,49.43,43,87
125,126,126,Steve Lowery,86,49.37,39,79
126,127,127,Ian Leggatt,71,49.18,30,61
127,128,128,Carl Paulson,101,49.12,56,114
128,129,129,Pat Bates,111,49.11,55,112
129,130,130,John Riegger,55,49.06,26,53
