,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,1,1,Kirk Triplett,92,73.33,11.0,15
1,2,2,Jim Carter,95,72.73,8.0,11
2,3,3,Bob Estes,92,70.0,7.0,10
3,4,4,Davis Love III,85,66.67,4.0,6
4,5,5,Brian Gay,100,64.29,9.0,14
5,6,6,Glen Hnatiuk,92,62.5,10.0,16
6,T7,T7,Justin Leonard,80,60.0,6.0,10
7,T7,T7,Ty Tryon,52,60.0,6.0,10
8,9,9,Olin Browne,113,58.33,7.0,12
9,T10,T10,Tom Byrum,97,57.14,4.0,7
10,T10,T10,Brent Schwarzrock,60,57.14,4.0,7
11,T12,T12,Jerry Kelly,108,56.25,9.0,16
12,T12,T12,Scott McCarron,86,56.25,9.0,16
13,T14,T14,Jason Buha,61,54.55,6.0,11
14,T14,T14,Mark Calcavecchia,84,54.55,6.0,11
15,T14,T14,Brian Henninger,56,54.55,6.0,11
16,T14,T14,Kenichi Kuboya,91,54.55,6.0,11
17,T18,T18,Notah Begay III,92,53.85,7.0,13
18,T18,T18,Fred Funk,112,53.85,7.0,13
19,T18,T18,Arron Oberholser,80,53.85,7.0,13
20,21,21,Stephen Ames,91,53.33,8.0,15
21,22,22,John Senden,111,52.94,9.0,17
22,23,23,Robert Damron,96,52.63,10.0,19
23,T24,T24,Bob Burns,88,50.0,6.0,12
24,T24,T24,Greg Chalmers,98,50.0,10.0,20
25,T24,T24,Luke Donald,88,50.0,7.0,14
26,T24,T24,Jason Gore,83,50.0,7.0,14
27,T24,T24,Dudley Hart,66,50.0,6.0,12
28,T24,T24,Jeff Klein,60,50.0,2.0,4
29,T24,T24,John Maginnes,87,50.0,7.0,14
30,T24,T24,Heath Slocum,101,50.0,4.0,8
31,32,32,Deane Pappas,75,46.67,7.0,15
32,T33,T33,Robert Allenby,87,45.45,5.0,11
33,T33,T33,Duffy Waldorf,90,45.45,5.0,11
34,T33,T33,Mark Wilson,82,45.45,5.0,11
35,T36,T36,John Daly,56,44.44,4.0,9
36,T36,T36,Brent Geiberger,51,44.44,4.0,9
37,T36,T36,Carl Pettersson,80,44.44,4.0,9
38,39,39,Pat Perez,95,43.75,7.0,16
39,T40,T40,Darren Clarke,61,42.86,3.0,7
40,T40,T40,Chris DiMarco,98,42.86,9.0,21
41,T40,T40,Tim Herron,102,42.86,6.0,14
42,T40,T40,Matt Kuchar,63,42.86,3.0,7
43,T40,T40,Bernhard Langer,65,42.86,3.0,7
44,T40,T40,Jay Williamson,93,42.86,3.0,7
45,T40,T40,Tiger Woods,74,42.86,3.0,7
46,T47,T47,John Huston,76,41.67,5.0,12
47,T47,T47,Craig Perks,82,41.67,5.0,12
48,T47,T47,Kevin Sutherland,97,41.67,5.0,12
49,T50,T50,Steven Alker,87,40.0,4.0,10
50,T50,T50,Craig Barlow,95,40.0,4.0,10
51,T50,T50,Ernie Els,65,40.0,2.0,5
52,T50,T50,Spike McRoy,103,40.0,4.0,10
53,T50,T50,Mark O'Meara,69,40.0,2.0,5
54,T50,T50,Loren Roberts,87,40.0,4.0,10
55,T50,T50,Rory Sabbatini,95,40.0,6.0,15
56,T57,T57,Jesper Parnevik,102,38.89,7.0,18
57,T57,T57,Corey Pavin,88,38.89,7.0,18
58,T59,T59,Jay Don Blake,77,38.46,5.0,13
59,T59,T59,Stewart Cink,104,38.46,5.0,13
60,T59,T59,Rod Pampling,87,38.46,5.0,13
61,T59,T59,Darron Stiles,93,38.46,5.0,13
62,T59,T59,Mike Weir,80,38.46,5.0,13
63,T64,T64,José Coceres,62,37.5,3.0,8
64,T64,T64,Skip Kendall,110,37.5,6.0,16
65,T64,T64,Peter Lonard,96,37.5,6.0,16
66,T64,T64,Geoff Ogilvy,86,37.5,3.0,8
67,T64,T64,Kaname Yokoo,56,37.5,3.0,8
68,T69,T69,Fred Couples,71,36.36,4.0,11
69,T69,T69,Marco Dawson,86,36.36,4.0,11
70,T69,T69,Sergio Garcia,62,36.36,4.0,11
71,T69,T69,Paul Stankowski,67,36.36,4.0,11
72,T73,T73,Kenny Perry,98,35.71,5.0,14
73,T73,T73,Patrick Sheehan,101,35.71,5.0,14
74,T73,T73,Vijay Singh,106,35.71,5.0,14
75,76,76,Mike Sposa,72,35.29,6.0,17
76,T77,T77,Chris Anderson,96,33.33,4.0,12
77,T77,T77,Stuart Appleby,90,33.33,5.0,15
78,T77,T77,Woody Austin,107,33.33,6.0,18
79,T77,T77,Paul Azinger,73,33.33,5.0,15
80,T77,T77,Dan Forsman,98,33.33,3.0,9
81,T77,T77,Jay Haas,89,33.33,5.0,15
82,T77,T77,J.J. Henry,100,33.33,4.0,12
83,T77,T77,Neal Lancaster,110,33.33,6.0,18
84,T77,T77,Billy Mayfair,105,33.33,8.0,24
85,T77,T77,Hal Sutton,81,33.33,2.0,6
86,T77,T77,David Toms,90,33.33,5.0,15
87,88,88,Len Mattiace,94,31.58,6.0,19
88,89,89,Donnie Hammond,92,31.25,5.0,16
89,T90,T90,Steve Flesch,110,30.77,4.0,13
90,T90,T90,David Frost,80,30.77,4.0,13
91,T90,T90,Phil Mickelson,87,30.77,4.0,13
92,T93,T93,Carlos Franco,99,30.0,6.0,20
93,T93,T93,Paul Gow,62,30.0,3.0,10
94,T93,T93,Brandt Jobe,77,30.0,3.0,10
