,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Vijay Singh,30,"$11,110,166"
1,2,4,Tiger Woods,22,"$6,925,472"
2,3,2,Ernie Els,16,"$5,787,225"
3,4,3,Phil Mickelson,23,"$5,784,823"
4,5,5,Stewart Cink,30,"$4,670,270"
5,6,6,Retief Goosen,16,"$3,885,573"
6,7,7,Adam Scott,17,"$3,774,984"
7,8,8,Sergio Garcia,20,"$3,589,215"
8,9,9,Stephen Ames,28,"$3,458,205"
9,10,18,Padraig Harrington,16,"$3,355,526"
10,11,10,Davis Love III,26,"$3,247,592"
11,12,12,Chris DiMarco,30,"$3,243,142"
12,13,11,Todd Hamilton,28,"$3,218,778"
13,14,13,Stuart Appleby,25,"$2,949,235"
14,15,14,Mike Weir,22,"$2,761,536"
15,16,15,Mark Hensby,30,"$2,750,266"
16,17,29,Jay Haas,27,"$2,681,626"
17,18,20,John Daly,25,"$2,679,507"
18,19,16,Rory Sabbatini,28,"$2,672,897"
19,20,17,Steve Flesch,32,"$2,649,287"
20,21,22,Chad Campbell,32,"$2,622,485"
21,22,19,Zach Johnson,32,"$2,547,185"
22,23,21,Jerry Kelly,29,"$2,496,222"
23,24,23,Scott Verplank,25,"$2,413,092"
24,25,24,David Toms,25,"$2,357,531"
25,26,25,Arron Oberholser,24,"$2,355,433"
26,27,26,Luke Donald,23,"$2,346,268"
27,28,27,Shigeki Maruyama,27,"$2,332,942"
28,29,30,Fred Couples,19,"$2,316,109"
29,30,28,Fred Funk,32,"$2,244,481"
30,31,32,Kenny Perry,26,"$2,194,543"
31,32,31,K.J. Choi,25,"$2,100,775"
32,33,33,Carlos Franco,28,"$2,010,395"
33,34,34,Darren Clarke,17,"$2,009,819"
34,35,35,Charles Howell III,31,"$1,763,485"
35,36,36,Rod Pampling,26,"$1,737,725"
36,37,37,Tim Herron,26,"$1,727,577"
37,38,38,Justin Leonard,26,"$1,718,523"
38,39,39,Jonathan Kaye,25,"$1,695,332"
39,40,40,Ted Purdy,36,"$1,657,876"
40,41,41,Jesper Parnevik,25,"$1,628,935"
41,42,42,Duffy Waldorf,27,"$1,597,912"
42,43,43,Ryan Palmer,33,"$1,592,344"
43,44,44,Bo Van Pelt,31,"$1,575,908"
44,45,45,Kirk Triplett,24,"$1,566,426"
45,46,46,Joey Sindelar,31,"$1,536,881"
46,47,47,Chris Riley,27,"$1,533,732"
47,48,48,Jeff Maggert,20,"$1,527,884"
48,49,49,Robert Allenby,26,"$1,513,537"
49,50,50,Tom Pernice Jr.,32,"$1,502,274"
50,51,51,Harrison Frazar,26,"$1,496,764"
51,52,52,Woody Austin,29,"$1,495,980"
52,53,53,Joe Ogilvie,33,"$1,483,363"
53,54,54,Paul Casey,14,"$1,474,272"
54,55,55,Carl Pettersson,28,"$1,367,962"
55,56,56,Tom Lehman,19,"$1,343,277"
56,57,57,Tim Petrovic,33,"$1,340,854"
57,58,58,Alex Cejka,25,"$1,333,483"
58,59,59,Scott Hoch,18,"$1,316,860"
59,60,60,Craig Parry,16,"$1,308,586"
60,61,61,Jeff Sluman,29,"$1,307,635"
