,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Vijay Singh,29,"$376,040","$10,905,166"
1,2,2,Ernie Els,16,"$361,701","$5,787,225"
2,3,3,Tiger Woods,19,"$282,393","$5,365,472"
3,4,4,Phil Mickelson,22,"$262,946","$5,784,822"
4,5,5,Retief Goosen,16,"$242,848","$3,885,572"
5,6,6,Adam Scott,16,"$232,811","$3,724,984"
6,7,7,Sergio Garcia,18,"$179,956","$3,239,215"
7,8,8,Stewart Cink,28,"$158,938","$4,450,270"
8,9,9,Padraig Harrington,12,"$156,856","$1,882,276"
9,10,10,Davis Love III,24,"$128,128","$3,075,092"
10,11,11,Darren Clarke,16,"$125,613","$2,009,818"
11,12,12,Mike Weir,22,"$125,524","$2,761,536"
12,13,13,Stephen Ames,27,"$122,340","$3,303,205"
13,14,14,Stuart Appleby,25,"$117,969","$2,949,234"
14,15,15,Todd Hamilton,27,"$113,473","$3,063,778"
15,16,16,Chris DiMarco,27,"$110,068","$2,971,842"
16,17,17,John Daly,22,"$107,250","$2,359,506"
17,18,18,Scott Verplank,24,"$98,566","$2,365,592"
18,19,19,David Toms,24,"$98,230","$2,357,530"
19,20,20,Rory Sabbatini,26,"$96,169","$2,500,397"
20,21,21,Mark Hensby,29,"$93,750","$2,718,765"
21,22,22,Jay Haas,23,"$90,070","$2,071,626"
22,23,23,Shigeki Maruyama,26,"$88,526","$2,301,692"
23,24,24,Thomas Bjørn,12,"$87,566","$1,050,803"
24,25,25,Fred Couples,16,"$87,256","$1,396,108"
25,26,26,K.J. Choi,24,"$86,573","$2,077,775"
26,27,27,Jerry Kelly,29,"$86,076","$2,496,221"
27,28,28,Kenny Perry,23,"$84,871","$1,952,043"
28,29,29,Craig Parry,16,"$81,786","$1,308,585"
29,30,30,Chad Campbell,28,"$80,892","$2,264,984"
30,31,31,Thomas Levet,5,"$80,860","$404,304"
31,32,32,Zach Johnson,30,"$80,589","$2,417,684"
32,33,33,Steve Flesch,31,"$79,412","$2,461,787"
33,34,34,Luke Donald,21,"$78,393","$1,646,267"
34,35,35,Jeff Maggert,20,"$76,394","$1,527,883"
35,36,36,Scott Hoch,17,"$72,903","$1,239,360"
36,37,37,Fred Funk,29,"$72,542","$2,103,730"
37,38,38,Carlos Franco,27,"$72,422","$1,955,394"
38,39,39,Gary Evans,1,"$71,346","$71,346"
39,40,40,Tom Lehman,19,"$70,698","$1,343,276"
40,41,41,Jonathan Kaye,25,"$67,813","$1,695,332"
41,42,42,Rod Pampling,26,"$66,835","$1,737,725"
42,43,43,Tim Herron,26,"$66,445","$1,727,576"
43,44,44,Kirk Triplett,24,"$65,267","$1,566,425"
44,45,45,Jesper Parnevik,24,"$64,588","$1,550,134"
45,46,46,Bernhard Langer,15,"$62,905","$943,589"
46,47,47,Justin Leonard,25,"$61,240","$1,531,022"
47,48,48,Arron Oberholser,23,"$58,931","$1,355,433"
48,49,49,Robert Allenby,26,"$58,212","$1,513,536"
49,50,50,Harrison Frazar,25,"$57,870","$1,446,763"
50,51,51,James McLean,1,"$57,324","$57,324"
51,52,52,Duffy Waldorf,26,"$57,227","$1,487,911"
52,53,53,Charles Howell III,30,"$56,782","$1,703,484"
53,54,54,Justin Rose,22,"$56,216","$1,236,764"
54,55,55,Chris Riley,23,"$56,205","$1,292,731"
55,56,56,Alex Cejka,24,"$54,728","$1,313,483"
56,57,57,Takashi Kamiyama,1,"$54,305","$54,305"
57,58,58,Nick Price,15,"$53,072","$796,086"
58,59,59,Freddie Jacobson,24,"$52,460","$1,259,048"
59,60,60,Bo Van Pelt,30,"$51,794","$1,553,824"
60,61,61,Woody Austin,29,"$51,585","$1,495,980"
61,62,62,Joey Sindelar,31,"$49,576","$1,536,880"
62,63,63,Jim Furyk,14,"$49,405","$691,675"
63,64,64,Carl Pettersson,28,"$48,855","$1,367,961"
64,65,65,Stephen Leaney,24,"$48,606","$1,166,559"
65,66,66,Ryan Palmer,33,"$48,252","$1,592,344"
66,67,67,Lee Westwood,11,"$47,899","$526,899"
67,68,68,Tom Pernice Jr.,31,"$47,589","$1,475,273"
68,69,69,Geoff Ogilvy,26,"$47,573","$1,236,909"
69,70,70,Paul Casey,11,"$47,085","$517,939"
70,71,71,Ted Purdy,35,"$46,767","$1,636,876"
71,72,72,Frank Lickliter II,27,"$46,638","$1,259,233"
72,73,73,Bob Estes,23,"$45,481","$1,046,064"
73,74,74,Loren Roberts,22,"$45,394","$998,677"
74,75,75,Joe Ogilvie,32,"$45,105","$1,443,362"
75,76,76,John Huston,20,"$43,713","$874,279"
76,77,77,Vaughn Taylor,27,"$43,571","$1,176,433"
77,78,78,Paul McGinley,5,"$43,020","$215,100"
78,79,79,Tim Clark,26,"$42,622","$1,108,189"
79,80,80,Steve Lowery,28,"$42,544","$1,191,245"
80,81,81,Jonathan Byrd,27,"$41,969","$1,133,164"
81,82,82,Bart Bryant,23,"$41,833","$962,167"
82,83,83,Skip Kendall,29,"$41,601","$1,206,438"
83,84,84,Brent Geiberger,31,"$40,638","$1,259,779"
84,85,85,Andre Stolz,20,"$40,418","$808,373"
85,86,86,José Coceres,20,"$38,959","$779,196"
86,87,87,Briny Baird,30,"$38,550","$1,156,517"
87,88,88,Ben Crane,27,"$38,405","$1,036,957"
88,89,89,Corey Pavin,23,"$38,345","$881,938"
89,90,90,Brian Bateman,24,"$38,302","$919,254"
90,91,91,Patrick Sheehan,33,"$37,404","$1,234,344"
91,92,92,Tim Petrovic,32,"$37,292","$1,193,354"
92,93,93,Bob Tway,26,"$37,175","$966,552"
93,94,94,Dudley Hart,23,"$37,158","$854,638"
94,95,95,Joe Durant,26,"$36,636","$952,547"
95,96,96,Brad Faxon,28,"$36,317","$1,016,898"
96,97,97,Jeff Sluman,28,"$35,986","$1,007,635"
97,98,98,Barry Lane,3,"$35,267","$105,801"
98,99,99,Shaun Micheel,27,"$35,182","$949,918"
99,100,100,Kim Felton,1,"$35,111","$35,111"
100,101,101,Tom Byrum,25,"$34,925","$873,139"
