,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Vijay Singh,29,38.44,"$10,905,166","$28,370,272"
1,2,2,Ernie Els,16,33.63,"$5,787,225","$17,210,272"
2,3,3,Tiger Woods,19,26.63,"$5,365,472","$20,147,272"
3,4,4,Phil Mickelson,22,25.99,"$5,784,822","$22,261,272"
4,5,5,Retief Goosen,16,23.21,"$3,885,572","$16,742,272"
5,6,6,Adam Scott,16,21.62,"$3,724,984","$17,231,272"
6,7,7,Padraig Harrington,12,17.18,"$2,334,276","$13,588,272"
7,8,8,Sergio Garcia,18,16.74,"$3,239,215","$19,348,272"
8,9,9,Stewart Cink,28,16.25,"$4,450,270","$27,394,272"
9,10,10,David Howell,3,12.75,"$468,500","$3,673,272"
10,11,11,Stephen Ames,27,12.65,"$3,303,205","$26,122,272"
11,12,12,Davis Love III,24,12.51,"$3,075,092","$24,584,272"
12,13,13,Mike Weir,22,12.33,"$2,761,536","$22,403,272"
13,14,14,Darren Clarke,16,11.65,"$2,009,818","$17,249,272"
14,T15,T15,Stuart Appleby,25,11.61,"$2,949,234","$25,394,272"
15,T15,T15,Todd Hamilton,27,11.61,"$3,063,778","$26,392,272"
16,17,17,John Daly,22,11.28,"$2,359,506","$20,926,272"
17,18,18,Chris DiMarco,27,11.16,"$2,971,842","$26,638,272"
18,19,19,Mark Hensby,29,10.48,"$2,718,765","$25,944,000"
19,20,20,Scott Verplank,24,9.98,"$2,365,592","$23,695,272"
20,21,21,Rory Sabbatini,26,9.8,"$2,500,397","$25,526,272"
21,22,22,David Toms,24,9.68,"$2,357,530","$24,361,272"
22,T23,T23,Jay Haas,23,8.92,"$2,071,626","$23,236,272"
23,T23,T23,Jerry Kelly,29,8.92,"$2,496,221","$27,970,272"
24,25,25,Shigeki Maruyama,26,8.78,"$2,301,692","$26,204,272"
25,26,26,K.J. Choi,24,8.64,"$2,077,775","$24,037,272"
26,27,27,Zach Johnson,30,8.62,"$2,417,684","$28,048,272"
27,28,28,Fred Couples,16,8.46,"$1,396,108","$16,495,000"
28,29,29,Kenny Perry,23,8.45,"$1,952,043","$23,096,272"
29,30,30,Jeff Maggert,20,8.33,"$1,527,883","$18,333,000"
30,31,31,Thomas Bjørn,12,8.2,"$1,050,803","$12,811,272"
31,32,32,Steve Flesch,31,8.18,"$2,461,787","$30,101,272"
32,33,33,Chad Campbell,28,8.07,"$2,264,984","$28,076,272"
