,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Vijay Singh,29,6.95,"$10,905,165","$156,854,642"
1,2,2,Ernie Els,16,6.1,"$5,787,225","$94,854,642"
2,3,3,Tiger Woods,19,4.81,"$5,365,471","$111,504,642"
3,4,4,Phil Mickelson,22,4.68,"$5,784,822","$123,504,642"
4,5,5,Retief Goosen,16,4.21,"$3,885,572","$92,254,642"
5,6,6,Adam Scott,16,3.91,"$3,724,984","$95,304,642"
6,7,7,Padraig Harrington,12,3.09,"$2,334,276","$75,654,642"
7,8,8,Sergio Garcia,18,3.01,"$3,239,213","$107,654,642"
8,9,9,Stewart Cink,28,2.92,"$4,450,266","$152,354,642"
9,10,10,David Howell,3,2.3,"$468,500","$20,404,642"
10,11,11,Stephen Ames,27,2.27,"$3,303,203","$145,454,642"
11,12,12,Davis Love III,24,2.26,"$3,075,089","$136,154,642"
12,13,13,Mike Weir,22,2.23,"$2,761,534","$123,704,642"
13,14,14,Darren Clarke,16,2.11,"$2,009,818","$95,404,642"
14,15,15,Stuart Appleby,25,2.1,"$2,949,234","$140,654,642"
15,16,16,Todd Hamilton,27,2.09,"$3,063,776","$146,454,642"
16,17,17,John Daly,22,2.04,"$2,359,506","$115,754,642"
17,18,18,Chris DiMarco,27,2.01,"$2,971,838","$148,154,642"
18,19,19,Mark Hensby,29,1.88,"$2,718,765","$144,800,000"
19,20,20,Scott Verplank,24,1.79,"$2,365,590","$131,804,642"
20,21,21,Rory Sabbatini,26,1.77,"$2,500,396","$141,554,642"
21,22,22,David Toms,24,1.74,"$2,357,529","$135,504,642"
22,T23,T23,Jay Haas,23,1.6,"$2,071,625","$129,254,642"
23,T23,T23,Jerry Kelly,29,1.6,"$2,496,219","$155,554,642"
24,25,25,Shigeki Maruyama,26,1.59,"$2,301,691","$145,154,642"
25,T26,T26,K.J. Choi,24,1.55,"$2,077,774","$133,704,642"
26,T26,T26,Zach Johnson,30,1.55,"$2,417,684","$156,154,642"
27,28,28,Kenny Perry,23,1.53,"$1,952,041","$127,554,642"
28,29,29,Fred Couples,16,1.52,"$1,396,108","$91,550,000"
29,30,30,Jeff Maggert,20,1.51,"$1,527,883","$101,350,000"
30,T31,T31,Thomas Bjørn,12,1.48,"$1,050,802","$71,004,642"
31,T31,T31,Steve Flesch,31,1.48,"$2,461,784","$166,804,642"
32,T33,T33,Chad Campbell,28,1.46,"$2,264,982","$155,554,642"
33,T33,T33,Craig Parry,16,1.46,"$1,308,585","$89,654,642"
34,35,35,Tom Lehman,19,1.43,"$1,343,275","$93,854,642"
35,36,36,Luke Donald,21,1.42,"$1,646,267","$116,004,642"
36,T37,T37,Carlos Franco,27,1.41,"$1,955,392","$139,150,000"
37,T37,T37,Fred Funk,29,1.41,"$2,103,729","$149,300,000"
38,39,39,Scott Hoch,17,1.38,"$1,239,359","$89,500,000"
39,40,40,Ángel Cabrera,8,1.32,"$599,338","$45,300,000"
40,41,41,Rod Pampling,26,1.3,"$1,737,722","$133,254,642"
41,42,42,Kirk Triplett,24,1.28,"$1,566,424","$122,250,000"
42,43,43,Jesper Parnevik,24,1.26,"$1,550,132","$123,450,000"
43,44,44,Jonathan Kaye,25,1.23,"$1,695,331","$137,754,642"
44,45,45,Tim Herron,26,1.22,"$1,727,575","$141,304,642"
45,46,46,Harrison Frazar,25,1.21,"$1,446,761","$119,900,000"
46,47,47,Thomas Levet,5,1.2,"$404,304","$33,654,642"
47,48,48,Lee Westwood,11,1.18,"$767,898","$65,054,642"
48,49,49,Bernhard Langer,15,1.17,"$943,589","$80,550,000"
49,50,50,Arron Oberholser,23,1.16,"$1,355,430","$116,850,000"
