,Early_Par_5_Scoring_Average_RANK THIS WEEK,Early_Par_5_Scoring_Average_RANK LAST WEEK,Early_Par_5_Scoring_Average_PLAYER NAME,Early_Par_5_Scoring_Average_ROUNDS,Early_Par_5_Scoring_Average_AVG,Early_Par_5_Scoring_Average_TOTAL STROKES,Early_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Aaron Baddeley,76,4.51,496,110
1,T2,T2,J.B. Holmes,86,4.52,583,129
2,T2,T2,Anthony Kim,81,4.52,434,96
3,T4,T4,Mathew Goggin,91,4.53,675,149
4,T4,T4,Adam Scott,51,4.53,344,76
5,T4,T4,Vijay Singh,82,4.53,498,110
6,T4,T4,Camilo Villegas,79,4.53,471,104
7,8,8,Kenny Perry,97,4.55,592,130
8,T9,T9,Brenden Pappas,66,4.56,488,107
9,T9,T9,Steve Stricker,75,4.56,451,99
10,T11,T11,Bill Haas,99,4.57,713,156
11,T11,T11,Ryuji Imada,80,4.57,576,126
12,T13,T13,Jason Gore,94,4.58,738,161
13,T13,T13,Justin Leonard,101,4.58,641,140
14,T13,T13,Boo Weekley,86,4.58,609,133
15,T13,T13,Mike Weir,88,4.58,550,120
16,T17,T17,Carlos Franco,73,4.59,574,125
17,T17,T17,Bubba Watson,97,4.59,693,151
18,T19,T19,Chad Campbell,94,4.6,579,126
19,T19,T19,Brian Davis,108,4.6,649,141
20,T19,T19,Scott McCarron,63,4.6,455,99
21,T19,T19,Kevin Sutherland,98,4.6,704,153
22,T23,T23,Jonathan Byrd,88,4.61,622,135
23,T23,T23,Stewart Cink,87,4.61,572,124
24,T23,T23,Fred Couples,60,4.61,479,104
25,T23,T23,Steve Flesch,95,4.61,678,147
26,T23,T23,Sergio Garcia,72,4.61,327,71
27,T23,T23,Robert Garrigus,90,4.61,654,142
28,T23,T23,Charles Howell III,101,4.61,715,155
29,T23,T23,Phil Mickelson,80,4.61,452,98
30,T23,T23,Kevin Na,97,4.61,775,168
31,T23,T23,Joe Ogilvie,100,4.61,802,174
32,T23,T23,Jesper Parnevik,88,4.61,678,147
33,T34,T34,Robert Allenby,108,4.62,753,163
34,T34,T34,Woody Austin,109,4.62,804,174
35,T34,T34,Todd Demsey,80,4.62,628,136
36,T34,T34,James Driscoll,85,4.62,702,152
37,T34,T34,Jim Furyk,95,4.62,577,125
38,T34,T34,Hunter Mahan,87,4.62,615,133
39,T34,T34,John Merrick,98,4.62,554,120
40,T34,T34,Y.E. Yang,89,4.62,739,160
41,T42,T42,Ángel Cabrera,55,4.63,361,78
42,T42,T42,J.J. Henry,108,4.63,862,186
43,T42,T42,Martin Laird,98,4.63,777,168
44,T42,T42,Tom Lehman,51,4.63,370,80
45,T42,T42,Parker McLachlin,88,4.63,658,142
46,T42,T42,Ryan Moore,72,4.63,482,104
47,T42,T42,Ted Purdy,68,4.63,509,110
48,T42,T42,Marc Turnesa,87,4.63,569,123
49,T50,T50,Eric Axley,113,4.64,798,172
50,T50,T50,Ben Curtis,80,4.64,497,107
51,T50,T50,Brian Gay,102,4.64,682,147
52,T50,T50,Jeff Maggert,86,4.64,631,136
53,T50,T50,Carl Pettersson,110,4.64,816,176
54,T50,T50,Ian Poulter,51,4.64,306,66
55,T50,T50,Tag Ridings,88,4.64,729,157
56,T50,T50,Tom Scherrer,56,4.64,506,109
57,T50,T50,Bob Tway,70,4.64,566,122
58,T50,T50,Nick Watney,96,4.64,788,170
59,T50,T50,Mark Wilson,107,4.64,863,186
60,T61,T61,Ben Crane,86,4.65,586,126
61,T61,T61,Jeff Gove,50,4.65,377,81
62,T61,T61,Nathan Green,95,4.65,763,164
63,T61,T61,Shigeki Maruyama,50,4.65,344,74
64,T61,T61,Kevin Streelman,114,4.65,776,167
65,T66,T66,Steve Allan,58,4.66,424,91
66,T66,T66,Jason Day,81,4.66,573,123
67,T66,T66,Charley Hoffman,94,4.66,792,170
68,T66,T66,Peter Lonard,92,4.66,703,151
69,T66,T66,Chris Riley,51,4.66,401,86
70,T66,T66,John Rollins,94,4.66,755,162
71,T66,T66,Charlie Wi,97,4.66,689,148
72,T66,T66,Tim Wilkinson,95,4.66,764,164
73,T74,T74,Michael Allen,91,4.67,747,160
74,T74,T74,Stuart Appleby,87,4.67,476,102
75,T74,T74,Lucas Glover,91,4.67,616,132
76,T74,T74,Billy Mayfair,103,4.67,677,145
77,T74,T74,Sean O'Hair,81,4.67,486,104
78,T74,T74,Ryan Palmer,69,4.67,481,103
79,T74,T74,D.J. Trahan,94,4.67,710,152
80,T81,T81,Tommy Armour III,77,4.68,491,105
81,T81,T81,Cameron Beckman,87,4.68,669,143
82,T81,T81,Shane Bertsch,96,4.68,725,155
83,T81,T81,Mark Calcavecchia,67,4.68,440,94
84,T81,T81,Marco Dawson,64,4.68,510,109
85,T81,T81,George McNeill,97,4.68,711,152
86,T81,T81,Tom Pernice Jr.,104,4.68,781,167
87,T81,T81,Brett Quigley,80,4.68,576,123
88,T81,T81,Jeff Quinney,87,4.68,613,131
89,T81,T81,Dean Wilson,109,4.68,805,172
90,T91,T91,Brad Adamonis,87,4.69,568,121
91,T91,T91,Bob Estes,90,4.69,670,143
92,T91,T91,Frank Lickliter II,107,4.69,928,198
93,T91,T91,Patrick Sheehan,124,4.69,970,207
94,T91,T91,Kevin Stadler,90,4.69,704,150
95,T91,T91,Vaughn Taylor,103,4.69,694,148
96,T91,T91,Nicholas Thompson,113,4.69,853,182
97,T98,T98,Ken Duke,116,4.7,817,174
98,T98,T98,Joe Durant,92,4.7,761,162
99,T98,T98,Kenneth Ferrie,72,4.7,634,135
100,T98,T98,Retief Goosen,59,4.7,376,80
101,T98,T98,Zach Johnson,85,4.7,649,138
102,T98,T98,Dustin Johnson,92,4.7,743,158
103,T98,T98,Doug LaBelle II,65,4.7,456,97
104,T98,T98,Davis Love III,78,4.7,578,123
105,T98,T98,Steve Marino,119,4.7,878,187
106,T98,T98,John Riegger,73,4.7,634,135
107,T98,T98,David Toms,70,4.7,470,100
108,T98,T98,Charles Warren,79,4.7,616,131
109,T110,T110,Briny Baird,113,4.71,697,148
110,T110,T110,Matt Jones,95,4.71,824,175
111,T110,T110,Rory Sabbatini,77,4.71,532,113
112,T110,T110,Omar Uresti,74,4.71,627,133
113,T110,T110,Bo Van Pelt,101,4.71,721,153
114,T110,T110,Ron Whittaker,54,4.71,400,85
115,T116,T116,Alejandro Cañizares,52,4.72,411,87
116,T116,T116,Chad Collins,72,4.72,581,123
117,T116,T116,Nick Flanagan,89,4.72,750,159
118,T116,T116,Mathias Grönberg,87,4.72,784,166
119,T116,T116,Trevor Immelman,70,4.72,453,96
120,T116,T116,Jeff Overton,103,4.72,789,167
121,T116,T116,Heath Slocum,104,4.72,778,165
122,T123,T123,Stephen Ames,83,4.73,544,115
123,T123,T123,Ryan Armour,87,4.73,766,162
124,T123,T123,Gavin Coles,54,4.73,454,96
125,T123,T123,Steve Elkington,84,4.73,653,138
126,T123,T123,Tim Herron,97,4.73,728,154
127,T123,T123,Cliff Kresge,84,4.73,638,135
128,T123,T123,Rocco Mediate,87,4.73,634,134
129,T123,T123,Andres Romero,69,4.73,478,101
130,T123,T123,Brandt Snedeker,85,4.73,577,122
131,T123,T123,Scott Sterling,89,4.73,728,154
132,T133,T133,Daniel Chopra,84,4.74,687,145
133,T133,T133,Freddie Jacobson,78,4.74,507,107
134,T133,T133,Jon Mills,95,4.74,768,162
135,T133,T133,Tim Petrovic,97,4.74,758,160
136,T133,T133,John Senden,93,4.74,797,168
137,T138,T138,Chris DiMarco,87,4.75,694,146
138,T138,T138,Richard Johnson,77,4.75,598,126
139,T138,T138,John Mallinger,95,4.75,708,149
140,T138,T138,Geoff Ogilvy,65,4.75,442,93
141,T138,T138,Scott Verplank,82,4.75,499,105
142,T143,T143,Jason Allred,63,4.76,524,110
143,T143,T143,Justin Bolli,87,4.76,729,153
144,T143,T143,Glen Day,64,4.76,476,100
145,T143,T143,Padraig Harrington,52,4.76,338,71
146,T143,T143,John Huston,56,4.76,409,86
147,T143,T143,Matt Kuchar,88,4.76,652,137
148,T143,T143,Will MacKenzie,62,4.76,500,105
149,T143,T143,Troy Matteson,94,4.76,733,154
150,T151,T151,Mark Hensby,71,4.77,525,110
151,T151,T151,Michael Letzig,88,4.77,539,113
152,T151,T151,Brett Rumford,72,4.77,591,124
153,T154,T154,Bart Bryant,81,4.78,588,123
154,T154,T154,Jerry Kelly,89,4.78,569,119
155,T154,T154,Pat Perez,93,4.78,640,134
156,T154,T154,Kyle Thompson,70,4.78,502,105
157,T154,T154,Jimmy Walker,73,4.78,564,118
158,T159,T159,Rich Beem,90,4.79,786,164
159,T159,T159,Tommy Gainey,60,4.79,465,97
160,T159,T159,Chris Stroud,81,4.79,690,144
161,T159,T159,Johnson Wagner,83,4.79,709,148
162,T159,T159,Jay Williamson,96,4.79,738,154
163,T164,T164,Robert Gamez,79,4.8,619,129
164,T164,T164,Todd Hamilton,92,4.8,754,157
165,T164,T164,Lee Janzen,89,4.8,739,154
166,T164,T164,Stephen Leaney,53,4.8,494,103
167,T164,T164,Nick O'Hern,82,4.8,590,123
168,T164,T164,Rod Pampling,83,4.8,585,122
169,T164,T164,Jin Park,85,4.8,725,151
170,T171,T171,Alex Cejka,75,4.81,596,124
171,T171,T171,Paul Claxton,63,4.81,519,108
172,T171,T171,Harrison Frazar,73,4.81,529,110
173,T171,T171,Dudley Hart,74,4.81,447,93
174,T171,T171,Steve Lowery,74,4.81,616,128
175,T171,T171,Bob Sowards,61,4.81,520,108
176,T177,T177,Kent Jones,68,4.82,554,115
177,T177,T177,Jim McGovern,75,4.82,559,116
178,179,179,J.P. Hayes,67,4.83,526,109
179,T180,T180,Billy Andrade,71,4.84,625,129
180,T180,T180,Tim Clark,90,4.84,518,107
181,T180,T180,Brad Elder,67,4.84,523,108
182,T180,T180,Ernie Els,51,4.84,271,56
183,T180,T180,Greg Kraft,63,4.84,416,86
184,T180,T180,David Lutterus,59,4.84,455,94
185,T180,T180,Chez Reavie,102,4.84,663,137
186,T187,T187,Olin Browne,77,4.85,626,129
187,T187,T187,Paul Goydos,78,4.85,572,118
188,T187,T187,Corey Pavin,69,4.85,553,114
189,T190,T190,K.J. Choi,74,4.86,452,93
190,T190,T190,Brandt Jobe,52,4.86,423,87
191,T192,T192,Craig Kanada,65,4.87,477,98
192,T192,T192,Travis Perkins,53,4.87,453,93
193,194,194,Richard Johnson,60,4.88,434,89
194,T195,T195,Paul Casey,55,4.9,421,86
195,T195,T195,David Duval,51,4.9,436,89
196,197,197,Cody Freeman,66,4.91,545,111
