,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Vijay Singh,82,69.65,2368,34
1,2,2,Kevin Sutherland,98,69.74,2650,38
2,3,3,Justin Bolli,87,69.75,1395,20
3,4,4,Chad Campbell,94,69.85,2305,33
4,T5,T5,Brian Gay,102,69.93,2937,42
5,T5,T5,Richard Johnson,60,69.93,979,14
6,7,7,Martin Laird,98,69.94,1259,18
7,8,8,Corey Pavin,69,70.0,840,12
8,9,9,Bob Tway,70,70.1,1402,20
9,T10,T10,J.P. Hayes,67,70.19,1123,16
10,T10,T10,George McNeill,97,70.19,1895,27
11,12,12,Lucas Glover,91,70.23,2107,30
12,13,13,Stephen Ames,83,70.28,2530,36
13,14,14,Kent Jones,68,70.3,1406,20
14,15,15,Pat Perez,93,70.32,2391,34
15,16,16,Glen Day,64,70.33,1266,18
16,17,17,Mike Weir,88,70.35,2814,40
17,T18,T18,Tommy Armour III,77,70.37,2111,30
18,T18,T18,Anthony Kim,81,70.37,2463,35
19,T20,T20,Chris DiMarco,87,70.39,1267,18
20,T20,T20,Tim Herron,97,70.39,1971,28
21,22,22,Phil Mickelson,80,70.43,3099,44
22,23,23,Charlie Wi,97,70.46,1832,26
23,24,24,Justin Leonard,101,70.48,2819,40
24,25,25,Will MacKenzie,62,70.5,1128,16
25,T26,T26,Brad Adamonis,87,70.53,2116,30
26,T26,T26,Charles Howell III,101,70.53,2257,32
27,28,28,Billy Mayfair,103,70.54,2469,35
28,29,29,John Senden,93,70.56,1270,18
29,30,30,Shane Bertsch,96,70.58,1835,26
30,31,31,Brad Elder,67,70.6,1412,20
31,32,32,Gavin Coles,54,70.63,1130,16
32,T33,T33,Jon Mills,95,70.65,1413,20
33,T33,T33,Tim Petrovic,97,70.65,2190,31
34,T35,T35,Padraig Harrington,52,70.67,1484,21
35,T35,T35,Steve Marino,119,70.67,2332,33
36,T35,T35,Rory Sabbatini,77,70.67,2120,30
37,38,38,Steve Allan,58,70.68,1343,19
38,T39,T39,Daniel Chopra,84,70.69,2050,29
39,T39,T39,Scott Verplank,82,70.69,2545,36
40,41,41,Mark Wilson,107,70.7,2333,33
41,42,42,Greg Kraft,63,70.72,1273,18
42,T43,T43,Robert Allenby,108,70.74,3042,43
43,T43,T43,Ben Crane,86,70.74,1910,27
44,T43,T43,Hunter Mahan,87,70.74,1910,27
45,T46,T46,Michael Letzig,88,70.75,1981,28
46,T46,T46,Scott Sterling,89,70.75,1698,24
47,48,48,Kenny Perry,97,70.76,2972,42
48,T49,T49,Joe Ogilvie,100,70.77,1840,26
49,T49,T49,Tom Pernice Jr.,104,70.77,2194,31
50,T49,T49,Marc Turnesa,87,70.77,1557,22
51,52,52,Heath Slocum,104,70.78,2548,36
52,T53,T53,Ryuji Imada,80,70.79,2053,29
53,T53,T53,Tim Wilkinson,95,70.79,2053,29
54,T55,T55,Tim Clark,90,70.82,2762,39
55,T55,T55,Omar Uresti,74,70.82,1204,17
56,57,57,Craig Kanada,65,70.84,1346,19
57,58,58,Sean O'Hair,81,70.85,1913,27
58,59,59,Mathew Goggin,91,70.86,2055,29
59,T60,T60,Ken Duke,116,70.87,2693,38
60,T60,T60,Brett Rumford,72,70.87,1063,15
61,T62,T62,Steve Elkington,84,70.89,1985,28
62,T62,T62,Bob Estes,90,70.89,1914,27
63,T64,T64,Briny Baird,113,70.9,2907,41
64,T64,T64,John Huston,56,70.9,1489,21
65,T66,T66,Jason Day,81,70.92,1773,25
66,T66,T66,Sergio Garcia,72,70.92,2695,38
