,Round_1_Scoring_Average_RANK THIS WEEK,Round_1_Scoring_Average_RANK LAST WEEK,Round_1_Scoring_Average_PLAYER NAME,Round_1_Scoring_Average_AVG,Round_1_Scoring_Average_TOTAL STROKES,Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Briny Baird,69.7,2091,30
1,2,2,Anthony Kim,69.77,1535,22
2,3,3,Phil Mickelson,69.85,1397,20
3,4,4,Kenny Perry,69.92,1818,26
4,5,5,Ken Duke,69.97,2309,33
5,6,6,Kevin Streelman,70.13,2244,32
6,7,7,Steve Marino,70.16,2245,32
7,T8,T8,Stewart Cink,70.23,1545,22
8,T8,T8,Patrick Sheehan,70.23,2458,35
9,10,10,Bo Van Pelt,70.25,2248,32
10,11,11,Dudley Hart,70.27,1546,22
11,12,12,Kevin Sutherland,70.35,1829,26
12,T13,T13,Brian Gay,70.39,2182,31
13,T13,T13,John Huston,70.39,1267,18
14,15,15,Brian Davis,70.48,2326,33
15,16,16,Eric Axley,70.49,2467,35
16,T17,T17,Stuart Appleby,70.5,1551,22
17,T17,T17,Alejandro Cañizares,70.5,1128,16
18,T17,T17,Dean Wilson,70.5,2256,32
19,T20,T20,Robert Allenby,70.52,1904,27
20,T20,T20,Carl Pettersson,70.52,2045,29
21,22,22,Shigeki Maruyama,70.53,1199,17
22,23,23,Nick O'Hern,70.54,1693,24
23,24,24,Charlie Wi,70.56,1905,27
24,25,25,Todd Demsey,70.6,1765,25
25,T26,T26,Paul Claxton,70.61,1624,23
26,T26,T26,Sergio Garcia,70.61,1271,18
27,T28,T28,Mathew Goggin,70.63,1907,27
28,T28,T28,Zach Johnson,70.63,1695,24
29,30,30,Adam Scott,70.64,989,14
30,31,31,Michael Allen,70.67,1908,27
31,32,32,Brett Quigley,70.68,1767,25
32,33,33,Camilo Villegas,70.71,1485,21
33,T34,T34,Ben Crane,70.72,1768,25
34,T34,T34,Jim Furyk,70.72,1768,25
35,T34,T34,Jeff Overton,70.72,2263,32
36,37,37,John Mallinger,70.76,2052,29
37,T38,T38,Lucas Glover,70.77,1840,26
38,T38,T38,Tom Pernice Jr.,70.77,2123,30
39,40,40,Frank Lickliter II,70.78,2265,32
40,41,41,Tag Ridings,70.79,2053,29
41,42,42,Vijay Singh,70.82,1558,22
42,T43,T43,Peter Lonard,70.83,2125,30
43,T43,T43,Mike Weir,70.83,1700,24
44,45,45,Brandt Snedeker,70.84,1771,25
45,T46,T46,Joe Durant,70.86,1984,28
46,T46,T46,Charley Hoffman,70.86,2055,29
47,T46,T46,Billy Mayfair,70.86,2055,29
48,T49,T49,Justin Leonard,70.88,1701,24
49,T49,T49,John Riegger,70.88,1701,24
50,51,51,Glen Day,70.89,1347,19
51,52,52,Chez Reavie,70.9,2127,30
52,53,53,Jay Williamson,70.91,2269,32
53,54,54,Johnson Wagner,70.92,1844,26
54,T55,T55,Corey Pavin,70.95,1419,20
55,T55,T55,Rory Sabbatini,70.95,1561,22
56,T57,T57,Tommy Armour III,70.96,1703,24
57,T57,T57,Cameron Beckman,70.96,1987,28
58,T57,T57,Tim Herron,70.96,1987,28
59,T57,T57,Lee Janzen,70.96,1987,28
60,T57,T57,Kent Jones,70.96,1632,23
61,62,62,Nick Flanagan,70.97,2058,29
62,T63,T63,Brad Adamonis,71.0,2059,29
63,T63,T63,Olin Browne,71.0,1917,27
64,T63,T63,Jeff Gove,71.0,1278,18
65,T63,T63,Richard Johnson,71.0,1491,21
66,T67,T67,Craig Kanada,71.04,1634,23
67,T67,T67,Parker McLachlin,71.04,1918,27
68,T67,T67,Scott Sterling,71.04,1989,28
69,T67,T67,D.J. Trahan,71.04,1918,27
70,T67,T67,Scott Verplank,71.04,1634,23
71,T72,T72,Gavin Coles,71.06,1137,16
72,T72,T72,Jason Gore,71.06,2203,31
73,74,74,Rich Beem,71.07,1990,28
74,T75,T75,Brad Elder,71.09,1635,23
75,T75,T75,Ryan Palmer,71.09,1564,22
76,T75,T75,Vaughn Taylor,71.09,2275,32
77,78,78,Rocco Mediate,71.11,1920,27
78,79,79,Kenneth Ferrie,71.12,1778,25
79,T80,T80,Woody Austin,71.14,2063,29
80,T80,T80,Jesper Parnevik,71.14,2063,29
81,T80,T80,Tim Wilkinson,71.14,2063,29
82,T80,T80,Y.E. Yang,71.14,2063,29
83,84,84,J.J. Henry,71.15,2419,34
84,T85,T85,Stephen Ames,71.17,1637,23
85,T85,T85,Marc Turnesa,71.17,2064,29
86,T85,T85,Omar Uresti,71.17,1708,24
87,T85,T85,Mark Wilson,71.17,2064,29
88,89,89,Mark Calcavecchia,71.18,1566,22
89,90,90,Ernie Els,71.2,1068,15
90,91,91,Heath Slocum,71.21,2065,29
91,T92,T92,Bart Bryant,71.22,1638,23
92,T92,T92,Nicholas Thompson,71.22,2564,36
93,94,94,Bob Sowards,71.23,1567,22
94,95,95,George McNeill,71.24,2066,29
95,96,96,Jeff Maggert,71.25,1995,28
96,97,97,Geoff Ogilvy,71.26,1354,19
97,T98,T98,Martin Laird,71.28,2067,29
98,T98,T98,Bubba Watson,71.28,2067,29
99,100,100,Kevin Na,71.31,2068,29
100,101,101,Steve Elkington,71.32,1783,25
101,T102,T102,Marco Dawson,71.33,1498,21
102,T102,T102,Charles Howell III,71.33,2140,30
103,T102,T102,Will MacKenzie,71.33,1498,21
104,T102,T102,Nick Watney,71.33,1926,27
105,106,106,Troy Matteson,71.37,2141,30
106,107,107,Bill Haas,71.39,2213,31
107,108,108,Chris Riley,71.41,1214,17
108,109,109,Ted Purdy,71.42,1714,24
109,110,110,Shane Bertsch,71.43,2000,28
110,111,111,Bob Tway,71.45,1429,20
111,T112,T112,Robert Gamez,71.46,1858,26
112,T112,T112,John Merrick,71.46,2001,28
113,114,114,Stephen Leaney,71.47,1215,17
114,T115,T115,Harrison Frazar,71.48,1644,23
115,T115,T115,Davis Love III,71.48,1644,23
116,T115,T115,Rod Pampling,71.48,1930,27
117,T118,T118,Fred Couples,71.5,1287,18
118,T118,T118,Doug LaBelle II,71.5,1573,22
119,T118,T118,Scott McCarron,71.5,1573,22
120,T118,T118,Brenden Pappas,71.5,1716,24
121,T118,T118,Ian Poulter,71.5,1001,14
122,123,123,David Toms,71.53,1359,19
123,T124,T124,Chad Campbell,71.54,2003,28
124,T124,T124,Tim Clark,71.54,1860,26
125,126,126,Robert Garrigus,71.55,2075,29
126,127,127,Steve Stricker,71.57,1503,21
127,128,128,Andres Romero,71.58,1360,19
128,129,129,Carlos Franco,71.6,1790,25
129,130,130,Boo Weekley,71.61,1647,23
130,T131,T131,Jonathan Byrd,71.62,1862,26
131,T131,T131,Daniel Chopra,71.62,1862,26
132,T131,T131,Joe Ogilvie,71.62,2077,29
133,134,134,Ryan Moore,71.63,1719,24
134,135,135,Sean O'Hair,71.64,1791,25
135,136,136,Jim McGovern,71.65,1863,26
136,137,137,Nathan Green,71.67,2150,30
137,138,138,Hunter Mahan,71.68,1792,25
138,139,139,Tim Petrovic,71.69,2294,32
139,140,140,John Senden,71.7,1936,27
140,T141,T141,Steve Allan,71.71,1506,21
141,T141,T141,Matt Jones,71.71,2223,31
142,143,143,Steve Flesch,71.72,2080,29
143,144,144,Ben Curtis,71.73,1578,22
144,T145,T145,Aaron Baddeley,71.76,1507,21
145,T145,T145,Greg Kraft,71.76,1507,21
146,T147,T147,Dustin Johnson,71.77,2153,30
147,T147,T147,Jerry Kelly,71.77,2153,30
148,149,149,Matt Kuchar,71.78,1938,27
149,T150,T150,Bob Estes,71.79,2010,28
150,T150,T150,Brandt Jobe,71.79,1364,19
151,T150,T150,Michael Letzig,71.79,2082,29
152,153,153,J.B. Holmes,71.8,1795,25
153,154,154,Jon Mills,71.81,2298,32
154,155,155,Kevin Stadler,71.83,2155,30
155,156,156,Pat Perez,71.88,1869,26
156,157,157,Todd Hamilton,71.89,2013,28
157,158,158,Jeff Quinney,71.93,2014,28
158,159,159,Ángel Cabrera,71.94,1151,16
159,160,160,K.J. Choi,71.95,1439,20
160,T161,T161,James Driscoll,71.96,2015,28
161,T161,T161,Jimmy Walker,71.96,1727,24
162,163,163,Mathias Grönberg,71.97,2159,30
163,T164,T164,Jason Day,72.0,2016,28
164,T164,T164,Padraig Harrington,72.0,1008,14
165,T164,T164,Steve Lowery,72.0,1800,25
166,167,167,Chris DiMarco,72.03,2089,29
167,T168,T168,Alex Cejka,72.04,1801,25
168,T168,T168,Cliff Kresge,72.04,2017,28
169,T168,T168,Brett Rumford,72.04,1873,26
170,171,171,Chad Collins,72.08,1730,24
171,172,172,Justin Bolli,72.11,2019,28
172,173,173,Freddie Jacobson,72.13,1731,24
173,174,174,Kyle Thompson,72.15,1876,26
174,175,175,Charles Warren,72.17,2093,29
175,176,176,Ron Whittaker,72.18,1588,22
176,177,177,Jin Park,72.2,2166,30
177,T178,T178,Billy Andrade,72.21,1733,24
178,T178,T178,John Rollins,72.21,2022,28
179,180,180,Cody Freeman,72.27,1879,26
180,181,181,Retief Goosen,72.29,1229,17
181,182,182,J.P. Hayes,72.35,1881,26
182,T183,T183,Paul Goydos,72.36,1809,25
183,T183,T183,Ryuji Imada,72.36,1809,25
184,185,185,Tom Scherrer,72.4,1448,20
185,186,186,Richard Johnson,72.41,2100,29
186,187,187,Chris Stroud,72.45,2101,29
187,188,188,Paul Casey,72.47,1087,15
188,189,189,Ryan Armour,72.48,2247,31
189,190,190,Trevor Immelman,72.52,1523,21
190,191,191,Tom Lehman,72.53,1233,17
191,192,192,Tommy Gainey,72.63,1743,24
192,193,193,Jason Allred,72.7,1672,23
193,194,194,Mark Hensby,72.96,1897,26
