,Par_3_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_3_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_3_Birdie_or_Better_Leaders_PLAYER NAME,Par_3_Birdie_or_Better_Leaders_ROUNDS,Par_3_Birdie_or_Better_Leaders_%,Par_3_Birdie_or_Better_Leaders_PAR 3 BIRDIES OR BETTER,Par_3_Birdie_or_Better_Leaders_PAR 3 HOLES
0,1,1,Bob Tway,70,20.0,57,285
1,2,2,Lee Janzen,89,18.41,67,364
2,3,3,Shane Bertsch,96,16.75,66,394
3,4,4,Ryan Palmer,69,16.73,47,281
4,5,5,Tom Pernice Jr.,104,16.71,71,425
5,6,6,Zach Johnson,85,16.57,55,332
6,7,7,Ken Duke,116,16.24,77,474
7,8,8,David Lutterus,59,16.18,39,241
8,9,9,Paul Casey,55,16.04,34,212
9,10,10,Stephen Ames,83,15.85,52,328
10,11,11,George McNeill,97,15.78,62,393
11,12,12,Steve Allan,58,15.74,37,235
12,13,13,Craig Kanada,65,15.59,41,263
13,14,14,Glen Day,64,15.33,40,261
14,15,15,Steve Elkington,84,15.2,52,342
15,16,16,James Driscoll,85,15.19,53,349
16,17,17,Kent Jones,68,15.11,42,278
17,18,18,Corey Pavin,69,15.03,43,286
18,19,19,Alejandro Cañizares,52,15.02,32,213
19,20,20,Cody Freeman,66,14.93,40,268
20,21,21,Steve Marino,119,14.85,72,485
21,22,22,D.J. Trahan,94,14.77,57,386
22,23,23,Chez Reavie,102,14.63,61,417
23,T24,T24,Patrick Sheehan,124,14.62,74,506
24,T24,T24,Kevin Streelman,114,14.62,68,465
25,26,26,Tommy Armour III,77,14.6,46,315
26,T27,T27,Retief Goosen,59,14.53,34,234
27,T27,T27,Jeff Quinney,87,14.53,51,351
28,29,29,Heath Slocum,104,14.49,61,421
29,30,30,Dudley Hart,74,14.48,43,297
30,31,31,Marco Dawson,64,14.45,38,263
31,T32,T32,Richard Johnson,60,14.29,35,245
32,T32,T32,Cliff Kresge,84,14.29,49,343
33,34,34,Ángel Cabrera,55,14.0,28,200
34,T35,T35,Stewart Cink,87,13.98,46,329
35,T35,T35,Nick O'Hern,82,13.98,45,322
36,37,37,Nick Flanagan,89,13.97,51,365
37,38,38,Paul Claxton,63,13.95,36,258
38,39,39,Kevin Na,97,13.92,55,395
39,40,40,Boo Weekley,86,13.9,46,331
40,41,41,Ernie Els,51,13.86,28,202
41,42,42,Kevin Sutherland,98,13.82,55,398
42,T43,T43,Adam Scott,51,13.78,27,196
43,T43,T43,Camilo Villegas,79,13.78,43,312
44,45,45,Bob Sowards,61,13.77,34,247
45,46,46,Alex Cejka,75,13.73,42,306
46,T47,T47,Tim Petrovic,97,13.71,54,394
47,T47,T47,Carl Pettersson,110,13.71,61,445
48,49,49,Ryan Armour,87,13.69,49,358
49,50,50,Jeff Maggert,86,13.64,48,352
50,51,51,Mark Hensby,71,13.59,39,287
51,52,52,Robert Gamez,79,13.58,44,324
52,53,53,Gavin Coles,54,13.57,30,221
53,54,54,Brad Adamonis,87,13.52,48,355
54,T55,T55,Steve Flesch,95,13.51,52,385
55,T55,T55,Brett Rumford,72,13.51,40,296
56,57,57,Hunter Mahan,87,13.49,46,341
57,58,58,Eric Axley,113,13.48,62,460
58,59,59,Jesper Parnevik,88,13.41,48,358
59,T60,T60,Bob Estes,90,13.39,49,366
60,T60,T60,Johnson Wagner,83,13.39,45,336
61,T60,T60,Mark Wilson,107,13.39,58,433
62,63,63,Andres Romero,69,13.38,36,269
63,64,64,Greg Kraft,63,13.33,34,255
64,65,65,Michael Allen,91,13.32,49,368
65,T66,T66,Chad Collins,72,13.31,39,293
66,T66,T66,Scott Verplank,82,13.31,43,323
67,68,68,Marc Turnesa,87,13.28,47,354
68,69,69,Omar Uresti,74,13.25,40,302
69,70,70,Steve Stricker,75,13.19,38,288
70,71,71,Tom Scherrer,56,13.16,30,228
71,72,72,Freddie Jacobson,78,13.1,41,313
72,73,73,Jim McGovern,75,13.07,40,306
73,T74,T74,Cameron Beckman,87,12.99,46,354
