,Back_9_Lowest_Round_RANK THIS WEEK,Back_9_Lowest_Round_RANK LAST WEEK,Back_9_Lowest_Round_PLAYER NAME,Back_9_Lowest_Round_ROUNDS,Back_9_Lowest_Round_LOW RND
0,T1,T1,Briny Baird,113,28
1,T1,T1,Steve Elkington,84,28
2,T1,T1,Bob Sowards,61,28
3,T4,T4,Brian Gay,102,29
4,T4,T4,Mark Hensby,71,29
5,T4,T4,Tim Herron,97,29
6,T4,T4,Anthony Kim,81,29
7,T4,T4,Rory Sabbatini,77,29
8,T4,T4,Vijay Singh,82,29
9,T4,T4,Jay Williamson,96,29
10,T11,T11,Michael Allen,91,30
11,T11,T11,Tommy Armour III,77,30
12,T11,T11,Woody Austin,109,30
13,T11,T11,Cameron Beckman,87,30
14,T11,T11,Stewart Cink,87,30
15,T11,T11,Tim Clark,90,30
16,T11,T11,Ben Crane,86,30
17,T11,T11,Jason Day,81,30
18,T11,T11,Chris DiMarco,87,30
19,T11,T11,Ken Duke,116,30
20,T11,T11,Steve Flesch,95,30
21,T11,T11,Carlos Franco,73,30
22,T11,T11,Tommy Gainey,60,30
23,T11,T11,Lucas Glover,91,30
24,T11,T11,Mathew Goggin,91,30
25,T11,T11,Jason Gore,94,30
26,T11,T11,Paul Goydos,78,30
27,T11,T11,J.J. Henry,108,30
28,T11,T11,John Huston,56,30
29,T11,T11,Freddie Jacobson,78,30
30,T11,T11,Brandt Jobe,52,30
31,T11,T11,Cliff Kresge,84,30
32,T11,T11,Matt Kuchar,88,30
33,T11,T11,Frank Lickliter II,107,30
34,T11,T11,Peter Lonard,92,30
35,T11,T11,John Mallinger,95,30
36,T11,T11,Steve Marino,119,30
37,T11,T11,Scott McCarron,63,30
38,T11,T11,John Merrick,98,30
39,T11,T11,Phil Mickelson,80,30
40,T11,T11,Jon Mills,95,30
41,T11,T11,Sean O'Hair,81,30
42,T11,T11,Brenden Pappas,66,30
43,T11,T11,Pat Perez,93,30
44,T11,T11,Tom Pernice Jr.,104,30
45,T11,T11,Kenny Perry,97,30
46,T11,T11,Tag Ridings,88,30
47,T11,T11,John Riegger,73,30
48,T11,T11,John Rollins,94,30
49,T11,T11,Adam Scott,51,30
50,T11,T11,Scott Sterling,89,30
51,T11,T11,Kevin Streelman,114,30
52,T11,T11,Kevin Sutherland,98,30
53,T11,T11,Nicholas Thompson,113,30
54,T11,T11,D.J. Trahan,94,30
55,T11,T11,Bob Tway,70,30
56,T11,T11,Bo Van Pelt,101,30
57,T11,T11,Scott Verplank,82,30
58,T11,T11,Jimmy Walker,73,30
59,T11,T11,Charles Warren,79,30
60,T11,T11,Nick Watney,96,30
61,T11,T11,Bubba Watson,97,30
62,T11,T11,Charlie Wi,97,30
63,T11,T11,Dean Wilson,109,30
64,T11,T11,Mark Wilson,107,30
65,T66,T66,Brad Adamonis,87,31
66,T66,T66,Steve Allan,58,31
67,T66,T66,Robert Allenby,108,31
68,T66,T66,Jason Allred,63,31
69,T66,T66,Stephen Ames,83,31
70,T66,T66,Stuart Appleby,87,31
71,T66,T66,Ryan Armour,87,31
72,T66,T66,Eric Axley,113,31
73,T66,T66,Rich Beem,90,31
74,T66,T66,Justin Bolli,87,31
75,T66,T66,Olin Browne,77,31
76,T66,T66,Bart Bryant,81,31
77,T66,T66,Jonathan Byrd,88,31
78,T66,T66,Ángel Cabrera,55,31
79,T66,T66,Mark Calcavecchia,67,31
80,T66,T66,Chad Campbell,94,31
81,T66,T66,Alex Cejka,75,31
82,T66,T66,Daniel Chopra,84,31
83,T66,T66,Gavin Coles,54,31
84,T66,T66,Fred Couples,60,31
85,T66,T66,Ben Curtis,80,31
86,T66,T66,Brian Davis,108,31
87,T66,T66,James Driscoll,85,31
