,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Phil Mickelson,80,+1.87,70.28,72.15
1,2,2,Padraig Harrington,52,+1.68,70.7,72.38
2,3,3,Sergio Garcia,72,+1.62,70.6,72.22
3,4,4,Anthony Kim,81,+1.51,70.22,71.73
4,5,5,Jim Furyk,95,+1.40,70.56,71.96
5,6,6,Camilo Villegas,79,+1.38,70.6,71.98
6,T7,T7,Robert Allenby,108,+1.37,70.64,72.01
7,T7,T7,Vijay Singh,82,+1.37,70.27,71.64
8,T9,T9,Stewart Cink,87,+1.22,70.65,71.87
9,T9,T9,Justin Leonard,101,+1.22,70.41,71.63
10,11,11,Stuart Appleby,87,+1.18,70.86,72.04
11,12,12,Kenny Perry,97,+1.05,70.21,71.26
12,T13,T13,Aaron Baddeley,76,+1.00,70.86,71.86
13,T13,T13,Mike Weir,88,+1.00,70.68,71.68
14,15,15,Stephen Ames,83,+.99,70.67,71.66
15,16,16,Ben Curtis,80,+.95,70.96,71.91
16,T17,T17,Pat Perez,93,+.94,70.7,71.64
17,T17,T17,Adam Scott,51,+.94,71.45,72.39
18,T17,T17,Steve Stricker,75,+.94,70.83,71.77
19,20,20,Kevin Sutherland,98,+.88,70.22,71.1
20,21,21,Brian Gay,102,+.87,70.11,70.98
21,22,22,Ernie Els,51,+.86,71.44,72.3
22,23,23,Ben Crane,86,+.85,70.38,71.23
23,24,24,Nick O'Hern,82,+.84,70.89,71.73
24,T25,T25,Chad Campbell,94,+.83,70.37,71.2
25,T25,T25,Bob Tway,70,+.83,69.94,70.77
26,27,27,Steve Marino,119,+.82,70.29,71.11
27,T28,T28,Briny Baird,113,+.81,70.44,71.25
28,T28,T28,Hunter Mahan,87,+.81,70.78,71.59
29,30,30,Geoff Ogilvy,65,+.77,71.38,72.15
30,31,31,Carl Pettersson,110,+.75,70.84,71.59
31,32,32,K.J. Choi,74,+.74,71.01,71.75
32,T33,T33,Davis Love III,78,+.72,71.21,71.93
33,T33,T33,Boo Weekley,86,+.72,71.12,71.84
34,T35,T35,Steve Elkington,84,+.70,70.67,71.37
35,T35,T35,Mathew Goggin,91,+.70,70.73,71.43
36,37,37,Retief Goosen,59,+.69,71.71,72.4
37,T38,T38,Bart Bryant,81,+.66,71.22,71.88
38,T38,T38,Ken Duke,116,+.66,70.61,71.27
39,T38,T38,Charlie Wi,97,+.66,70.41,71.07
40,T41,T41,Paul Casey,55,+.65,71.75,72.4
41,T41,T41,Ian Poulter,51,+.65,71.84,72.49
42,43,43,Mark Wilson,107,+.64,70.44,71.08
43,44,44,D.J. Trahan,94,+.63,70.89,71.52
44,T45,T45,Ryuji Imada,80,+.62,71.13,71.75
45,T45,T45,Freddie Jacobson,78,+.62,71.26,71.88
46,T47,T47,Fred Couples,60,+.60,71.22,71.82
47,T47,T47,Matt Kuchar,88,+.60,71.03,71.63
48,49,49,Tom Pernice Jr.,104,+.58,70.54,71.12
49,T50,T50,Zach Johnson,85,+.57,71.06,71.63
50,T50,T50,John Senden,93,+.57,70.9,71.47
51,52,52,Nick Watney,96,+.55,71.02,71.57
52,T53,T53,David Toms,70,+.54,71.13,71.67
53,T53,T53,Scott Verplank,82,+.54,70.84,71.38
54,55,55,Brandt Snedeker,85,+.52,71.27,71.79
55,56,56,Charles Howell III,101,+.50,71.15,71.65
56,T57,T57,Michael Allen,91,+.49,71.07,71.56
57,T57,T57,Tim Clark,90,+.49,70.87,71.36
58,59,59,J.B. Holmes,86,+.48,71.39,71.87
59,60,60,John Merrick,98,+.47,70.97,71.44
60,61,61,Dudley Hart,74,+.46,70.84,71.3
61,62,62,John Huston,56,+.45,70.48,70.93
62,63,63,Sean O'Hair,81,+.44,71.25,71.69
63,T64,T64,Bill Haas,99,+.43,70.66,71.09
64,T64,T64,Ryan Palmer,69,+.43,70.48,70.91
65,T66,T66,John Mallinger,95,+.42,71.02,71.44
66,T66,T66,Heath Slocum,104,+.42,71.17,71.59
67,68,68,Corey Pavin,69,+.41,70.67,71.08
68,T69,T69,Jeff Quinney,87,+.40,71.39,71.79
69,T69,T69,Rory Sabbatini,77,+.40,71.05,71.45
70,71,71,Kevin Na,97,+.39,70.81,71.2
71,T72,T72,Parker McLachlin,88,+.36,71.07,71.43
72,T72,T72,Kevin Streelman,114,+.36,70.63,70.99
73,T74,T74,Woody Austin,109,+.35,71.1,71.45
74,T74,T74,Gavin Coles,54,+.35,70.65,71.0
75,T74,T74,Bob Estes,90,+.35,70.69,71.04
76,77,77,Brian Davis,108,+.34,70.73,71.07
77,T78,T78,Lucas Glover,91,+.33,70.95,71.28
78,T78,T78,Billy Mayfair,103,+.33,70.76,71.09
79,T78,T78,Vaughn Taylor,103,+.33,70.84,71.17
80,81,81,Brett Quigley,80,+.32,71.28,71.6
81,T82,T82,George McNeill,97,+.29,70.94,71.23
82,T82,T82,Dean Wilson,109,+.29,70.98,71.27
83,T84,T84,Shane Bertsch,96,+.27,70.56,70.83
84,T84,T84,Tom Lehman,51,+.27,71.98,72.25
85,86,86,Rod Pampling,83,+.26,71.39,71.65
