,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Padraig Harrington,52,21.21,14,66
1,2,2,Parker McLachlin,88,20.48,17,83
2,3,3,Vijay Singh,82,20.34,24,118
3,4,4,Steve Stricker,75,20.31,26,128
4,5,5,Anthony Kim,81,20.17,24,119
5,6,6,Brett Rumford,72,19.81,21,106
6,7,7,Stewart Cink,87,19.8,20,101
7,8,8,Stephen Ames,83,19.64,22,112
8,9,9,J.P. Hayes,67,19.32,17,88
9,10,10,Bubba Watson,97,19.21,29,151
10,11,11,Joe Ogilvie,100,19.14,31,162
11,12,12,Gavin Coles,54,19.12,13,68
12,13,13,Kevin Stadler,90,19.08,25,131
13,14,14,Bill Haas,99,18.9,31,164
14,15,15,Carl Pettersson,110,18.81,38,202
15,T16,T16,Steve Elkington,84,18.75,21,112
16,T16,T16,Tom Lehman,51,18.75,9,48
17,18,18,Brenden Pappas,66,18.45,19,103
18,19,19,Tom Scherrer,56,18.31,13,71
19,20,20,Mark Calcavecchia,67,17.86,15,84
20,21,21,Ryan Armour,87,17.71,17,96
21,22,22,Jason Gore,94,17.7,20,113
22,23,23,Carlos Franco,73,17.69,23,130
23,24,24,Travis Perkins,53,17.57,13,74
24,25,25,Steve Lowery,74,17.54,20,114
25,T26,T26,Daniel Chopra,84,17.48,25,143
26,T26,T26,Ryan Moore,72,17.48,18,103
27,28,28,Pat Perez,93,17.39,20,115
28,29,29,Rory Sabbatini,77,17.31,18,104
29,30,30,Phil Mickelson,80,17.29,23,133
30,31,31,Martin Laird,98,17.19,22,128
31,32,32,Tim Clark,90,17.09,20,117
32,33,33,Ian Poulter,51,16.98,9,53
33,34,34,Robert Allenby,108,16.94,21,124
34,T35,T35,Adam Scott,51,16.88,13,77
35,T35,T35,David Toms,70,16.88,13,77
36,T37,T37,Mark Hensby,71,16.67,22,132
37,T37,T37,Jeff Overton,103,16.67,30,180
38,T37,T37,John Rollins,94,16.67,18,108
39,T40,T40,Woody Austin,109,16.53,20,121
