,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Ryan Palmer,69,4.16,287,69
1,2,2,Robert Garrigus,90,3.89,350,90
2,3,3,Bob Tway,70,3.87,271,70
3,4,4,John Huston,56,3.86,216,56
4,5,5,Camilo Villegas,79,3.83,299,78
5,6,6,Kenny Perry,97,3.79,368,97
6,7,7,Phil Mickelson,80,3.78,295,78
7,8,8,Padraig Harrington,52,3.76,188,50
8,T9,T9,Steve Marino,119,3.7,440,119
9,T9,T9,Rory Sabbatini,77,3.7,281,76
10,T11,T11,Ken Duke,116,3.69,428,116
11,T11,T11,Jason Gore,94,3.69,347,94
12,13,13,Tommy Gainey,60,3.68,221,60
13,T14,T14,Ben Crane,86,3.67,316,86
14,T14,T14,Joe Ogilvie,100,3.67,367,100
15,T16,T16,Stewart Cink,87,3.65,296,81
16,T16,T16,Anthony Kim,81,3.65,296,81
17,T16,T16,Pat Perez,93,3.65,336,92
18,T19,T19,Steve Elkington,84,3.64,306,84
19,T19,T19,J.B. Holmes,86,3.64,309,85
20,T19,T19,Justin Leonard,101,3.64,346,95
21,T19,T19,Mark Wilson,107,3.64,389,107
22,T23,T23,Nathan Green,95,3.63,345,95
23,T23,T23,Bill Haas,99,3.63,359,99
24,T25,T25,Martin Laird,98,3.62,355,98
25,T25,T25,Vaughn Taylor,103,3.62,373,103
26,27,27,Michael Letzig,88,3.61,318,88
27,28,28,Vijay Singh,82,3.6,281,78
28,T29,T29,Robert Allenby,108,3.59,384,107
29,T29,T29,Mark Hensby,71,3.59,255,71
30,T29,T29,Jesper Parnevik,88,3.59,316,88
31,T29,T29,Tim Petrovic,97,3.59,348,97
32,33,33,Brian Gay,102,3.58,365,102
33,T34,T34,Chad Campbell,94,3.57,336,94
34,T34,T34,George McNeill,97,3.57,346,97
35,T34,T34,Tag Ridings,88,3.57,314,88
36,T37,T37,Brian Davis,108,3.56,384,108
37,T37,T37,Kevin Streelman,114,3.56,406,114
38,T39,T39,Shane Bertsch,96,3.55,341,96
39,T39,T39,Kevin Sutherland,98,3.55,348,98
40,T41,T41,Jeff Overton,103,3.54,365,103
41,T41,T41,Scott Verplank,82,3.54,287,81
42,T43,T43,Dudley Hart,74,3.53,261,74
43,T43,T43,Adam Scott,51,3.53,173,49
44,T43,T43,Nicholas Thompson,113,3.53,399,113
45,T43,T43,Nick Watney,96,3.53,339,96
46,T47,T47,Stephen Ames,83,3.52,289,82
47,T47,T47,Tim Clark,90,3.52,313,89
48,T47,T47,Carlos Franco,73,3.52,257,73
49,T47,T47,Marc Turnesa,87,3.52,306,87
50,T51,T51,Cameron Beckman,87,3.51,305,87
51,T51,T51,Jonathan Byrd,88,3.51,298,85
52,T51,T51,Scott McCarron,63,3.51,221,63
53,T51,T51,Bubba Watson,97,3.51,340,97
54,T55,T55,Fred Couples,60,3.5,210,60
55,T55,T55,Frank Lickliter II,107,3.5,375,107
56,T55,T55,Kevin Stadler,90,3.5,315,90
57,T55,T55,D.J. Trahan,94,3.5,329,94
58,T59,T59,Michael Allen,91,3.49,318,91
59,T59,T59,Aaron Baddeley,76,3.49,255,73
60,T61,T61,Tommy Armour III,77,3.48,268,77
61,T61,T61,Charley Hoffman,94,3.48,327,94
62,T61,T61,Kevin Na,97,3.48,338,97
63,T61,T61,Boo Weekley,86,3.48,289,83
64,T65,T65,Steve Allan,58,3.47,201,58
65,T65,T65,Dustin Johnson,92,3.47,319,92
66,T65,T65,Hunter Mahan,87,3.47,295,85
67,T68,T68,Sergio Garcia,72,3.46,242,70
68,T68,T68,Lee Janzen,89,3.46,308,89
69,T68,T68,Ryan Moore,72,3.46,249,72
70,T71,T71,Troy Matteson,94,3.45,324,94
71,T71,T71,Brenden Pappas,66,3.45,228,66
72,T71,T71,Bo Van Pelt,101,3.45,348,101
73,T74,T74,Ryan Armour,87,3.44,299,87
74,T74,T74,Woody Austin,109,3.44,361,105
75,T74,T74,Gavin Coles,54,3.44,186,54
76,T74,T74,Jason Day,81,3.44,279,81
77,T74,T74,Mathew Goggin,91,3.44,313,91
78,T74,T74,John Mallinger,95,3.44,327,95
79,T74,T74,Tom Pernice Jr.,104,3.44,358,104
80,T74,T74,Carl Pettersson,110,3.44,378,110
81,T74,T74,Dean Wilson,109,3.44,375,109
82,T83,T83,Stuart Appleby,87,3.43,288,84
83,T83,T83,Ryuji Imada,80,3.43,274,80
84,85,85,Tim Herron,97,3.42,332,97
85,86,86,Jeff Maggert,86,3.41,293,86
86,T87,T87,Paul Casey,55,3.4,177,52
87,T87,T87,K.J. Choi,74,3.4,238,70
88,T87,T87,Daniel Chopra,84,3.4,282,83
89,T87,T87,Steve Flesch,95,3.4,323,95
90,T87,T87,Lucas Glover,91,3.4,309,91
91,T87,T87,Kent Jones,68,3.4,231,68
92,T87,T87,David Toms,70,3.4,231,68
93,T87,T87,Mike Weir,88,3.4,296,87
94,T95,T95,Marco Dawson,64,3.39,217,64
95,T95,T95,Jeff Quinney,87,3.39,295,87
96,97,97,James Driscoll,85,3.38,287,85
97,T98,T98,Brad Adamonis,87,3.37,293,87
98,T98,T98,Eric Axley,113,3.37,381,113
99,T98,T98,Joe Durant,92,3.37,310,92
100,T98,T98,Zach Johnson,85,3.37,283,84
101,T98,T98,Charlie Wi,97,3.37,327,97
