,Tenth_Tee_Late_Lowest_Round_RANK THIS WEEK,Tenth_Tee_Late_Lowest_Round_RANK LAST WEEK,Tenth_Tee_Late_Lowest_Round_PLAYER NAME,Tenth_Tee_Late_Lowest_Round_ROUNDS,Tenth_Tee_Late_Lowest_Round_LOW RND
0,T1,T1,Kevin Stadler,90,61
1,T1,T1,Roland Thatcher,41,61
2,T3,T3,Tim Clark,90,62
3,T3,T3,Gavin Coles,54,62
4,T3,T3,Paul Goydos,78,62
5,T3,T3,Marc Turnesa,87,62
6,T7,T7,Brian Davis,108,63
7,T7,T7,Ken Duke,116,63
8,T7,T7,Bob Estes,90,63
9,T7,T7,John Huston,56,63
10,T7,T7,Dustin Johnson,92,63
11,T7,T7,Matt Kuchar,88,63
12,T7,T7,Doug LaBelle II,65,63
13,T7,T7,John Mallinger,95,63
14,T7,T7,Scott Sterling,89,63
15,T7,T7,Johnson Wagner,83,63
16,T17,T17,Tommy Armour III,77,64
17,T17,T17,Briny Baird,113,64
18,T17,T17,Olin Browne,77,64
19,T17,T17,Jonathan Byrd,88,64
20,T17,T17,Mark Calcavecchia,67,64
21,T17,T17,Fred Couples,60,64
22,T17,T17,Glen Day,64,64
23,T17,T17,Mathias Grönberg,87,64
24,T17,T17,Dudley Hart,74,64
25,T17,T17,Jerry Kelly,89,64
26,T17,T17,Peter Lonard,92,64
27,T17,T17,Steve Lowery,74,64
28,T17,T17,Hunter Mahan,87,64
29,T17,T17,Billy Mayfair,103,64
30,T17,T17,John Merrick,98,64
31,T17,T17,Ryan Moore,72,64
32,T17,T17,Kevin Na,97,64
33,T17,T17,Carl Pettersson,110,64
34,T17,T17,Chez Reavie,102,64
35,T17,T17,Joey Sindelar,15,64
36,T17,T17,D.J. Trahan,94,64
37,T17,T17,Bob Tway,70,64
38,T17,T17,Jimmy Walker,73,64
39,T17,T17,Charlie Wi,97,64
40,T17,T17,Garrett Willis,34,64
41,T17,T17,Dean Wilson,109,64
42,T43,T43,Woody Austin,109,65
43,T43,T43,Aaron Baddeley,76,65
44,T43,T43,Ben Crane,86,65
45,T43,T43,Marco Dawson,64,65
46,T43,T43,Todd Demsey,80,65
47,T43,T43,John Douma,4,65
48,T43,T43,Kenneth Ferrie,72,65
49,T43,T43,Steve Flesch,95,65
50,T43,T43,Harrison Frazar,73,65
51,T43,T43,Mathew Goggin,91,65
52,T43,T43,Retief Goosen,59,65
53,T43,T43,Padraig Harrington,52,65
54,T43,T43,Tim Herron,97,65
55,T43,T43,Charley Hoffman,94,65
56,T43,T43,Ryuji Imada,80,65
57,T43,T43,Richard Johnson,77,65
58,T43,T43,Craig Kanada,65,65
59,T43,T43,Peter Karmis,4,65
60,T43,T43,Cliff Kresge,84,65
61,T43,T43,Justin Leonard,101,65
62,T43,T43,Michael Letzig,88,65
63,T43,T43,Frank Lickliter II,107,65
64,T43,T43,Davis Love III,78,65
65,T43,T43,Steve Marino,119,65
66,T43,T43,Shigeki Maruyama,50,65
67,T43,T43,Nick O'Hern,82,65
68,T43,T43,Arron Oberholser,33,65
69,T43,T43,Pat Perez,93,65
70,T43,T43,Tom Pernice Jr.,104,65
71,T43,T43,Jeff Quinney,87,65
72,T43,T43,John Riegger,73,65
73,T43,T43,Kevin Streelman,114,65
74,T43,T43,Chris Stroud,81,65
75,T43,T43,Kevin Sutherland,98,65
76,T43,T43,Ron Whittaker,54,65
77,T43,T43,Tim Wilkinson,95,65
78,T43,T43,Mark Wilson,107,65
79,T43,T43,Tiger Woods,26,65
80,T81,T81,Brad Adamonis,87,66
81,T81,T81,Robert Allenby,108,66
82,T81,T81,Stuart Appleby,87,66
83,T81,T81,Ryan Armour,87,66
84,T81,T81,Eric Axley,113,66
85,T81,T81,Cameron Beckman,87,66
86,T81,T81,Rich Beem,90,66
87,T81,T81,Shane Bertsch,96,66
88,T81,T81,Andrew Buckle,46,66
89,T81,T81,Tom Byrum,36,66
90,T81,T81,K.J. Choi,74,66
91,T81,T81,Daniel Chopra,84,66
92,T81,T81,Stewart Cink,87,66
93,T81,T81,Jason Day,81,66
94,T81,T81,Steve Elkington,84,66
95,T81,T81,Ernie Els,51,66
96,T81,T81,Nick Flanagan,89,66
97,T81,T81,Fred Funk,42,66
98,T81,T81,Sergio Garcia,72,66
99,T81,T81,Robert Garrigus,90,66
100,T81,T81,Lucas Glover,91,66
101,T81,T81,Jason Gore,94,66
102,T81,T81,Jeff Gove,50,66
103,T81,T81,Bob Heintz,48,66
104,T81,T81,Mark Hensby,71,66
105,T81,T81,Lee Janzen,89,66
106,T81,T81,Miguel Angel Jiménez,25,66
107,T81,T81,Kent Jones,68,66
108,T81,T81,Brendan Jones,15,66
109,T81,T81,Anthony Kim,81,66
110,T81,T81,Martin Laird,98,66
111,T81,T81,Jamie Lovemark,14,66
112,T81,T81,Jeff Maggert,86,66
113,T81,T81,Jim McGovern,75,66
114,T81,T81,Parker McLachlin,88,66
115,T81,T81,Jon Mills,95,66
116,T81,T81,Larry Mize,46,66
117,T81,T81,Jeff Overton,103,66
118,T81,T81,Ryan Palmer,69,66
119,T81,T81,Rod Pampling,83,66
120,T81,T81,Brenden Pappas,66,66
121,T81,T81,Jin Park,85,66
122,T81,T81,Jesper Parnevik,88,66
123,T81,T81,Kenny Perry,97,66
124,T81,T81,Tim Petrovic,97,66
125,T81,T81,Andres Romero,69,66
126,T81,T81,Rory Sabbatini,77,66
127,T81,T81,John Senden,93,66
128,T81,T81,Vijay Singh,82,66
129,T81,T81,Heath Slocum,104,66
130,T81,T81,Steve Stricker,75,66
131,T81,T81,Kyle Thompson,70,66
132,T81,T81,Nicholas Thompson,113,66
133,T81,T81,Camilo Villegas,79,66
134,T81,T81,Nick Watney,96,66
135,T81,T81,Bubba Watson,97,66
136,T81,T81,Boo Weekley,86,66
137,T81,T81,Mike Weir,88,66
138,T81,T81,Lee Westwood,32,66
139,T81,T81,Y.E. Yang,89,66
140,T141,T141,Michael Allen,91,67
141,T141,T141,Justin Bolli,87,67
142,T141,T141,Bart Bryant,81,67
143,T141,T141,Ángel Cabrera,55,67
144,T141,T141,Chad Campbell,94,67
145,T141,T141,Alejandro Cañizares,52,67
146,T141,T141,Paul Casey,55,67
147,T141,T141,Paul Claxton,63,67
148,T141,T141,José Coceres,37,67
149,T141,T141,Chad Collins,72,67
150,T141,T141,John Daly,43,67
151,T141,T141,Bryan DeCorso,4,67
152,T141,T141,Carlos Franco,73,67
153,T141,T141,Cody Freeman,66,67
154,T141,T141,Tommy Gainey,60,67
155,T141,T141,Robert Gamez,79,67
156,T141,T141,Brian Gay,102,67
157,T141,T141,Nathan Green,95,67
158,T141,T141,Anton Haig,8,67
159,T141,T141,Todd Hamilton,92,67
160,T141,T141,J.P. Hayes,67,67
161,T141,T141,J.J. Henry,108,67
162,T141,T141,J.B. Holmes,86,67
163,T141,T141,Charles Howell III,101,67
164,T141,T141,Brandt Jobe,52,67
165,T141,T141,Zach Johnson,85,67
166,T141,T141,Matt Jones,95,67
167,T141,T141,David Lutterus,59,67
168,T141,T141,George McNeill,97,67
169,T141,T141,Joe Ogilvie,100,67
170,T141,T141,Geoff Ogilvy,65,67
171,T141,T141,Dicky Pride,39,67
172,T141,T141,Brett Quigley,80,67
173,T141,T141,Patrick Sheehan,124,67
174,T141,T141,Richard Sterne,25,67
175,T141,T141,Vaughn Taylor,103,67
176,T141,T141,Michael Thompson,14,67
177,T141,T141,Omar Uresti,74,67
178,T141,T141,Bo Van Pelt,101,67
179,T141,T141,Scott Verplank,82,67
180,T141,T141,Charles Warren,79,67
181,T141,T141,Jay Williamson,96,67
182,T141,T141,Casey Wittenberg,12,67
183,T184,T184,Steve Allan,58,68
184,T184,T184,Stephen Ames,83,68
185,T184,T184,Casey Bourque,3,68
186,T184,T184,Michael Bradley,40,68
187,T184,T184,Mark Brooks,48,68
188,T184,T184,SSP Chawrasia,4,68
189,T184,T184,Ben Curtis,80,68
190,T184,T184,Chris DiMarco,87,68
191,T184,T184,Luke Donald,35,68
192,T184,T184,James Driscoll,85,68
193,T184,T184,Joe Durant,92,68
194,T184,T184,Brad Elder,67,68
195,T184,T184,Robert Floyd,8,68
196,T184,T184,Jim Furyk,95,68
197,T184,T184,Bill Haas,99,68
198,T184,T184,Soren Hansen,27,68
199,T184,T184,Grégory Havret,8,68
200,T184,T184,Freddie Jacobson,78,68
201,T184,T184,James Kingston,16,68
