,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,T1,T1,Jim Furyk,95,69.0,207,3
1,T1,T1,John Huston,56,69.0,621,9
2,T1,T1,Geoff Ogilvy,65,69.0,414,6
3,T4,T4,Stewart Cink,87,69.29,485,7
4,T4,T4,Steve Stricker,75,69.29,485,7
5,6,6,Kenny Perry,97,69.45,764,11
6,T7,T7,Craig Kanada,65,69.5,973,14
7,T7,T7,Camilo Villegas,79,69.5,556,8
8,T9,T9,Brian Gay,102,69.58,835,12
9,T9,T9,Nick O'Hern,82,69.58,835,12
10,11,11,Anthony Kim,81,69.67,836,12
11,12,12,D.J. Trahan,94,69.72,1255,18
12,13,13,Tim Clark,90,69.82,768,11
13,14,14,J.B. Holmes,86,69.91,769,11
14,15,15,Kevin Streelman,114,69.92,1818,26
15,16,16,Steve Marino,119,69.96,1609,23
16,17,17,John Merrick,98,70.0,1610,23
17,T18,T18,Peter Lonard,92,70.06,1121,16
18,T18,T18,Vaughn Taylor,103,70.06,1261,18
19,20,20,Glen Day,64,70.09,771,11
20,T21,T21,Gavin Coles,54,70.11,631,9
21,T21,T21,Ben Crane,86,70.11,1262,18
22,T23,T23,Matt Jones,95,70.17,842,12
23,T23,T23,Vijay Singh,82,70.17,421,6
24,25,25,Woody Austin,109,70.18,1193,17
25,T26,T26,Brian Davis,108,70.21,1685,24
26,T26,T26,Mathias Grönberg,87,70.21,1334,19
27,T26,T26,Matt Kuchar,88,70.21,983,14
28,T29,T29,Kent Jones,68,70.23,913,13
29,T29,T29,Charlie Wi,97,70.23,1545,22
30,31,31,Rory Sabbatini,77,70.3,703,10
31,T32,T32,Fred Couples,60,70.33,844,12
32,T32,T32,Justin Leonard,101,70.33,633,9
33,T32,T32,Kevin Stadler,90,70.33,1055,15
34,T35,T35,Stuart Appleby,87,70.36,774,11
35,T35,T35,Ryan Palmer,69,70.36,774,11
36,37,37,Jeff Overton,103,70.41,1549,22
37,38,38,Paul Goydos,78,70.43,986,14
38,39,39,Mathew Goggin,91,70.44,1127,16
39,40,40,Frank Lickliter II,107,70.48,1480,21
40,T41,T41,Pat Perez,93,70.53,1058,15
41,T41,T41,John Senden,93,70.53,1340,19
42,T41,T41,Nick Watney,96,70.53,1340,19
43,T44,T44,Bob Estes,90,70.56,1270,18
44,T44,T44,Tim Herron,97,70.56,1270,18
45,T44,T44,John Riegger,73,70.56,1270,18
46,47,47,Robert Garrigus,90,70.57,988,14
47,48,48,Padraig Harrington,52,70.6,353,5
48,49,49,Sergio Garcia,72,70.63,565,8
49,50,50,Briny Baird,113,70.64,1554,22
50,T51,T51,Kevin Na,97,70.65,1413,20
51,T51,T51,Chez Reavie,102,70.65,1837,26
52,T53,T53,Jerry Kelly,89,70.67,1484,21
53,T53,T53,Bob Tway,70,70.67,848,12
54,55,55,Johnson Wagner,83,70.71,1202,17
55,T56,T56,Shigeki Maruyama,50,70.73,778,11
56,T56,T56,Parker McLachlin,88,70.73,778,11
57,58,58,Mike Weir,88,70.75,566,8
58,59,59,Ken Duke,116,70.76,1486,21
59,60,60,Boo Weekley,86,70.81,1133,16
60,T61,T61,Brandt Jobe,52,70.82,779,11
61,T61,T61,Billy Mayfair,103,70.82,1204,17
62,63,63,Steve Elkington,84,70.83,850,12
63,64,64,Andres Romero,69,70.85,921,13
64,T65,T65,Tommy Armour III,77,70.86,992,14
65,T65,T65,Patrick Sheehan,124,70.86,1559,22
66,67,67,Lucas Glover,91,70.87,1063,15
67,68,68,Scott Verplank,82,70.89,638,9
68,69,69,Olin Browne,77,70.9,1418,20
