,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Kenny Perry,69.68,3693,53
1,2,2,Briny Baird,69.93,4266,61
2,3,3,Anthony Kim,70.0,3220,46
3,4,4,Brian Gay,70.03,4412,63
4,5,5,Phil Mickelson,70.1,2874,41
5,6,6,Steve Marino,70.18,4632,66
6,7,7,Robert Allenby,70.21,3932,56
7,8,8,Dudley Hart,70.29,3163,45
8,9,9,Charlie Wi,70.3,4007,57
9,10,10,Ben Crane,70.31,3586,51
10,11,11,Kevin Streelman,70.37,4715,67
11,12,12,Camilo Villegas,70.38,2956,42
12,13,13,John Huston,70.39,2534,36
13,14,14,Kevin Sutherland,70.4,3872,55
14,15,15,Justin Leonard,70.45,3593,51
15,T16,T16,Billy Mayfair,70.48,4229,60
16,T16,T16,Kevin Na,70.48,4229,60
17,T18,T18,Jim Furyk,70.49,3595,51
18,T18,T18,Vijay Singh,70.49,3172,45
19,T20,T20,Sergio Garcia,70.5,2538,36
20,T20,T20,Carl Pettersson,70.5,4230,60
21,22,22,Gavin Coles,70.53,2257,32
22,23,23,Bob Tway,70.55,2963,42
23,24,24,Ryan Palmer,70.58,3176,45
24,T25,T25,Stewart Cink,70.59,3247,46
25,T25,T25,Ken Duke,70.59,4871,69
26,27,27,Tommy Armour III,70.61,3460,49
27,T28,T28,Brian Davis,70.62,4802,68
28,T28,T28,Frank Lickliter II,70.62,4590,65
29,T28,T28,Patrick Sheehan,70.62,5155,73
30,T31,T31,Shane Bertsch,70.63,4167,59
31,T31,T31,John Mallinger,70.63,3955,56
32,33,33,Chez Reavie,70.65,4380,62
33,T34,T34,Stuart Appleby,70.66,3109,44
34,T34,T34,Tom Pernice Jr.,70.66,4310,61
35,36,36,Stephen Ames,70.67,3251,46
36,37,37,Mark Wilson,70.68,4170,59
37,38,38,Nick Watney,70.71,3889,55
38,39,39,Steve Elkington,70.75,3608,51
39,40,40,John Merrick,70.78,4176,59
40,41,41,Lucas Glover,70.83,3825,54
41,T42,T42,Chad Campbell,70.84,4038,57
42,T42,T42,Corey Pavin,70.84,3046,43
43,T44,T44,Ben Curtis,70.86,3118,44
44,T44,T44,Vaughn Taylor,70.86,4677,66
45,T46,T46,Mathew Goggin,70.88,4040,57
46,T46,T46,John Riegger,70.88,3402,48
47,T46,T46,Chris Riley,70.88,2410,34
48,T49,T49,Martin Laird,70.9,4325,61
49,T49,T49,Scott Verplank,70.9,3403,48
50,T49,T49,Mike Weir,70.9,3616,51
51,T52,T52,Parker McLachlin,70.91,3900,55
52,T52,T52,D.J. Trahan,70.91,4042,57
53,54,54,Heath Slocum,70.93,4256,60
54,55,55,Tim Herron,70.95,4186,59
55,T56,T56,Jeff Maggert,70.96,4045,57
56,T56,T56,Pat Perez,70.96,3761,53
57,T56,T56,John Senden,70.96,3974,56
58,T59,T59,Jeff Overton,70.98,4614,65
59,T59,T59,Bo Van Pelt,70.98,4543,64
60,T61,T61,Brad Elder,71.0,3479,49
61,T61,T61,Bill Haas,71.0,4544,64
62,T61,T61,Matt Jones,71.0,4615,65
63,T61,T61,Rory Sabbatini,71.0,3124,44
64,T65,T65,Brad Adamonis,71.02,4261,60
65,T65,T65,Bob Estes,71.02,3977,56
66,T65,T65,Matt Kuchar,71.02,4048,57
67,T68,T68,Michael Allen,71.04,4049,57
68,T68,T68,Todd Demsey,71.04,3765,53
69,70,70,Glen Day,71.05,2771,39
70,T71,T71,Jason Gore,71.09,4550,64
71,T71,T71,Dean Wilson,71.09,4692,66
72,T73,T73,Zach Johnson,71.1,3413,48
73,T73,T73,George McNeill,71.1,4195,59
74,75,75,Omar Uresti,71.12,3627,51
75,T76,T76,Fred Couples,71.14,2632,37
76,T76,T76,Carlos Franco,71.14,3557,50
77,T78,T78,Peter Lonard,71.15,4198,59
78,T78,T78,Scott Sterling,71.15,4198,59
79,T80,T80,Brett Quigley,71.16,3558,50
80,T80,T80,Tag Ridings,71.16,4341,61
81,T80,T80,David Toms,71.16,2704,38
82,83,83,Woody Austin,71.17,4270,60
83,T84,T84,Joe Ogilvie,71.18,4342,61
84,T84,T84,Brenden Pappas,71.18,3488,49
85,T84,T84,Bubba Watson,71.18,4271,60
86,T87,T87,Eric Axley,71.19,5197,73
87,T87,T87,Nick O'Hern,71.19,3417,48
88,T89,T89,Lee Janzen,71.2,4201,59
89,T89,T89,Brandt Snedeker,71.2,3631,51
90,91,91,Jesper Parnevik,71.22,4131,58
91,T92,T92,Cameron Beckman,71.23,4060,57
92,T92,T92,Marc Turnesa,71.23,4345,61
93,T92,T92,Boo Weekley,71.23,3419,48
94,T95,T95,Aaron Baddeley,71.24,2992,42
95,T95,T95,J.J. Henry,71.24,5058,71
96,T97,T97,Steve Flesch,71.25,4275,60
97,T97,T97,Charley Hoffman,71.25,4346,61
98,99,99,Tim Clark,71.26,3777,53
99,100,100,Robert Garrigus,71.27,3991,56
100,T101,T101,Kent Jones,71.28,3350,47
101,T101,T101,Craig Kanada,71.28,3279,46
102,103,103,Alejandro Cañizares,71.3,2353,33
103,T104,T104,Richard Johnson,71.31,2995,42
104,T104,T104,Kevin Stadler,71.31,4421,62
105,106,106,Geoff Ogilvy,71.32,2710,38
106,107,107,Jay Williamson,71.33,4565,64
107,T108,T108,Bart Bryant,71.35,3425,48
108,T108,T108,Jimmy Walker,71.35,3496,49
109,T108,T108,Y.E. Yang,71.35,4281,60
110,T111,T111,Sean O'Hair,71.36,3568,50
111,T111,T111,John Rollins,71.36,4139,58
112,T113,T113,Charles Howell III,71.38,4283,60
113,T113,T113,Rocco Mediate,71.38,3926,55
114,T113,T113,Johnson Wagner,71.38,3926,55
115,T116,T116,Doug LaBelle II,71.39,3141,44
116,T116,T116,Shigeki Maruyama,71.39,2356,33
117,T116,T116,Ryan Moore,71.39,3641,51
118,119,119,Steve Stricker,71.4,2999,42
119,T120,T120,Joe Durant,71.41,4142,58
120,T120,T120,Jim McGovern,71.41,3856,54
121,T120,T120,Ian Poulter,71.41,1928,27
122,123,123,Michael Letzig,71.42,4285,60
123,T124,T124,J.B. Holmes,71.43,3643,51
124,T124,T124,Dustin Johnson,71.43,4357,61
125,T126,T126,Jason Day,71.44,4072,57
126,T126,T126,Tim Petrovic,71.44,4715,66
127,T128,T128,Kenneth Ferrie,71.45,3644,51
128,T128,T128,Nick Flanagan,71.45,4287,60
129,T128,T128,Robert Gamez,71.45,3930,55
130,T131,T131,Adam Scott,71.46,2001,28
131,T131,T131,Tim Wilkinson,71.46,4359,61
132,T133,T133,Rich Beem,71.47,4145,58
133,T133,T133,Hunter Mahan,71.47,3645,51
134,T133,T133,Troy Matteson,71.47,4431,62
135,T133,T133,Nicholas Thompson,71.47,5289,74
136,T137,T137,Paul Claxton,71.49,3503,49
137,T137,T137,Freddie Jacobson,71.49,3503,49
138,T137,T137,Will MacKenzie,71.49,3074,43
139,140,140,Harrison Frazar,71.51,3361,47
140,141,141,Padraig Harrington,71.52,2074,29
141,142,142,Jonathan Byrd,71.53,3791,53
142,T143,T143,K.J. Choi,71.55,2862,40
143,T143,T143,Scott McCarron,71.55,3363,47
144,145,145,Marco Dawson,71.59,2935,41
145,146,146,Davis Love III,71.6,3365,47
146,147,147,Nathan Green,71.61,4368,61
147,148,148,Brandt Jobe,71.63,2722,38
148,149,149,Ted Purdy,71.65,3511,49
149,150,150,Paul Goydos,71.67,3727,52
150,T151,T151,Daniel Chopra,71.69,3943,55
151,T151,T151,Chad Collins,71.69,3513,49
152,153,153,Rod Pampling,71.71,4016,56
153,154,154,Olin Browne,71.72,4088,57
154,155,155,Jeff Gove,71.75,2583,36
155,156,156,Cliff Kresge,71.76,4162,58
156,157,157,Mathias Grönberg,71.77,4378,61
157,158,158,Greg Kraft,71.81,3088,43
158,159,159,Ryuji Imada,71.82,3663,51
159,160,160,Tom Scherrer,71.83,3017,42
160,T161,T161,Todd Hamilton,71.86,4168,58
161,T161,T161,Jeff Quinney,71.86,4096,57
162,163,163,Jerry Kelly,71.88,4313,60
163,164,164,Chris Stroud,71.9,4170,58
164,T165,T165,Ernie Els,71.93,2158,30
165,T165,T165,Trevor Immelman,71.93,3021,42
166,T167,T167,Justin Bolli,71.97,4246,59
167,T167,T167,Tom Lehman,71.97,2519,35
168,T167,T167,Jon Mills,71.97,4750,66
169,T170,T170,Chris DiMarco,71.98,4391,61
170,T170,T170,Steve Lowery,71.98,3671,51
171,172,172,Ryan Armour,72.0,4608,64
172,T173,T173,Alex Cejka,72.02,3817,53
173,T173,T173,James Driscoll,72.02,4105,57
174,T173,T173,Bob Sowards,72.02,3241,45
175,T173,T173,Ron Whittaker,72.02,3241,45
176,177,177,Brett Rumford,72.04,3962,55
