,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Nick Watney,96,39.53,151,382
1,2,2,Robert Garrigus,90,39.52,147,372
2,3,3,Michael Letzig,88,38.46,110,286
3,4,4,Fred Couples,60,37.85,81,214
4,5,5,Adam Scott,51,37.33,56,150
5,6,6,Brenden Pappas,66,36.92,72,195
6,7,7,Dustin Johnson,92,36.62,115,314
7,8,8,Stewart Cink,87,36.54,95,260
8,T9,T9,Phil Mickelson,80,36.09,96,266
9,T9,T9,Pat Perez,93,36.09,122,338
10,11,11,Kevin Stadler,90,35.62,104,292
11,12,12,Tag Ridings,88,35.42,119,336
12,13,13,Charley Hoffman,94,35.33,118,334
13,14,14,Martin Laird,98,35.31,119,337
14,15,15,Ryan Palmer,69,35.14,78,222
15,16,16,Mathew Goggin,91,34.87,121,347
16,17,17,Camilo Villegas,79,34.7,93,268
17,18,18,Bill Haas,99,34.44,124,360
18,19,19,Bubba Watson,97,34.38,121,352
19,20,20,J.B. Holmes,86,34.33,103,300
20,21,21,Davis Love III,78,34.3,83,242
21,22,22,Rory Sabbatini,77,34.13,86,252
22,23,23,Carlos Franco,73,34.04,80,235
23,24,24,Harrison Frazar,73,33.33,77,231
24,25,25,Vijay Singh,82,33.21,91,274
25,26,26,Mark Hensby,71,33.2,80,241
26,27,27,James Driscoll,85,33.12,105,317
27,28,28,Steve Allan,58,32.98,62,188
28,29,29,Lucas Glover,91,32.92,106,322
29,30,30,Sergio Garcia,72,32.91,77,234
30,31,31,Padraig Harrington,52,32.85,45,137
31,32,32,Jonathan Byrd,88,32.83,109,332
32,33,33,Mathias Grönberg,87,32.82,106,323
33,34,34,Jason Day,81,32.8,103,314
34,35,35,John Huston,56,32.74,55,168
35,36,36,Jason Allred,63,32.64,63,193
36,37,37,Charles Howell III,101,32.49,115,354
37,38,38,Woody Austin,109,32.4,116,358
38,39,39,Daniel Chopra,84,32.34,87,269
39,40,40,Aaron Baddeley,76,32.33,86,266
40,41,41,Boo Weekley,86,32.14,81,252
41,42,42,Parker McLachlin,88,31.85,93,292
42,43,43,Nicholas Thompson,113,31.81,132,415
43,44,44,Tommy Gainey,60,31.79,55,173
44,T45,T45,Jesper Parnevik,88,31.72,98,309
45,T45,T45,Tom Scherrer,56,31.72,46,145
46,47,47,Kyle Thompson,70,31.49,57,181
47,48,48,Brad Adamonis,87,31.38,91,290
48,49,49,Andres Romero,69,31.28,66,211
49,50,50,Sean O'Hair,81,31.27,81,259
50,T51,T51,Anthony Kim,81,31.18,82,263
51,T51,T51,Bo Van Pelt,101,31.18,111,356
52,53,53,Jason Gore,94,31.05,95,306
53,54,54,George McNeill,97,30.97,118,381
54,55,55,Tim Herron,97,30.48,96,315
55,56,56,Kevin Na,97,30.25,108,357
56,57,57,John Merrick,98,30.23,91,301
57,58,58,Troy Matteson,94,30.22,110,364
58,59,59,Todd Demsey,80,30.15,79,262
59,60,60,Matt Jones,95,30.12,103,342
60,61,61,Charles Warren,79,30.09,96,319
61,62,62,D.J. Trahan,94,30.0,96,320
62,63,63,Steve Marino,119,29.9,119,398
63,64,64,Johnson Wagner,83,29.82,85,285
64,65,65,Hunter Mahan,87,29.77,89,299
65,66,66,Ted Purdy,68,29.65,67,226
66,T67,T67,Joe Ogilvie,100,29.63,104,351
67,T67,T67,Kenny Perry,97,29.63,112,378
68,69,69,Jeff Overton,103,29.51,103,349
69,70,70,Kevin Streelman,114,29.5,113,383
70,71,71,Peter Lonard,92,29.48,97,329
71,72,72,Steve Stricker,75,29.44,68,231
72,73,73,Kevin Sutherland,98,29.27,108,369
73,74,74,K.J. Choi,74,29.0,67,231
74,75,75,Bob Sowards,61,28.96,53,183
75,76,76,Mark Calcavecchia,67,28.85,60,208
76,T77,T77,Nathan Green,95,28.82,117,406
77,T77,T77,Brandt Jobe,52,28.82,49,170
78,T79,T79,Ryan Moore,72,28.79,76,264
79,T79,T79,John Senden,93,28.79,93,323
80,T81,T81,Robert Allenby,108,28.77,105,365
81,T81,T81,Brett Quigley,80,28.77,84,292
82,83,83,Cameron Beckman,87,28.68,76,265
83,84,84,Marco Dawson,64,28.65,53,185
84,85,85,Ernie Els,51,28.57,38,133
85,86,86,Chad Campbell,94,28.53,97,340
86,87,87,Stephen Ames,83,28.45,68,239
87,T88,T88,Ángel Cabrera,55,28.4,46,162
88,T88,T88,Retief Goosen,59,28.4,48,169
89,90,90,Nick Flanagan,89,28.35,91,321
90,91,91,Tim Petrovic,97,28.34,87,307
91,92,92,David Toms,70,28.27,54,191
92,93,93,Kenneth Ferrie,72,28.24,74,262
93,94,94,Michael Allen,91,28.06,78,278
94,95,95,Jeff Maggert,86,27.74,86,310
95,96,96,Y.E. Yang,89,27.71,87,314
96,97,97,Stuart Appleby,87,27.68,75,271
97,98,98,Rod Pampling,83,27.61,82,297
98,99,99,Brandt Snedeker,85,27.51,74,269
99,100,100,Bob Tway,70,27.45,56,204
100,101,101,Ken Duke,116,27.41,111,405
101,T102,T102,Joe Durant,92,27.39,86,314
102,T102,T102,Jimmy Walker,73,27.39,66,241
103,104,104,Travis Perkins,53,27.34,38,139
104,105,105,Ben Curtis,80,27.19,62,228
105,106,106,Eric Axley,113,27.17,97,357
106,107,107,Marc Turnesa,87,27.11,74,273
107,T108,T108,Rich Beem,90,27.01,84,311
108,T108,T108,Steve Flesch,95,27.01,84,311
109,110,110,David Lutterus,59,26.86,47,175
110,111,111,Mike Weir,88,26.82,70,261
111,112,112,Kent Jones,68,26.77,53,198
112,113,113,Scott McCarron,63,26.67,56,210
113,114,114,Jon Mills,95,26.64,77,289
114,115,115,Vaughn Taylor,103,26.48,85,321
115,116,116,Frank Lickliter II,107,26.46,109,412
116,117,117,John Rollins,94,26.38,81,307
117,118,118,Richard Johnson,77,26.26,73,278
118,119,119,Zach Johnson,85,26.16,79,302
119,120,120,Jim McGovern,75,26.09,54,207
120,121,121,Justin Bolli,87,26.06,74,284
121,122,122,Tom Lehman,51,25.87,37,143
122,123,123,Patrick Sheehan,124,25.82,94,364
123,T124,T124,John Mallinger,95,25.8,81,314
124,T124,T124,Mark Wilson,107,25.8,97,376
125,126,126,Ryuji Imada,80,25.71,72,280
126,127,127,Will MacKenzie,62,25.5,51,200
127,128,128,Rocco Mediate,87,25.44,73,287
128,129,129,Ben Crane,86,25.35,73,288
129,130,130,Doug LaBelle II,65,25.29,43,170
130,131,131,J.P. Hayes,67,25.25,51,202
131,132,132,Billy Mayfair,103,25.2,93,369
132,133,133,Paul Casey,55,25.18,35,139
133,134,134,Tim Wilkinson,95,25.17,74,294
134,T135,T135,John Riegger,73,25.11,57,227
135,T135,T135,Brett Rumford,72,25.11,59,235
136,137,137,Lee Janzen,89,25.1,64,255
137,138,138,Shane Bertsch,96,24.92,78,313
138,139,139,Dudley Hart,74,24.91,66,265
139,140,140,Trevor Immelman,70,24.88,51,205
140,141,141,Carl Pettersson,110,24.8,94,379
141,T142,T142,Briny Baird,113,24.79,88,355
142,T142,T142,J.J. Henry,108,24.79,89,359
143,144,144,Brad Elder,67,24.72,44,178
144,145,145,Jim Furyk,95,24.68,78,316
145,146,146,Robert Gamez,79,24.63,67,272
146,147,147,Todd Hamilton,92,24.48,70,286
147,148,148,Tom Pernice Jr.,104,24.46,90,368
148,149,149,Ryan Armour,87,24.4,61,250
149,150,150,Jeff Gove,50,24.34,37,152
150,151,151,Cliff Kresge,84,24.19,67,277
151,T152,T152,Tommy Armour III,77,24.07,52,216
152,T152,T152,Alejandro Cañizares,52,24.07,39,162
153,154,154,Greg Kraft,63,24.0,36,150
154,155,155,Steve Elkington,84,23.99,65,271
155,156,156,Charlie Wi,97,23.94,79,330
156,157,157,Cody Freeman,66,23.78,44,185
157,158,158,Brian Davis,108,23.72,97,409
158,159,159,Chris Riley,51,23.53,36,153
159,160,160,Jerry Kelly,89,23.08,66,286
160,161,161,Geoff Ogilvy,65,22.99,43,187
161,162,162,Chris Stroud,81,22.67,56,247
162,163,163,Chris DiMarco,87,22.46,64,285
163,T164,T164,Gavin Coles,54,22.22,34,153
164,T164,T164,David Duval,51,22.22,32,144
165,T164,T164,Freddie Jacobson,78,22.22,54,243
166,T164,T164,Shigeki Maruyama,50,22.22,40,180
167,168,168,Ron Whittaker,54,22.06,30,136
168,169,169,Justin Leonard,101,21.91,55,251
169,170,170,Glen Day,64,21.88,42,192
170,171,171,Steve Lowery,74,21.8,58,266
171,172,172,Chad Collins,72,21.67,52,240
172,173,173,Dean Wilson,109,21.29,76,357
173,174,174,Jeff Quinney,87,21.07,59,280
174,175,175,Scott Verplank,82,20.82,56,269
175,176,176,Alex Cejka,75,20.73,51,246
176,177,177,Richard Johnson,60,20.71,35,169
177,178,178,Jay Williamson,96,20.6,55,267
178,179,179,Billy Andrade,71,20.57,43,209
179,180,180,Chez Reavie,102,20.52,71,346
180,181,181,Craig Kanada,65,20.41,40,196
181,T182,T182,Tim Clark,90,20.4,61,299
182,T182,T182,Omar Uresti,74,20.4,51,250
183,184,184,Nick O'Hern,82,20.23,52,257
184,185,185,Heath Slocum,104,20.21,58,287
185,186,186,Bob Estes,90,19.94,64,321
186,187,187,Brian Gay,102,19.71,67,340
187,188,188,Ian Poulter,51,19.7,26,132
188,189,189,Jin Park,85,19.61,50,255
189,190,190,Scott Sterling,89,19.52,49,251
190,191,191,Matt Kuchar,88,19.25,51,265
191,192,192,Corey Pavin,69,18.78,43,229
192,193,193,Paul Goydos,78,18.53,53,286
193,194,194,Paul Claxton,63,17.14,30,175
194,195,195,Stephen Leaney,53,16.99,26,153
195,196,196,Bart Bryant,81,16.67,41,246
196,197,197,Olin Browne,77,15.95,37,232
