,Late_Round_5_Scoring_Average_RANK THIS WEEK,Late_Round_5_Scoring_Average_RANK LAST WEEK,Late_Round_5_Scoring_Average_PLAYER NAME,Late_Round_5_Scoring_Average_AVG,Late_Round_5_Scoring_Average_TOTAL STROKES,Late_Round_5_Scoring_Average_TOTAL ROUNDS
0,T1,T1,Chez Reavie,65.0,65,1
1,T1,T1,D.J. Trahan,65.0,65,1
2,3,3,Ryan Moore,66.0,66,1
3,T4,T4,Ryan Armour,69.0,69,1
4,T4,T4,Chad Campbell,69.0,69,1
5,T4,T4,Steve Elkington,69.0,69,1
6,T4,T4,Bill Haas,69.0,69,1
7,T4,T4,J.J. Henry,69.0,69,1
8,T4,T4,Anthony Kim,69.0,69,1
9,T4,T4,Kenny Perry,69.0,69,1
10,T11,T11,Fred Couples,70.0,70,1
11,T11,T11,Ryuji Imada,70.0,70,1
12,T11,T11,Martin Laird,70.0,70,1
13,T11,T11,John Merrick,70.0,70,1
14,T11,T11,Joe Ogilvie,70.0,70,1
15,T11,T11,Jeff Quinney,70.0,70,1
16,T11,T11,Brett Rumford,70.0,70,1
17,T11,T11,Nicholas Thompson,70.0,70,1
18,T19,T19,Ben Crane,71.0,71,1
19,T19,T19,Lucas Glover,71.0,71,1
20,T19,T19,Dustin Johnson,71.0,71,1
21,T19,T19,Patrick Sheehan,71.0,71,1
22,T19,T19,Scott Verplank,71.0,71,1
23,T19,T19,Boo Weekley,71.0,71,1
24,T25,T25,Shane Bertsch,72.0,72,1
25,T25,T25,Justin Leonard,72.0,72,1
26,T25,T25,Michael Letzig,72.0,72,1
27,T28,T28,Paul Goydos,73.0,73,1
28,T28,T28,Scott McCarron,73.0,73,1
29,30,30,Robert Gamez,74.0,74,1
30,31,31,Ken Duke,75.0,75,1
