,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
0,1,1,Vijay Singh,82,51.54,117,227
1,2,2,Phil Mickelson,80,50.84,121,238
2,3,3,Robert Garrigus,90,50.35,145,288
3,4,4,J.B. Holmes,86,50.19,133,265
4,5,5,Camilo Villegas,79,49.11,110,224
5,6,6,Anthony Kim,81,48.46,110,227
6,7,7,Nick Watney,96,48.29,155,321
7,8,8,Bubba Watson,97,47.46,140,295
8,9,9,Fred Couples,60,47.34,98,207
9,T10,T10,Stewart Cink,87,47.19,126,267
10,T10,T10,Lucas Glover,91,47.19,126,267
11,12,12,Ryan Palmer,69,46.98,101,215
12,13,13,Adam Scott,51,46.94,69,147
13,14,14,Brenden Pappas,66,46.89,98,209
14,15,15,Sergio Garcia,72,46.88,90,192
15,16,16,Martin Laird,98,46.73,143,306
16,17,17,Joe Ogilvie,100,46.5,146,314
17,18,18,Tag Ridings,88,45.77,130,284
18,19,19,Bill Haas,99,45.69,143,313
19,20,20,Charles Howell III,101,45.59,150,329
20,21,21,Kevin Sutherland,98,45.58,134,294
21,22,22,Kenny Perry,97,45.14,130,288
22,23,23,Padraig Harrington,52,44.97,67,149
23,24,24,Carlos Franco,73,44.9,110,245
24,25,25,Mathew Goggin,91,44.79,129,288
25,26,26,Tommy Gainey,60,44.74,85,190
26,27,27,Aaron Baddeley,76,44.54,102,229
27,28,28,Steve Marino,119,44.48,157,353
28,29,29,Michael Letzig,88,44.4,119,268
29,30,30,Boo Weekley,86,44.02,114,259
30,31,31,Nicholas Thompson,113,43.94,156,355
31,32,32,John Huston,56,43.92,83,189
32,33,33,Rory Sabbatini,77,43.81,99,226
33,T34,T34,John Merrick,98,43.71,132,302
34,T34,T34,Kevin Na,97,43.71,139,318
35,36,36,Charley Hoffman,94,43.58,129,296
36,37,37,Tommy Armour III,77,43.53,101,232
37,38,38,Ángel Cabrera,55,43.51,67,154
38,39,39,Mike Weir,88,43.38,118,272
39,40,40,Jason Day,81,43.35,114,263
40,41,41,Robert Allenby,108,43.32,146,337
41,42,42,Jesper Parnevik,88,43.22,118,273
42,43,43,Marc Turnesa,87,43.21,121,280
43,44,44,Pat Perez,93,43.06,121,281
44,45,45,George McNeill,97,42.9,130,303
45,46,46,Peter Lonard,92,42.86,117,273
46,T47,T47,Steve Allan,58,42.62,78,183
47,T47,T47,Brian Gay,102,42.62,127,298
48,49,49,Brian Davis,108,42.6,144,338
49,T50,T50,Chad Campbell,94,42.55,117,275
50,T50,T50,Justin Leonard,101,42.55,120,282
51,52,52,Sean O'Hair,81,42.54,97,228
52,53,53,John Riegger,73,42.49,99,233
53,54,54,Woody Austin,109,42.39,142,335
54,55,55,Steve Stricker,75,42.38,89,210
55,56,56,Nathan Green,95,42.35,130,307
56,57,57,Kevin Streelman,114,42.24,147,348
57,T58,T58,Stephen Ames,83,42.21,103,244
58,T58,T58,Ben Crane,86,42.21,111,263
59,60,60,Bob Tway,70,42.08,93,221
60,61,61,James Driscoll,85,41.99,118,281
61,62,62,Stuart Appleby,87,41.94,104,248
62,63,63,Frank Lickliter II,107,41.79,140,335
63,64,64,Jonathan Byrd,88,41.76,114,273
64,65,65,Jason Gore,94,41.75,129,309
65,66,66,Brett Rumford,72,41.74,96,230
66,67,67,Dustin Johnson,92,41.69,123,295
67,68,68,D.J. Trahan,94,41.67,120,288
68,69,69,Andres Romero,69,41.62,82,197
69,70,70,Ryuji Imada,80,41.54,108,260
70,71,71,David Toms,70,41.33,81,196
71,72,72,Jeff Overton,103,41.19,138,335
72,73,73,Jim Furyk,95,41.11,118,287
73,74,74,Mathias Grönberg,87,41.05,117,285
74,75,75,Bo Van Pelt,101,41.01,130,317
75,76,76,Matt Jones,95,40.85,125,306
76,77,77,Mark Calcavecchia,67,40.78,84,206
77,78,78,Y.E. Yang,89,40.77,117,287
78,79,79,Kevin Stadler,90,40.75,119,292
79,80,80,Charlie Wi,97,40.63,117,288
80,81,81,Todd Demsey,80,40.55,103,254
81,82,82,Hunter Mahan,87,40.39,103,255
82,83,83,Ken Duke,116,40.33,146,362
83,84,84,K.J. Choi,74,40.29,83,206
84,T85,T85,Retief Goosen,59,40.23,70,174
85,T85,T85,Johnson Wagner,83,40.23,107,266
86,87,87,Davis Love III,78,40.17,96,239
87,88,88,Parker McLachlin,88,40.14,112,279
88,89,89,Chris Riley,51,40.12,67,167
89,90,90,Mark Wilson,107,40.06,131,327
90,T91,T91,Ernie Els,51,40.0,56,140
91,T91,T91,Charles Warren,79,40.0,106,265
92,93,93,Joe Durant,92,39.86,116,291
93,94,94,Rod Pampling,83,39.84,100,251
94,95,95,Troy Matteson,94,39.81,123,309
95,96,96,Ted Purdy,68,39.73,87,219
96,97,97,Eric Axley,113,39.72,141,355
97,98,98,Tom Scherrer,56,39.69,77,194
98,99,99,Ryan Moore,72,39.66,94,237
99,100,100,Vaughn Taylor,103,39.55,123,311
100,101,101,Tom Pernice Jr.,104,39.48,122,309
101,102,102,Billy Mayfair,103,39.26,117,298
102,103,103,Daniel Chopra,84,39.13,108,276
103,104,104,Carl Pettersson,110,39.1,131,335
104,105,105,Tim Clark,90,39.04,98,251
105,106,106,Jason Allred,63,39.0,78,200
106,107,107,Jeff Gove,50,38.96,60,154
107,108,108,Shigeki Maruyama,50,38.85,61,157
108,109,109,Chris DiMarco,87,38.49,107,278
109,110,110,Cliff Kresge,84,38.43,98,255
110,111,111,Michael Allen,91,38.39,119,310
111,112,112,Mark Hensby,71,38.24,91,238
112,113,113,Steve Flesch,95,38.19,118,309
113,114,114,Tim Wilkinson,95,38.14,119,312
114,115,115,Tim Petrovic,97,37.9,119,314
115,116,116,Cameron Beckman,87,37.68,107,284
116,117,117,Will MacKenzie,62,37.62,76,202
117,118,118,Tom Lehman,51,37.58,59,157
118,119,119,John Senden,93,37.5,105,280
119,120,120,Bob Sowards,61,37.31,72,193
120,121,121,Scott McCarron,63,37.24,73,196
121,122,122,Ben Curtis,80,37.18,87,234
122,123,123,Rocco Mediate,87,37.12,98,264
123,124,124,Jimmy Walker,73,37.05,83,224
124,125,125,Dean Wilson,109,37.01,124,335
125,126,126,Steve Elkington,84,36.9,100,271
126,127,127,Tim Herron,97,36.88,104,282
127,128,128,Rich Beem,90,36.77,107,291
128,129,129,Freddie Jacobson,78,36.68,84,229
129,130,130,Harrison Frazar,73,36.48,85,233
130,131,131,Jerry Kelly,89,36.47,97,266
131,132,132,Ryan Armour,87,36.46,105,288
132,133,133,Brad Adamonis,87,36.4,99,272
133,134,134,Ian Poulter,51,36.36,52,143
134,135,135,Chris Stroud,81,36.33,97,267
135,136,136,Brett Quigley,80,36.26,95,262
136,T137,T137,J.J. Henry,108,36.23,121,334
137,T137,T137,Jeff Maggert,86,36.23,100,276
138,139,139,Kenneth Ferrie,72,36.21,88,243
139,T140,T140,Jon Mills,95,36.09,109,302
140,T140,T140,Kyle Thompson,70,36.09,83,230
141,142,142,Shane Bertsch,96,36.0,108,300
142,143,143,Trevor Immelman,70,35.94,69,192
143,144,144,Matt Kuchar,88,35.77,98,274
144,145,145,Dudley Hart,74,35.68,81,227
145,146,146,Omar Uresti,74,35.66,87,244
146,147,147,Justin Bolli,87,35.64,103,289
147,148,148,Brandt Jobe,52,35.63,57,160
148,149,149,Bob Estes,90,35.56,101,284
149,150,150,Doug LaBelle II,65,35.45,67,189
150,T151,T151,Paul Casey,55,35.44,56,158
151,T151,T151,Scott Verplank,82,35.44,84,237
152,153,153,Scott Sterling,89,35.42,102,288
153,154,154,Richard Johnson,77,35.37,87,246
154,155,155,Brandt Snedeker,85,35.29,90,255
155,156,156,Travis Perkins,53,35.2,63,179
156,157,157,Robert Gamez,79,35.08,87,248
157,158,158,Jeff Quinney,87,35.0,98,280
158,159,159,John Rollins,94,34.85,107,307
159,160,160,Briny Baird,113,34.78,120,345
160,161,161,John Mallinger,95,34.75,98,282
161,162,162,Zach Johnson,85,34.73,91,262
162,163,163,Patrick Sheehan,124,34.64,133,384
163,T164,T164,Bart Bryant,81,34.6,82,237
164,T164,T164,Marco Dawson,64,34.6,73,211
165,166,166,Nick Flanagan,89,34.39,98,285
166,167,167,Gavin Coles,54,34.3,59,172
167,168,168,Chad Collins,72,34.22,77,225
168,169,169,Ron Whittaker,54,34.1,59,173
169,170,170,Brad Elder,67,33.81,71,210
170,171,171,Chez Reavie,102,33.77,103,305
171,T172,T172,Craig Kanada,65,33.67,67,199
172,T172,T172,Corey Pavin,69,33.67,67,199
173,174,174,Kent Jones,68,33.48,75,224
174,T175,T175,Todd Hamilton,92,33.33,99,297
175,T175,T175,Jay Williamson,96,33.33,100,300
176,177,177,Heath Slocum,104,32.82,106,323
177,178,178,David Lutterus,59,32.6,59,181
178,179,179,Geoff Ogilvy,65,32.32,64,198
179,180,180,Glen Day,64,32.28,61,189
180,181,181,Alex Cejka,75,32.2,76,236
181,182,182,Nick O'Hern,82,32.14,81,252
182,183,183,Paul Goydos,78,32.08,77,240
183,184,184,J.P. Hayes,67,32.06,67,209
184,185,185,Steve Lowery,74,32.03,74,231
185,186,186,Jin Park,85,31.69,90,284
186,187,187,Cody Freeman,66,31.63,68,215
187,188,188,Richard Johnson,60,31.18,53,170
188,189,189,Stephen Leaney,53,30.86,54,175
189,190,190,Jim McGovern,75,30.8,69,224
190,191,191,David Duval,51,30.68,54,176
191,192,192,Lee Janzen,89,30.67,92,300
192,193,193,Alejandro Cañizares,52,30.19,48,159
193,194,194,Paul Claxton,63,29.47,61,207
194,195,195,Greg Kraft,63,28.78,59,205
195,196,196,Billy Andrade,71,28.57,64,224
196,197,197,Olin Browne,77,26.72,62,232
