,Late_Par_3_Scoring_Average_RANK THIS WEEK,Late_Par_3_Scoring_Average_RANK LAST WEEK,Late_Par_3_Scoring_Average_PLAYER NAME,Late_Par_3_Scoring_Average_ROUNDS,Late_Par_3_Scoring_Average_AVG,Late_Par_3_Scoring_Average_TOTAL STROKES,Late_Par_3_Scoring_Average_TOTAL HOLES
0,T1,T1,Corey Pavin,69,2.97,359,121
1,T1,T1,Jeff Quinney,87,2.97,540,182
2,T3,T3,Paul Goydos,78,2.98,471,158
3,T3,T3,Craig Kanada,65,2.98,397,133
4,T3,T3,Bob Tway,70,2.98,391,131
5,6,6,James Driscoll,85,2.99,478,160
6,T7,T7,Paul Casey,55,3.0,294,98
7,T7,T7,Brian Gay,102,3.0,651,217
8,T7,T7,Zach Johnson,85,3.0,474,158
9,T7,T7,Heath Slocum,104,3.0,605,202
10,11,11,Dudley Hart,74,3.01,530,176
11,T12,T12,Briny Baird,113,3.02,776,257
12,T12,T12,Olin Browne,77,3.02,426,141
13,T12,T12,Alex Cejka,75,3.02,456,151
14,T12,T12,Freddie Jacobson,78,3.02,499,165
15,T12,T12,Bob Sowards,61,3.02,332,110
16,T17,T17,Justin Bolli,87,3.03,500,165
17,T17,T17,Gavin Coles,54,3.03,312,103
18,T17,T17,Chad Collins,72,3.03,406,134
19,T17,T17,Marco Dawson,64,3.03,360,119
20,T17,T17,Glen Day,64,3.03,357,118
21,T17,T17,Richard Johnson,60,3.03,336,111
22,T17,T17,Kent Jones,68,3.03,412,136
23,T17,T17,Hunter Mahan,87,3.03,494,163
24,T17,T17,D.J. Trahan,94,3.03,560,185
25,T26,T26,Brad Adamonis,87,3.04,599,197
26,T26,T26,Robert Allenby,108,3.04,688,226
27,T26,T26,Ken Duke,116,3.04,738,243
28,T26,T26,Jason Gore,94,3.04,553,182
29,T26,T26,Jon Mills,95,3.04,557,183
30,T26,T26,Nick O'Hern,82,3.04,490,161
31,T26,T26,Kevin Sutherland,98,3.04,601,198
32,T26,T26,Kyle Thompson,70,3.04,456,150
33,T26,T26,Dean Wilson,109,3.04,644,212
34,T26,T26,Mark Wilson,107,3.04,584,192
35,T26,T26,Y.E. Yang,89,3.04,492,162
36,T37,T37,Steve Allan,58,3.05,360,118
37,T37,T37,Ryan Armour,87,3.05,479,157
38,T37,T37,Shane Bertsch,96,3.05,576,189
39,T37,T37,Jason Day,81,3.05,531,174
40,T37,T37,Steve Elkington,84,3.05,501,164
41,T37,T37,Bob Estes,90,3.05,559,183
42,T37,T37,Ryuji Imada,80,3.05,507,166
43,T37,T37,Matt Jones,95,3.05,518,170
44,T37,T37,Cliff Kresge,84,3.05,509,167
45,T37,T37,Steve Marino,119,3.05,692,227
46,T37,T37,Brett Rumford,72,3.05,424,139
47,T37,T37,Vaughn Taylor,103,3.05,686,225
48,T37,T37,Omar Uresti,74,3.05,421,138
49,T37,T37,Mike Weir,88,3.05,580,190
50,T51,T51,Tommy Armour III,77,3.06,547,179
51,T51,T51,Stewart Cink,87,3.06,547,179
52,T51,T51,Tim Clark,90,3.06,615,201
53,T51,T51,Paul Claxton,63,3.06,383,125
54,T51,T51,Mathew Goggin,91,3.06,557,182
55,T51,T51,Lee Janzen,89,3.06,560,183
56,T51,T51,Doug LaBelle II,65,3.06,380,124
57,T51,T51,Justin Leonard,101,3.06,593,194
58,T51,T51,George McNeill,97,3.06,584,191
59,T51,T51,Geoff Ogilvy,65,3.06,401,131
60,T51,T51,Tom Pernice Jr.,104,3.06,599,196
61,T51,T51,Tim Petrovic,97,3.06,599,196
62,T51,T51,Carl Pettersson,110,3.06,668,218
63,T51,T51,Ian Poulter,51,3.06,330,108
64,T51,T51,Chez Reavie,102,3.06,700,229
65,T51,T51,Charlie Wi,97,3.06,597,195
66,T67,T67,Woody Austin,109,3.07,608,198
67,T67,T67,Daniel Chopra,84,3.07,485,158
68,T67,T67,Jeff Gove,50,3.07,298,97
69,T67,T67,Tim Herron,97,3.07,574,187
70,T67,T67,Martin Laird,98,3.07,552,180
71,T67,T67,Troy Matteson,94,3.07,590,192
72,T67,T67,Tom Scherrer,56,3.07,313,102
73,T67,T67,John Senden,93,3.07,463,151
74,T67,T67,Patrick Sheehan,124,3.07,703,229
75,T67,T67,Scott Verplank,82,3.07,550,179
76,T77,T77,Stephen Ames,83,3.08,542,176
77,T77,T77,Aaron Baddeley,76,3.08,447,145
78,T77,T77,Rich Beem,90,3.08,490,159
79,T77,T77,Brad Elder,67,3.08,400,130
80,T77,T77,Ernie Els,51,3.08,360,117
81,T77,T77,J.P. Hayes,67,3.08,413,134
82,T77,T77,Matt Kuchar,88,3.08,548,178
83,T77,T77,Will MacKenzie,62,3.08,369,120
84,T77,T77,Jeff Maggert,86,3.08,542,176
85,T77,T77,Parker McLachlin,88,3.08,526,171
86,T77,T77,Marc Turnesa,87,3.08,612,199
87,T88,T88,Cameron Beckman,87,3.09,532,172
