,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Steve Marino,119,440
1,2,2,Ken Duke,116,428
2,3,3,Patrick Sheehan,124,410
3,4,4,Kevin Streelman,114,406
4,5,5,Nicholas Thompson,113,399
5,6,6,Mark Wilson,107,389
6,T7,T7,Robert Allenby,108,384
7,T7,T7,Brian Davis,108,384
8,9,9,Eric Axley,113,381
9,10,10,Carl Pettersson,110,378
10,T11,T11,Frank Lickliter II,107,375
11,T11,T11,Dean Wilson,109,375
12,13,13,Vaughn Taylor,103,373
13,14,14,Briny Baird,113,370
14,15,15,Kenny Perry,97,368
15,16,16,Joe Ogilvie,100,367
16,T17,T17,Brian Gay,102,365
17,T17,T17,Jeff Overton,103,365
18,19,19,Woody Austin,109,361
19,20,20,Bill Haas,99,359
20,21,21,Tom Pernice Jr.,104,358
21,22,22,Martin Laird,98,355
22,23,23,Robert Garrigus,90,350
23,T24,T24,Tim Petrovic,97,348
24,T24,T24,Kevin Sutherland,98,348
25,T24,T24,Bo Van Pelt,101,348
26,27,27,Jason Gore,94,347
27,T28,T28,Justin Leonard,101,346
28,T28,T28,George McNeill,97,346
29,30,30,Nathan Green,95,345
30,31,31,Shane Bertsch,96,341
31,32,32,Bubba Watson,97,340
32,33,33,Nick Watney,96,339
33,34,34,Kevin Na,97,338
34,T35,T35,Chad Campbell,94,336
35,T35,T35,Pat Perez,93,336
36,37,37,Tim Herron,97,332
37,T38,T38,Charles Howell III,101,329
38,T38,T38,John Merrick,98,329
39,T38,T38,D.J. Trahan,94,329
40,T41,T41,Charley Hoffman,94,327
41,T41,T41,John Mallinger,95,327
42,T41,T41,Charlie Wi,97,327
43,T44,T44,J.J. Henry,108,324
44,T44,T44,Troy Matteson,94,324
45,T46,T46,Steve Flesch,95,323
46,T46,T46,Chez Reavie,102,323
47,T48,T48,Billy Mayfair,103,322
48,T48,T48,Heath Slocum,104,322
49,50,50,Dustin Johnson,92,319
50,T51,T51,Michael Allen,91,318
51,T51,T51,Michael Letzig,88,318
52,T53,T53,Ben Crane,86,316
53,T53,T53,Jesper Parnevik,88,316
54,55,55,Kevin Stadler,90,315
55,56,56,Tag Ridings,88,314
56,T57,T57,Tim Clark,90,313
57,T57,T57,Mathew Goggin,91,313
58,59,59,Jim Furyk,95,312
59,T60,T60,Joe Durant,92,310
60,T60,T60,Matt Jones,95,310
61,T60,T60,Tim Wilkinson,95,310
62,T63,T63,Lucas Glover,91,309
63,T63,T63,J.B. Holmes,86,309
64,65,65,Lee Janzen,89,308
65,T66,T66,Steve Elkington,84,306
66,T66,T66,Peter Lonard,92,306
67,T66,T66,Marc Turnesa,87,306
68,69,69,Cameron Beckman,87,305
69,T70,T70,John Rollins,94,302
70,T70,T70,John Senden,93,302
71,72,72,Rich Beem,90,301
72,T73,T73,Ryan Armour,87,299
73,T73,T73,Camilo Villegas,79,299
74,75,75,Jonathan Byrd,88,298
75,T76,T76,Stewart Cink,87,296
76,T76,T76,Anthony Kim,81,296
77,T76,T76,Mike Weir,88,296
78,T79,T79,Bob Estes,90,295
79,T79,T79,Hunter Mahan,87,295
80,T79,T79,Phil Mickelson,80,295
81,T79,T79,Jeff Quinney,87,295
82,T83,T83,Brad Adamonis,87,293
83,T83,T83,Jeff Maggert,86,293
84,T85,T85,Nick Flanagan,89,291
85,T85,T85,Jay Williamson,96,291
86,87,87,Mathias Grönberg,87,290
87,T88,T88,Stephen Ames,83,289
88,T88,T88,Todd Hamilton,92,289
89,T88,T88,Boo Weekley,86,289
90,T91,T91,Stuart Appleby,87,288
91,T91,T91,Jon Mills,95,288
92,T91,T91,Y.E. Yang,89,288
93,T94,T94,James Driscoll,85,287
94,T94,T94,Parker McLachlin,88,287
95,T94,T94,Ryan Palmer,69,287
96,T94,T94,Scott Verplank,82,287
97,T98,T98,Zach Johnson,85,283
98,T98,T98,Scott Sterling,89,283
99,100,100,Daniel Chopra,84,282
100,T101,T101,Rory Sabbatini,77,281
101,T101,T101,Vijay Singh,82,281
102,T103,T103,Jason Day,81,279
103,T103,T103,Johnson Wagner,83,279
104,105,105,Chris DiMarco,87,278
105,106,106,Ryuji Imada,80,274
