,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Bob Tway,70,1.46,276,189
1,2,2,Brian Gay,102,1.41,367,261
2,3,3,Steve Marino,119,1.36,448,330
3,T4,T4,John Huston,56,1.35,219,162
4,T4,T4,Phil Mickelson,80,1.35,301,223
5,T6,T6,Ben Crane,86,1.34,319,238
6,T6,T6,Justin Leonard,101,1.34,350,261
7,T8,T8,Ryan Palmer,69,1.33,290,218
8,T8,T8,Kevin Sutherland,98,1.33,354,266
9,10,10,Mark Wilson,107,1.32,393,298
10,11,11,Vijay Singh,82,1.3,287,220
11,T12,T12,Gavin Coles,54,1.29,188,146
12,T12,T12,Kenny Perry,97,1.29,373,290
13,T14,T14,Briny Baird,113,1.28,378,296
14,T14,T14,Steve Elkington,84,1.28,308,241
15,16,16,Mike Weir,88,1.27,303,238
16,T17,T17,Shane Bertsch,96,1.26,343,273
17,T17,T17,Bill Haas,99,1.26,367,291
18,T17,T17,Anthony Kim,81,1.26,306,242
19,T17,T17,Charlie Wi,97,1.26,338,268
20,T21,T21,Robert Allenby,108,1.25,392,313
21,T21,T21,Stewart Cink,87,1.25,307,245
22,T23,T23,Ken Duke,116,1.24,433,349
23,T23,T23,Jim Furyk,95,1.24,319,257
24,25,25,Mathew Goggin,91,1.23,324,264
25,T26,T26,Kevin Na,97,1.22,348,286
26,T26,T26,Nick Watney,96,1.22,351,288
27,T28,T28,Brian Davis,108,1.21,390,322
28,T28,T28,Bob Estes,90,1.21,300,248
29,T28,T28,Jason Gore,94,1.21,356,294
30,T28,T28,Brenden Pappas,66,1.21,238,197
31,T28,T28,Kevin Streelman,114,1.21,419,345
32,T28,T28,Tim Wilkinson,95,1.21,315,260
33,T34,T34,Dudley Hart,74,1.2,263,219
34,T34,T34,Joe Ogilvie,100,1.2,371,310
35,T34,T34,Tom Pernice Jr.,104,1.2,368,307
36,T37,T37,Stephen Ames,83,1.19,293,246
37,T37,T37,Chad Campbell,94,1.19,352,296
38,T37,T37,Padraig Harrington,52,1.19,191,161
39,T37,T37,Pat Perez,93,1.19,349,294
40,T41,T41,Martin Laird,98,1.18,366,311
41,T41,T41,Chris Riley,51,1.18,164,139
42,T43,T43,Michael Allen,91,1.17,328,280
43,T43,T43,Aaron Baddeley,76,1.17,262,224
44,T43,T43,Fred Couples,60,1.17,217,186
45,T43,T43,Glen Day,64,1.17,210,179
46,T43,T43,Robert Garrigus,90,1.17,357,305
47,T43,T43,Kent Jones,68,1.17,237,203
48,T43,T43,Hunter Mahan,87,1.17,302,259
49,T43,T43,Vaughn Taylor,103,1.17,375,320
50,T43,T43,Camilo Villegas,79,1.17,306,262
51,T52,T52,Cameron Beckman,87,1.16,310,268
52,T52,T52,Tim Herron,97,1.16,337,290
53,T52,T52,Zach Johnson,85,1.16,287,247
54,T52,T52,Nick O'Hern,82,1.16,265,228
55,T52,T52,Scott Sterling,89,1.16,289,249
56,T52,T52,Marc Turnesa,87,1.16,310,268
57,T58,T58,Jason Day,81,1.15,288,250
58,T58,T58,Patrick Sheehan,124,1.15,416,363
59,T58,T58,Steve Stricker,75,1.15,239,207
60,T61,T61,Carlos Franco,73,1.14,263,231
61,T61,T61,Sergio Garcia,72,1.14,246,215
62,T61,T61,Charley Hoffman,94,1.14,334,292
63,T61,T61,John Riegger,73,1.14,246,215
64,T61,T61,Rory Sabbatini,77,1.14,287,252
65,T61,T61,Bo Van Pelt,101,1.14,356,312
66,T61,T61,Scott Verplank,82,1.14,289,254
67,T68,T68,Nathan Green,95,1.13,350,310
68,T68,T68,Matt Kuchar,88,1.13,281,249
69,T68,T68,Frank Lickliter II,107,1.13,385,341
70,T68,T68,Tim Petrovic,97,1.13,350,311
71,T68,T68,Carl Pettersson,110,1.13,387,341
72,T73,T73,Woody Austin,109,1.12,367,328
73,T73,T73,Steve Flesch,95,1.12,333,298
74,T73,T73,Charles Howell III,101,1.12,337,300
75,T73,T73,Ryuji Imada,80,1.12,276,247
76,T73,T73,Billy Mayfair,103,1.12,329,295
77,T73,T73,George McNeill,97,1.12,355,317
78,T73,T73,John Merrick,98,1.12,338,301
79,T73,T73,Omar Uresti,74,1.12,242,217
80,T73,T73,Dean Wilson,109,1.12,380,339
81,T82,T82,Steve Allan,58,1.11,207,186
82,T82,T82,Craig Kanada,65,1.11,209,189
83,T82,T82,Michael Letzig,88,1.11,325,293
84,T82,T82,D.J. Trahan,94,1.11,337,303
85,T82,T82,Boo Weekley,86,1.11,293,264
86,T87,T87,Brad Adamonis,87,1.1,300,273
87,T87,T87,Stuart Appleby,87,1.1,291,265
88,T87,T87,Jonathan Byrd,88,1.1,305,278
89,T87,T87,K.J. Choi,74,1.1,238,216
90,T87,T87,Tim Clark,90,1.1,318,289
91,T87,T87,Lucas Glover,91,1.1,315,286
92,T87,T87,Scott McCarron,63,1.1,222,201
93,T87,T87,Parker McLachlin,88,1.1,297,270
94,T87,T87,Corey Pavin,69,1.1,231,210
95,T87,T87,John Senden,93,1.1,309,280
96,T97,T97,Tommy Armour III,77,1.09,270,247
97,T97,T97,Eric Axley,113,1.09,391,360
98,T97,T97,Jesper Parnevik,88,1.09,319,292
99,T97,T97,Bubba Watson,97,1.09,348,320
100,T101,T101,Ben Curtis,80,1.08,254,236
101,T101,T101,Ryan Moore,72,1.08,252,234
