,Round_4_Scoring_Average_RANK THIS WEEK,Round_4_Scoring_Average_RANK LAST WEEK,Round_4_Scoring_Average_PLAYER NAME,Round_4_Scoring_Average_AVG,Round_4_Scoring_Average_TOTAL STROKES,Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Steve Allan,68.29,478,7
1,T2,T2,Steve Stricker,69.13,1037,15
2,T2,T2,Bob Tway,69.13,1037,15
3,4,4,Padraig Harrington,69.18,761,11
4,T5,T5,Ryuji Imada,69.2,1038,15
5,T5,T5,Ron Whittaker,69.2,346,5
6,7,7,Rod Pampling,69.33,832,12
7,8,8,Hunter Mahan,69.59,1183,17
8,9,9,Peter Lonard,69.81,1117,16
9,10,10,Kent Jones,69.92,839,12
10,T11,T11,Glen Day,70.0,840,12
11,T11,T11,Brenden Pappas,70.0,560,8
12,13,13,Chad Campbell,70.05,1331,19
13,T14,T14,Steve Elkington,70.06,1191,17
14,T14,T14,John Senden,70.06,1261,18
15,16,16,Shane Bertsch,70.16,1333,19
16,T17,T17,Chad Collins,70.18,772,11
17,T17,T17,Vijay Singh,70.18,1193,17
18,T19,T19,K.J. Choi,70.2,1053,15
19,T19,T19,Pat Perez,70.2,1404,20
20,21,21,Ryan Palmer,70.25,843,12
21,22,22,Aaron Baddeley,70.27,1054,15
22,23,23,Ben Crane,70.28,1265,18
23,24,24,Michael Letzig,70.29,984,14
24,T25,T25,Mathew Goggin,70.33,1266,18
25,T25,T25,Richard Johnson,70.33,633,9
26,T25,T25,Phil Mickelson,70.33,1266,18
27,T25,T25,Brett Rumford,70.33,633,9
28,29,29,Steve Lowery,70.36,774,11
29,30,30,Scott McCarron,70.38,563,8
30,31,31,Stephen Ames,70.39,1267,18
31,32,32,Jason Gore,70.4,1056,15
32,33,33,Kevin Sutherland,70.41,1549,22
33,34,34,Jason Day,70.42,845,12
34,35,35,J.P. Hayes,70.43,493,7
35,36,36,Nick O'Hern,70.44,1127,16
36,37,37,Mark Wilson,70.46,1691,24
37,T38,T38,Freddie Jacobson,70.47,1057,15
38,T38,T38,D.J. Trahan,70.47,1339,19
39,T40,T40,Ryan Armour,70.5,846,12
40,T40,T40,Ernie Els,70.5,705,10
41,T40,T40,Mathias Grönberg,70.5,846,12
42,T40,T40,Jerry Kelly,70.5,987,14
43,44,44,Justin Leonard,70.52,1622,23
44,45,45,Steve Flesch,70.53,1199,17
45,46,46,Heath Slocum,70.55,1552,22
46,47,47,Martin Laird,70.58,1341,19
47,48,48,Dean Wilson,70.59,1553,22
48,T49,T49,Ken Duke,70.63,1695,24
49,T49,T49,Charles Howell III,70.63,1342,19
50,T49,T49,Richard Johnson,70.63,565,8
51,T49,T49,Steve Marino,70.63,1907,27
52,T53,T53,Brian Gay,70.65,1413,20
53,T53,T53,Scott Verplank,70.65,1201,17
54,T55,T55,Cameron Beckman,70.67,1060,15
55,T55,T55,Camilo Villegas,70.67,1272,18
56,57,57,Scott Sterling,70.69,1131,16
57,58,58,George McNeill,70.7,1414,20
