,Back_9_Round_3_Scoring_Average_RANK THIS WEEK,Back_9_Round_3_Scoring_Average_RANK LAST WEEK,Back_9_Round_3_Scoring_Average_PLAYER NAME,Back_9_Round_3_Scoring_Average_AVG,Back_9_Round_3_Scoring_Average_TOTAL STROKES,Back_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Tommy Gainey,33.71,236,7
1,2,2,Vijay Singh,34.18,581,17
2,3,3,Scott McCarron,34.4,344,10
3,4,4,Michael Letzig,34.44,551,16
4,5,5,Ernie Els,34.5,345,10
5,6,6,John Riegger,34.54,449,13
6,7,7,Bob Estes,34.59,588,17
7,8,8,George McNeill,34.6,692,20
8,9,9,Hunter Mahan,34.67,624,18
9,10,10,Chris Stroud,34.69,451,13
10,11,11,Bill Haas,34.72,625,18
11,T12,T12,Jim Furyk,34.73,764,22
12,T12,T12,Tom Pernice Jr.,34.73,764,22
13,14,14,Charles Warren,34.75,417,12
14,15,15,Tag Ridings,34.8,522,15
15,16,16,Stewart Cink,34.83,627,18
16,T17,T17,Cliff Kresge,34.86,488,14
17,T17,T17,Charlie Wi,34.86,732,21
18,T19,T19,Matt Kuchar,34.88,593,17
19,T19,T19,Davis Love III,34.88,558,16
20,21,21,Brian Gay,34.9,698,20
21,22,22,Greg Kraft,34.91,384,11
22,23,23,Kent Jones,34.92,419,12
23,24,24,Bob Tway,34.93,524,15
24,T25,T25,Rich Beem,34.94,594,17
25,T25,T25,Robert Garrigus,34.94,594,17
26,T27,T27,Bubba Watson,34.95,664,19
27,T27,T27,Mike Weir,34.95,664,19
28,T29,T29,Shane Bertsch,35.0,700,20
29,T29,T29,Jason Day,35.0,455,13
30,T29,T29,Ken Duke,35.0,875,25
31,T29,T29,Jerry Kelly,35.0,490,14
32,T29,T29,Justin Leonard,35.0,805,23
33,T29,T29,Jim McGovern,35.0,420,12
34,T29,T29,Scott Verplank,35.0,595,17
35,36,36,Chad Campbell,35.05,666,19
36,T37,T37,Aaron Baddeley,35.06,561,16
37,T37,T37,Nick O'Hern,35.06,561,16
38,T37,T37,Jeff Quinney,35.06,561,16
39,T37,T37,Scott Sterling,35.06,596,17
40,T37,T37,Boo Weekley,35.06,631,18
41,42,42,Briny Baird,35.07,947,27
42,43,43,Doug LaBelle II,35.08,421,12
43,T44,T44,Tim Clark,35.11,667,19
44,T44,T44,Tom Scherrer,35.11,316,9
45,46,46,Troy Matteson,35.12,597,17
46,T47,T47,Rory Sabbatini,35.13,562,16
47,T47,T47,Marc Turnesa,35.13,527,15
48,49,49,Jin Park,35.15,457,13
49,50,50,Bo Van Pelt,35.16,668,19
50,T51,T51,Gavin Coles,35.17,422,12
51,T51,T51,Ben Crane,35.17,633,18
52,T51,T51,Anthony Kim,35.17,633,18
