,Round_2_Scoring_Average_RANK THIS WEEK,Round_2_Scoring_Average_RANK LAST WEEK,Round_2_Scoring_Average_PLAYER NAME,Round_2_Scoring_Average_AVG,Round_2_Scoring_Average_TOTAL STROKES,Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Kevin Na,69.61,1949,28
1,2,2,Brian Gay,69.7,2091,30
2,3,3,Gavin Coles,69.73,1046,15
3,4,4,Kenny Perry,69.76,1744,25
4,5,5,Ryan Palmer,69.77,1535,22
5,6,6,Bob Tway,69.85,1397,20
6,7,7,Phil Mickelson,69.95,1399,20
7,T8,T8,Ben Curtis,70.0,1540,22
8,T8,T8,John Huston,70.0,1190,17
9,10,10,Charlie Wi,70.04,1891,27
10,11,11,Camilo Villegas,70.05,1471,21
11,12,12,Ben Crane,70.08,1682,24
12,13,13,Pat Perez,70.12,1823,26
13,T14,T14,Billy Mayfair,70.14,2034,29
14,T14,T14,Mark Wilson,70.14,2034,29
15,16,16,Stephen Ames,70.17,1614,23
16,17,17,John Merrick,70.18,1965,28
17,18,18,Justin Leonard,70.21,1685,24
18,T19,T19,Robert Allenby,70.22,1896,27
19,T19,T19,Nick Watney,70.22,1896,27
20,T21,T21,Bob Estes,70.25,1967,28
21,T21,T21,Chris Riley,70.25,1124,16
22,23,23,Steve Elkington,70.26,1616,23
23,24,24,Chad Campbell,70.3,1898,27
24,25,25,Kevin Streelman,70.31,2250,32
25,T26,T26,Shane Bertsch,70.32,1969,28
26,T26,T26,Vijay Singh,70.32,1547,22
27,28,28,Briny Baird,70.34,2040,29
28,29,29,John Rollins,70.36,1970,28
29,30,30,John Mallinger,70.38,1830,26
30,T31,T31,Tommy Armour III,70.39,1619,23
31,T31,T31,Sergio Garcia,70.39,1267,18
32,33,33,Jim Furyk,70.4,1760,25
33,T34,T34,Dudley Hart,70.41,1549,22
34,T34,T34,Steve Marino,70.41,2253,32
35,36,36,Frank Lickliter II,70.43,2113,30
36,37,37,Matt Jones,70.45,2184,31
37,38,38,Martin Laird,70.48,2044,29
38,39,39,Kevin Sutherland,70.5,1833,26
39,40,40,John Senden,70.52,1904,27
40,41,41,Chez Reavie,70.53,2116,30
41,42,42,Jimmy Walker,70.54,1693,24
42,T43,T43,Anthony Kim,70.55,1552,22
43,T43,T43,Carl Pettersson,70.55,2046,29
44,45,45,Matt Kuchar,70.56,1905,27
45,T46,T46,Tim Herron,70.57,1976,28
46,T46,T46,Tom Pernice Jr.,70.57,2117,30
47,48,48,Brad Elder,70.65,1625,23
48,T49,T49,Carlos Franco,70.67,1696,24
49,T49,T49,Parker McLachlin,70.67,1908,27
50,51,51,Corey Pavin,70.7,1414,20
51,52,52,Aaron Baddeley,70.71,1485,21
52,53,53,Mark Hensby,70.75,1698,24
53,54,54,Bill Haas,70.77,2194,31
54,55,55,Vaughn Taylor,70.78,2265,32
55,56,56,David Toms,70.79,1345,19
56,57,57,J.B. Holmes,70.8,1770,25
57,58,58,Stuart Appleby,70.82,1558,22
58,T59,T59,Heath Slocum,70.83,2054,29
59,T59,T59,Omar Uresti,70.83,1700,24
60,61,61,Brian Davis,70.84,2267,32
61,T62,T62,Brad Adamonis,70.86,1984,28
62,T62,T62,Joe Ogilvie,70.86,2055,29
63,64,64,Brenden Pappas,70.88,1701,24
64,65,65,Jason Day,70.89,1985,28
65,66,66,Kevin Stadler,70.9,2127,30
66,T67,T67,John Riegger,70.91,1631,23
67,T67,T67,Scott Verplank,70.91,1631,23
68,T69,T69,Freddie Jacobson,70.92,1702,24
69,T69,T69,Jeff Maggert,70.92,1844,26
70,71,71,Fred Couples,70.94,1206,17
71,T72,T72,Tim Clark,70.96,1845,26
72,T72,T72,Robert Garrigus,70.96,1916,27
73,T72,T72,Lucas Glover,70.96,1845,26
74,T72,T72,George McNeill,70.96,1987,28
75,76,76,D.J. Trahan,71.0,1917,27
76,77,77,Paul Goydos,71.04,1705,24
77,78,78,Rory Sabbatini,71.05,1563,22
78,79,79,Ken Duke,71.06,2345,33
79,80,80,Steve Flesch,71.07,2061,29
80,81,81,Sean O'Hair,71.08,1777,25
81,82,82,Mike Weir,71.13,1707,24
82,T83,T83,Stewart Cink,71.14,1565,22
83,T83,T83,Padraig Harrington,71.14,996,14
84,T83,T83,Michael Letzig,71.14,1992,28
85,T83,T83,Patrick Sheehan,71.14,2490,35
86,87,87,K.J. Choi,71.15,1423,20
87,T88,T88,Glen Day,71.16,1352,19
88,T88,T88,Jeff Overton,71.16,2277,32
89,90,90,Chad Collins,71.17,1708,24
90,91,91,Doug LaBelle II,71.19,1495,21
91,92,92,Hunter Mahan,71.2,1780,25
92,93,93,Mathew Goggin,71.22,1923,27
