,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Chad Campbell,94,105.8,1692,16
1,2,2,Will MacKenzie,62,111.6,1116,10
2,3,3,Mathias Grönberg,87,111.9,1566,14
3,4,4,Brenden Pappas,66,118.8,1188,10
4,5,5,Bob Sowards,61,122.0,1098,9
5,6,6,Pat Perez,93,127.4,1656,13
6,7,7,Stewart Cink,87,132.5,1458,11
7,8,8,Charles Warren,79,142.2,1422,10
8,9,9,Matt Jones,95,142.5,1710,12
9,10,10,Nick Watney,96,144.0,1728,12
10,T11,T11,Anthony Kim,81,145.8,1458,10
11,T11,T11,Sean O'Hair,81,145.8,1458,10
12,T11,T11,Chris Stroud,81,145.8,1458,10
13,14,14,John Riegger,73,146.0,1314,9
14,15,15,Mark Calcavecchia,67,148.5,1188,8
15,16,16,Mathew Goggin,91,148.9,1638,11
16,17,17,Daniel Chopra,84,149.4,1494,10
17,18,18,Dustin Johnson,92,150.5,1656,11
18,19,19,Fred Couples,60,154.3,1080,7
19,20,20,Alejandro Cañizares,52,156.0,936,6
20,21,21,Kevin Streelman,114,157.8,2052,13
21,22,22,Parker McLachlin,88,158.4,1584,10
22,23,23,Charlie Wi,97,158.7,1746,11
23,24,24,Martin Laird,98,160.4,1764,11
24,T25,T25,Jason Day,81,162.0,1458,9
25,T25,T25,Kevin Stadler,90,162.0,1620,10
26,27,27,Michael Allen,91,163.8,1638,10
27,28,28,John Rollins,94,169.2,1692,10
28,29,29,Nicholas Thompson,113,169.5,2034,12
29,30,30,Steve Flesch,95,171.0,1710,10
30,31,31,Richard Johnson,77,173.3,1386,8
31,32,32,Steve Allan,58,174.0,1044,6
32,33,33,Kevin Na,97,174.6,1746,10
33,34,34,Davis Love III,78,175.5,1404,8
34,35,35,Adam Scott,51,176.4,882,5
35,36,36,Y.E. Yang,89,178.0,1602,9
36,T37,T37,Tommy Gainey,60,180.0,1080,6
37,T37,T37,Brett Quigley,80,180.0,1440,8
38,39,39,Mark Hensby,71,182.6,1278,7
39,40,40,Tom Pernice Jr.,104,187.2,1872,10
40,T41,T41,Aaron Baddeley,76,187.7,1314,7
41,T41,T41,Jimmy Walker,73,187.7,1314,7
42,43,43,Jason Gore,94,188.0,1692,9
43,44,44,Brandt Snedeker,85,189.0,1512,8
44,45,45,Steve Lowery,74,190.3,1332,7
45,46,46,Frank Lickliter II,107,192.6,1926,10
46,47,47,George McNeill,97,194.0,1746,9
47,48,48,Ron Whittaker,54,194.4,972,5
48,49,49,John Merrick,98,196.0,1764,9
49,T50,T50,Matt Kuchar,88,198.0,1584,8
50,T50,T50,Tag Ridings,88,198.0,1584,8
51,52,52,Nick Flanagan,89,200.3,1602,8
52,53,53,Camilo Villegas,79,200.6,1404,7
53,54,54,Rich Beem,90,202.5,1620,8
54,55,55,Eric Axley,113,203.4,2034,10
55,56,56,Kent Jones,68,204.0,1224,6
56,T57,T57,Todd Demsey,80,205.7,1440,7
57,T57,T57,Rod Pampling,83,205.7,1440,7
58,59,59,Joe Durant,92,207.0,1656,8
59,60,60,Retief Goosen,59,208.8,1044,5
60,61,61,D.J. Trahan,94,211.5,1692,8
