,Tenth_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_4_Scoring_Average_AVG,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Jim Furyk,95,3.84,123,32
1,2,2,John Huston,56,3.86,359,93
2,3,3,Mike Weir,88,3.89,323,83
3,T4,T4,Nick O'Hern,82,3.9,503,129
4,T4,T4,Steve Stricker,75,3.9,304,78
5,6,6,Anthony Kim,81,3.92,506,129
6,7,7,Justin Leonard,101,3.93,381,97
7,T8,T8,Fred Couples,60,3.94,477,121
8,T8,T8,Geoff Ogilvy,65,3.94,260,66
9,10,10,Vijay Singh,82,3.95,249,63
10,T11,T11,Ben Crane,86,3.96,760,192
11,T11,T11,Padraig Harrington,52,3.96,198,50
12,T13,T13,Stewart Cink,87,3.97,298,75
13,T13,T13,Mathias Grönberg,87,3.97,790,199
14,T13,T13,Charley Hoffman,94,3.97,580,146
15,T13,T13,Vaughn Taylor,103,3.97,782,197
16,T13,T13,Camilo Villegas,79,3.97,357,90
17,T18,T18,Stuart Appleby,87,3.98,493,124
18,T18,T18,Glen Day,64,3.98,466,117
19,T18,T18,Kenny Perry,97,3.98,477,120
20,T18,T18,Kevin Stadler,90,3.98,633,159
21,T18,T18,Kevin Streelman,114,3.98,1119,281
22,T23,T23,Woody Austin,109,3.99,739,185
23,T23,T23,Gavin Coles,54,3.99,391,98
24,T23,T23,Tim Herron,97,3.99,798,200
25,T23,T23,Jeff Overton,103,3.99,934,234
26,T23,T23,Ryan Palmer,69,3.99,507,127
27,T28,T28,Ernie Els,51,4.0,256,64
28,T28,T28,J.B. Holmes,86,4.0,488,122
29,T28,T28,D.J. Trahan,94,4.0,780,195
30,T28,T28,Charlie Wi,97,4.0,989,247
31,T32,T32,Steve Elkington,84,4.01,517,129
32,T32,T32,Sergio Garcia,72,4.01,353,88
33,T32,T32,Brian Gay,102,4.01,537,134
34,T32,T32,Craig Kanada,65,4.01,610,152
35,T32,T32,Steve Marino,119,4.01,1031,257
36,T32,T32,Parker McLachlin,88,4.01,469,117
37,T32,T32,Jin Park,85,4.01,903,225
38,T39,T39,K.J. Choi,74,4.02,265,66
39,T39,T39,Brian Davis,108,4.02,1064,265
40,T39,T39,Mathew Goggin,91,4.02,708,176
