,Early_Round_3_Scoring_Average_RANK THIS WEEK,Early_Round_3_Scoring_Average_RANK LAST WEEK,Early_Round_3_Scoring_Average_PLAYER NAME,Early_Round_3_Scoring_Average_AVG,Early_Round_3_Scoring_Average_TOTAL STROKES,Early_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Scott McCarron,67.5,270,4
1,2,2,Jason Day,68.0,340,5
2,3,3,Bob Estes,68.17,409,6
3,4,4,Bob Tway,68.4,684,10
4,5,5,Jim McGovern,68.5,411,6
5,6,6,Tim Clark,68.83,413,6
6,T7,T7,Jim Furyk,68.91,758,11
7,T7,T7,Boo Weekley,68.91,758,11
8,T9,T9,Padraig Harrington,69.0,345,5
9,T9,T9,Anthony Kim,69.0,414,6
10,T9,T9,Hunter Mahan,69.0,621,9
11,12,12,Bill Haas,69.11,622,9
12,T13,T13,Chad Campbell,69.25,554,8
13,T13,T13,Brandt Snedeker,69.25,554,8
14,15,15,Tim Herron,69.3,693,10
15,16,16,Jeff Maggert,69.43,486,7
16,17,17,Cameron Beckman,69.44,625,9
17,T18,T18,Sergio Garcia,69.5,139,2
18,T18,T18,Craig Kanada,69.5,278,4
19,T18,T18,Cliff Kresge,69.5,556,8
20,T18,T18,Vaughn Taylor,69.5,556,8
21,T22,T22,Davis Love III,69.55,765,11
22,T22,T22,Jesper Parnevik,69.55,765,11
23,T24,T24,Briny Baird,69.57,487,7
24,T24,T24,Bart Bryant,69.57,487,7
25,T26,T26,Freddie Jacobson,69.6,348,5
26,T26,T26,John Riegger,69.6,696,10
27,28,28,Kevin Sutherland,69.62,905,13
28,T29,T29,Parker McLachlin,69.63,557,8
29,T29,T29,Jay Williamson,69.63,557,8
30,T31,T31,Justin Leonard,69.67,836,12
31,T31,T31,Rod Pampling,69.67,418,6
32,33,33,Tim Wilkinson,69.7,697,10
33,T34,T34,Stuart Appleby,69.71,488,7
34,T34,T34,Scott Verplank,69.71,488,7
35,36,36,Joe Ogilvie,69.72,1255,18
36,37,37,Brian Gay,69.75,558,8
37,38,38,Stephen Ames,69.78,628,9
38,39,39,Mark Wilson,69.79,1326,19
39,40,40,Tom Pernice Jr.,69.8,698,10
40,41,41,Michael Allen,69.83,419,6
41,42,42,Charlie Wi,69.85,908,13
42,43,43,Shane Bertsch,69.86,978,14
43,44,44,James Driscoll,69.88,559,8
44,T45,T45,Robert Allenby,69.91,769,11
45,T45,T45,Bo Van Pelt,69.91,769,11
46,T47,T47,Aaron Baddeley,70.0,560,8
47,T47,T47,Ángel Cabrera,70.0,350,5
48,T47,T47,Greg Kraft,70.0,210,3
49,T47,T47,Tom Scherrer,70.0,420,6
50,T47,T47,Bob Sowards,70.0,420,6
51,T47,T47,Scott Sterling,70.0,700,10
52,T53,T53,Ben Crane,70.11,631,9
53,T53,T53,Omar Uresti,70.11,631,9
54,T53,T53,Mike Weir,70.11,631,9
55,T56,T56,Robert Garrigus,70.14,491,7
56,T56,T56,Brett Quigley,70.14,491,7
57,T56,T56,Adam Scott,70.14,491,7
