,Back_9_Round_2_Scoring_Average_RANK THIS WEEK,Back_9_Round_2_Scoring_Average_RANK LAST WEEK,Back_9_Round_2_Scoring_Average_PLAYER NAME,Back_9_Round_2_Scoring_Average_AVG,Back_9_Round_2_Scoring_Average_TOTAL STROKES,Back_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,John Huston,34.29,583,17
1,2,2,John Mallinger,34.65,901,26
2,3,3,Chad Campbell,34.74,938,27
3,4,4,Kenny Perry,34.76,869,25
4,5,5,Anthony Kim,34.82,766,22
5,6,6,Brian Gay,34.83,1045,30
6,7,7,Mark Wilson,34.9,1012,29
7,8,8,Brenden Pappas,34.92,838,24
8,9,9,Gavin Coles,34.93,524,15
9,10,10,Tommy Armour III,34.96,804,23
10,T11,T11,Will MacKenzie,35.0,700,20
11,T11,T11,John Merrick,35.0,980,28
12,T13,T13,Vijay Singh,35.05,771,22
13,T13,T13,Steve Stricker,35.05,736,21
14,T15,T15,Tim Herron,35.07,982,28
15,T15,T15,Billy Mayfair,35.07,1017,29
16,17,17,Briny Baird,35.1,1018,29
17,T18,T18,Nick Watney,35.11,948,27
18,T18,T18,Charlie Wi,35.11,948,27
19,20,20,Fred Couples,35.12,597,17
20,21,21,Ben Crane,35.13,843,24
21,T22,T22,Ben Curtis,35.14,773,22
22,T22,T22,Kevin Na,35.14,984,28
23,T22,T22,Ryan Palmer,35.14,773,22
24,25,25,Tim Clark,35.15,914,26
25,26,26,Omar Uresti,35.17,844,24
26,27,27,Shane Bertsch,35.18,985,28
27,28,28,Kevin Sutherland,35.19,915,26
28,T29,T29,Phil Mickelson,35.2,704,20
29,T29,T29,Bob Tway,35.2,704,20
30,T31,T31,Padraig Harrington,35.21,493,14
31,T31,T31,Justin Leonard,35.21,845,24
32,T31,T31,Jimmy Walker,35.21,845,24
33,34,34,Brad Elder,35.22,810,23
34,35,35,Bill Haas,35.23,1092,31
35,T36,T36,J.B. Holmes,35.28,882,25
36,T36,T36,Steve Marino,35.28,1129,32
37,38,38,Camilo Villegas,35.29,741,21
38,T39,T39,Stephen Ames,35.3,812,23
39,T39,T39,Robert Garrigus,35.3,953,27
40,T41,T41,Steve Flesch,35.31,1024,29
41,T41,T41,Vaughn Taylor,35.31,1130,32
42,43,43,Dudley Hart,35.32,777,22
43,44,44,Tom Pernice Jr.,35.33,1060,30
44,45,45,Martin Laird,35.34,1025,29
45,46,46,Sean O'Hair,35.36,884,25
46,T47,T47,Brian Davis,35.38,1132,32
47,T47,T47,Doug LaBelle II,35.38,743,21
48,T47,T47,Jeff Maggert,35.38,920,26
49,T47,T47,Ted Purdy,35.38,849,24
50,T47,T47,Heath Slocum,35.38,1026,29
51,T47,T47,Kevin Streelman,35.38,1132,32
52,53,53,John Rollins,35.39,991,28
53,54,54,Frank Lickliter II,35.4,1062,30
54,T55,T55,Robert Allenby,35.41,956,27
55,T55,T55,Matt Kuchar,35.41,956,27
56,T55,T55,Parker McLachlin,35.41,956,27
57,T55,T55,Joe Ogilvie,35.41,1027,29
58,T59,T59,Glen Day,35.42,673,19
59,T59,T59,Pat Perez,35.42,921,26
60,T59,T59,David Toms,35.42,673,19
61,T62,T62,Dustin Johnson,35.43,992,28
62,T62,T62,Boo Weekley,35.43,815,23
63,64,64,Bob Estes,35.46,993,28
64,T65,T65,Todd Demsey,35.48,887,25
65,T65,T65,Steve Elkington,35.48,816,23
66,T65,T65,Matt Jones,35.48,1100,31
67,T65,T65,D.J. Trahan,35.48,958,27
68,T69,T69,Ryuji Imada,35.5,852,24
69,T69,T69,Chris Riley,35.5,568,16
70,T71,T71,Marco Dawson,35.53,675,19
71,T71,T71,Tom Lehman,35.53,604,17
72,T73,T73,Carlos Franco,35.54,853,24
73,T73,T73,Ian Poulter,35.54,462,13
74,T73,T73,Chris Stroud,35.54,924,26
75,T76,T76,Stuart Appleby,35.55,782,22
76,T76,T76,Ken Duke,35.55,1173,33
77,78,78,Sergio Garcia,35.56,640,18
78,79,79,Chez Reavie,35.57,1067,30
79,T80,T80,Lucas Glover,35.58,925,26
80,T80,T80,Mark Hensby,35.58,854,24
81,T82,T82,Stewart Cink,35.59,783,22
82,T82,T82,Mathew Goggin,35.59,961,27
83,T82,T82,Peter Lonard,35.59,1032,29
84,T82,T82,Jin Park,35.59,1032,29
85,T82,T82,Jesper Parnevik,35.59,961,27
86,T82,T82,Tag Ridings,35.59,1032,29
87,88,88,Kevin Stadler,35.6,1068,30
88,T89,T89,Aaron Baddeley,35.62,748,21
89,T89,T89,Charley Hoffman,35.62,1033,29
90,T89,T89,Bubba Watson,35.62,1033,29
91,T92,T92,Jeff Overton,35.63,1140,32
92,T92,T92,Patrick Sheehan,35.63,1247,35
93,T94,T94,Brad Adamonis,35.64,998,28
94,T94,T94,Hunter Mahan,35.64,891,25
95,T94,T94,George McNeill,35.64,998,28
96,T94,T94,Rory Sabbatini,35.64,784,22
97,T94,T94,Y.E. Yang,35.64,998,28
98,99,99,Troy Matteson,35.67,1070,30
99,100,100,Craig Kanada,35.68,785,22
100,101,101,Marc Turnesa,35.69,1035,29
101,102,102,K.J. Choi,35.7,714,20
102,T103,T103,James Driscoll,35.71,1000,28
103,T103,T103,Freddie Jacobson,35.71,857,24
104,T103,T103,Dean Wilson,35.71,1107,31
105,T106,T106,Woody Austin,35.72,1036,29
106,T106,T106,Carl Pettersson,35.72,1036,29
107,108,108,Jonathan Byrd,35.73,929,26
108,T109,T109,Michael Allen,35.74,965,27
109,T109,T109,Harrison Frazar,35.74,822,23
110,T109,T109,J.J. Henry,35.74,1215,34
111,T112,T112,Chad Collins,35.75,858,24
112,T112,T112,Ron Whittaker,35.75,715,20
113,114,114,Jim Furyk,35.76,894,25
114,115,115,Charles Howell III,35.77,1073,30
115,116,116,John Riegger,35.78,823,23
116,T117,T117,Geoff Ogilvy,35.79,680,19
117,T117,T117,Tom Scherrer,35.79,680,19
118,119,119,Corey Pavin,35.8,716,20
119,T120,T120,Robert Gamez,35.81,931,26
120,T120,T120,Kent Jones,35.81,752,21
121,122,122,Scott Sterling,35.82,1003,28
122,123,123,Johnson Wagner,35.85,932,26
123,T124,T124,Jason Day,35.86,1004,28
124,T124,T124,Nick Flanagan,35.86,1040,29
125,T124,T124,Nathan Green,35.86,1040,29
126,127,127,Scott Verplank,35.87,825,23
127,T128,T128,Kenneth Ferrie,35.88,897,25
128,T128,T128,Brandt Snedeker,35.88,897,25
129,T128,T128,Mike Weir,35.88,861,24
130,131,131,Lee Janzen,35.89,1005,28
131,132,132,Tim Petrovic,35.9,1113,31
132,133,133,Cliff Kresge,35.93,1006,28
133,T134,T134,Retief Goosen,35.94,611,17
134,T134,T134,Bo Van Pelt,35.94,1114,31
135,T136,T136,Trevor Immelman,35.95,755,21
136,T136,T136,Brandt Jobe,35.95,683,19
137,T138,T138,Jason Allred,35.96,827,23
138,T138,T138,Tommy Gainey,35.96,827,23
139,T138,T138,Jim McGovern,35.96,899,25
140,T138,T138,Kyle Thompson,35.96,935,26
141,T142,T142,Eric Axley,36.0,1260,35
142,T142,T142,Bart Bryant,36.0,828,23
143,T142,T142,Jeff Gove,36.0,612,17
144,T142,T142,Zach Johnson,36.0,864,24
145,T142,T142,Michael Letzig,36.0,1008,28
146,T142,T142,Davis Love III,36.0,828,23
147,T142,T142,Adam Scott,36.0,504,14
148,T149,T149,Chris DiMarco,36.03,1045,29
149,T149,T149,Richard Johnson,36.03,1045,29
150,T149,T149,Tim Wilkinson,36.03,1045,29
151,152,152,John Senden,36.04,973,27
152,T153,T153,Alejandro Cañizares,36.06,577,16
153,T153,T153,Jon Mills,36.06,1154,32
154,T153,T153,Jay Williamson,36.06,1118,31
155,T156,T156,Cameron Beckman,36.07,974,27
156,T156,T156,Todd Hamilton,36.07,1010,28
157,158,158,Ryan Moore,36.08,866,24
158,159,159,Scott McCarron,36.09,794,22
159,160,160,David Lutterus,36.1,758,21
160,T161,T161,Alex Cejka,36.12,903,25
161,T161,T161,Brett Quigley,36.12,903,25
162,163,163,Paul Goydos,36.13,867,24
163,164,164,Rod Pampling,36.15,976,27
164,165,165,Jason Gore,36.17,1085,30
165,T166,T166,Travis Perkins,36.19,760,21
166,T166,T166,Brett Rumford,36.19,941,26
167,T168,T168,Richard Johnson,36.2,724,20
168,T168,T168,Steve Lowery,36.2,905,25
169,T170,T170,Daniel Chopra,36.23,942,26
170,T170,T170,Mathias Grönberg,36.23,1087,30
171,T172,T172,Paul Casey,36.27,544,15
172,T172,T172,Jeff Quinney,36.27,943,26
173,T172,T172,Bob Sowards,36.27,798,22
174,175,175,Nick O'Hern,36.29,871,24
175,176,176,Jerry Kelly,36.3,1089,30
176,177,177,Charles Warren,36.32,1017,28
177,178,178,Rocco Mediate,36.36,909,25
178,179,179,Ryan Armour,36.37,1091,30
179,180,180,Cody Freeman,36.38,946,26
180,181,181,Stephen Leaney,36.41,619,17
181,T182,T182,Rich Beem,36.43,1020,28
182,T182,T182,Justin Bolli,36.43,1020,28
183,T182,T182,Greg Kraft,36.43,765,21
184,T185,T185,Joe Durant,36.46,1021,28
185,T185,T185,J.P. Hayes,36.46,948,26
186,T185,T185,Nicholas Thompson,36.46,1276,35
187,188,188,Olin Browne,36.52,986,27
