,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Ryan Palmer,69,26.74,215,804
1,2,2,Phil Mickelson,80,24.93,180,722
2,3,3,Stewart Cink,87,24.82,203,818
3,4,4,Camilo Villegas,79,24.7,204,826
4,5,5,Rory Sabbatini,77,24.67,204,827
5,6,6,Bob Tway,70,24.21,191,789
6,7,7,John Huston,56,24.18,163,674
7,8,8,Paul Casey,55,23.9,119,498
8,9,9,Anthony Kim,81,23.65,197,833
9,T10,T10,Chad Campbell,94,23.58,278,1179
10,T10,T10,Adam Scott,51,23.58,100,424
11,12,12,Justin Leonard,101,23.48,243,1035
12,13,13,Michael Allen,91,23.44,260,1109
13,14,14,Fred Couples,60,23.42,152,649
14,15,15,Hunter Mahan,87,23.38,234,1001
15,16,16,Pat Perez,93,23.33,252,1080
16,17,17,Ken Duke,116,23.31,320,1373
17,18,18,K.J. Choi,74,23.26,174,748
18,19,19,Ángel Cabrera,55,23.25,103,443
19,20,20,Tim Clark,90,23.24,231,994
20,21,21,Robert Garrigus,90,23.14,245,1059
21,22,22,Steve Marino,119,23.09,321,1390
22,23,23,Vijay Singh,82,23.0,181,787
23,24,24,Martin Laird,98,22.99,260,1131
24,T25,T25,J.B. Holmes,86,22.96,186,810
25,T25,T25,Kevin Streelman,114,22.96,290,1263
26,27,27,Dudley Hart,74,22.94,203,885
27,28,28,Aaron Baddeley,76,22.85,175,766
28,29,29,Tom Pernice Jr.,104,22.82,304,1332
29,30,30,Michael Letzig,88,22.71,223,982
30,31,31,George McNeill,97,22.7,267,1176
31,T32,T32,Sergio Garcia,72,22.58,163,722
32,T32,T32,Jason Gore,94,22.58,271,1200
33,34,34,Ernie Els,51,22.53,105,466
34,35,35,Steve Stricker,75,22.48,167,743
35,36,36,Joe Ogilvie,100,22.45,257,1145
36,37,37,Carlos Franco,73,22.43,183,816
37,38,38,Stephen Ames,83,22.37,200,894
38,T39,T39,Vaughn Taylor,103,22.35,280,1253
39,T39,T39,Bubba Watson,97,22.35,215,962
40,T41,T41,Woody Austin,109,22.32,271,1214
41,T41,T41,Ben Crane,86,22.32,233,1044
42,T41,T41,Scott McCarron,63,22.32,169,757
43,44,44,Mark Wilson,107,22.28,332,1490
44,45,45,Kevin Sutherland,98,22.26,258,1159
45,T46,T46,Eric Axley,113,22.23,277,1246
46,T46,T46,Jesper Parnevik,88,22.23,215,967
47,48,48,Mark Hensby,71,22.21,183,824
48,49,49,Tag Ridings,88,22.15,225,1016
49,50,50,Marco Dawson,64,22.09,161,729
50,T51,T51,Jonathan Byrd,88,21.99,237,1078
51,T51,T51,Dean Wilson,109,21.99,276,1255
52,T53,T53,Davis Love III,78,21.92,187,853
53,T53,T53,Jeff Quinney,87,21.92,221,1008
54,T53,T53,Mike Weir,88,21.92,194,885
55,56,56,Nick Watney,96,21.9,233,1064
56,57,57,Kenny Perry,97,21.87,264,1207
57,58,58,Jim Furyk,95,21.86,237,1084
58,59,59,Steve Allan,58,21.84,126,577
59,60,60,Tommy Gainey,60,21.81,130,596
60,61,61,Freddie Jacobson,78,21.74,187,860
61,T62,T62,Steve Flesch,95,21.72,232,1068
62,T62,T62,D.J. Trahan,94,21.72,230,1059
63,T62,T62,Marc Turnesa,87,21.72,225,1036
64,65,65,Zach Johnson,85,21.69,226,1042
65,66,66,Charles Howell III,101,21.67,236,1089
66,T67,T67,Lucas Glover,91,21.64,238,1100
67,T67,T67,David Toms,70,21.64,166,767
68,69,69,Brian Gay,102,21.63,271,1253
69,70,70,Rod Pampling,83,21.61,196,907
70,71,71,Stuart Appleby,87,21.55,186,863
71,72,72,Andres Romero,69,21.54,120,557
72,73,73,James Driscoll,85,21.53,197,915
73,74,74,Robert Allenby,108,21.51,256,1190
74,75,75,Nathan Green,95,21.5,249,1158
75,T76,T76,Kent Jones,68,21.4,168,785
76,T76,T76,Brenden Pappas,66,21.4,150,701
77,78,78,Retief Goosen,59,21.38,118,552
78,79,79,Glen Day,64,21.34,163,764
79,80,80,Jeff Overton,103,21.33,234,1097
80,81,81,Frank Lickliter II,107,21.29,288,1353
81,82,82,Mathias Grönberg,87,21.22,216,1018
82,T83,T83,Jason Day,81,21.21,210,990
83,T83,T83,Bill Haas,99,21.21,245,1155
84,85,85,Nicholas Thompson,113,21.2,272,1283
85,86,86,Boo Weekley,86,21.12,178,843
86,87,87,Charley Hoffman,94,21.09,240,1138
87,88,88,Carl Pettersson,110,21.07,268,1272
88,T89,T89,Brian Davis,108,21.06,305,1448
89,T89,T89,Scott Verplank,82,21.06,198,940
90,T91,T91,Shane Bertsch,96,21.04,274,1302
91,T91,T91,Ryuji Imada,80,21.04,186,884
92,T93,T93,Chris DiMarco,87,21.0,210,1000
93,T93,T93,Steve Elkington,84,21.0,219,1043
94,T93,T93,Brett Rumford,72,21.0,160,762
95,T93,T93,Johnson Wagner,83,21.0,185,881
96,97,97,Mark Calcavecchia,67,20.97,155,739
97,98,98,Cameron Beckman,87,20.96,219,1045
98,99,99,John Mallinger,95,20.95,248,1184
99,100,100,Tim Herron,97,20.92,233,1114
100,101,101,Lee Janzen,89,20.91,215,1028
101,T102,T102,Geoff Ogilvy,65,20.89,131,627
102,T102,T102,Corey Pavin,69,20.89,169,809
103,104,104,Nick O'Hern,82,20.84,218,1046
104,105,105,Ryan Armour,87,20.83,225,1080
105,106,106,Troy Matteson,94,20.81,242,1163
106,107,107,Tim Petrovic,97,20.8,229,1101
107,108,108,Bo Van Pelt,101,20.78,255,1227
108,109,109,Kevin Na,97,20.7,261,1261
109,110,110,Padraig Harrington,52,20.69,84,406
110,T111,T111,Rich Beem,90,20.66,224,1084
111,T111,T111,Y.E. Yang,89,20.66,218,1055
112,113,113,John Riegger,73,20.62,185,897
113,114,114,Daniel Chopra,84,20.61,168,815
114,115,115,Craig Kanada,65,20.54,160,779
115,116,116,Gavin Coles,54,20.51,129,629
116,117,117,Joe Durant,92,20.5,231,1127
117,118,118,Patrick Sheehan,124,20.46,302,1476
118,119,119,Ryan Moore,72,20.44,175,856
119,120,120,Brandt Snedeker,85,20.41,180,882
120,121,121,Parker McLachlin,88,20.39,207,1015
121,122,122,Mathew Goggin,91,20.38,225,1104
122,123,123,Tommy Armour III,77,20.36,183,899
123,T124,T124,Bob Estes,90,20.35,241,1184
124,T124,T124,Jeff Maggert,86,20.35,218,1071
125,126,126,Tim Wilkinson,95,20.34,218,1072
126,127,127,Greg Kraft,63,20.31,145,714
127,128,128,Charlie Wi,97,20.23,249,1231
128,129,129,Brad Elder,67,20.2,144,713
129,130,130,Richard Johnson,77,20.15,162,804
130,T131,T131,Jason Allred,63,20.13,121,601
131,T131,T131,Dustin Johnson,92,20.13,192,954
