,Tenth_Tee_Early_Round_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_5_Scoring_Average_AVG,Tenth_Tee_Early_Round_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_5_Scoring_Average_TOTAL ROUNDS
0,1,1,Bubba Watson,66.0,66,1
1,T2,T2,Olin Browne,67.0,67,1
2,T2,T2,Charlie Wi,67.0,67,1
3,4,4,Michael Allen,68.0,68,1
4,T5,T5,Tommy Armour III,69.0,69,1
5,T5,T5,Frank Lickliter II,69.0,69,1
6,T5,T5,Jin Park,69.0,69,1
7,T8,T8,Rich Beem,70.0,70,1
8,T8,T8,Joe Durant,70.0,70,1
9,T10,T10,Brad Adamonis,71.0,71,1
10,T10,T10,Paul Claxton,71.0,71,1
11,T10,T10,Brian Gay,71.0,71,1
12,T10,T10,Kevin Sutherland,71.0,71,1
13,T10,T10,Kyle Thompson,71.0,71,1
14,T15,T15,Jeff Maggert,72.0,72,1
15,T15,T15,Chris Stroud,72.0,72,1
16,17,17,Mike Weir,73.0,73,1
17,T18,T18,Woody Austin,74.0,74,1
18,T18,T18,Justin Bolli,74.0,74,1
19,T18,T18,Jason Gore,74.0,74,1
20,21,21,Kevin Stadler,75.0,75,1
