,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Bob Tway,70,69.56,1739,25
1,2,2,Steve Marino,119,69.74,2929,42
2,3,3,Tom Lehman,51,69.75,837,12
3,4,4,Ken Duke,116,69.79,2652,38
4,5,5,J.B. Holmes,86,69.89,1328,19
5,6,6,Briny Baird,113,69.91,2237,32
6,T7,T7,Aaron Baddeley,76,70.0,1610,23
7,T7,T7,Chris Riley,51,70.0,1190,17
8,T7,T7,Mark Wilson,107,70.0,2590,37
9,10,10,Jeff Maggert,86,70.04,1821,26
10,11,11,Steve Stricker,75,70.05,1401,20
11,12,12,Tom Pernice Jr.,104,70.06,2382,34
12,13,13,Ben Crane,86,70.08,1822,26
13,14,14,Jason Gore,94,70.09,1542,22
14,15,15,Chad Collins,72,70.11,1963,28
15,16,16,Bill Haas,99,70.18,1544,22
16,17,17,Chad Campbell,94,70.24,2318,33
17,18,18,Tim Herron,97,70.28,2249,32
18,19,19,Ben Curtis,80,70.3,1617,23
19,T20,T20,Robert Garrigus,90,70.31,1828,26
20,T20,T20,Charlie Wi,97,70.31,2461,35
21,T20,T20,Tim Wilkinson,95,70.31,2039,29
22,T23,T23,J.J. Henry,108,70.33,2743,39
23,T23,T23,Adam Scott,51,70.33,1055,15
24,25,25,Justin Leonard,101,70.34,2040,29
25,26,26,Dean Wilson,109,70.35,2603,37
26,27,27,Billy Andrade,71,70.41,1197,17
27,28,28,Parker McLachlin,88,70.43,1620,23
28,29,29,Corey Pavin,69,70.44,1902,27
29,30,30,Eric Axley,113,70.45,2043,29
30,31,31,Chez Reavie,102,70.46,1973,28
31,32,32,Steve Elkington,84,70.47,2114,30
32,33,33,Shane Bertsch,96,70.5,1974,28
33,T34,T34,Freddie Jacobson,78,70.52,1763,25
34,T34,T34,Anthony Kim,81,70.52,1481,21
35,T34,T34,John Rollins,94,70.52,2045,29
36,T34,T34,Omar Uresti,74,70.52,1622,23
37,38,38,Jim Furyk,95,70.53,1340,19
38,39,39,Kenny Perry,97,70.54,1834,26
39,40,40,Kevin Streelman,114,70.56,2893,41
40,T41,T41,Martin Laird,98,70.58,2682,38
41,T41,T41,Patrick Sheehan,124,70.58,3176,45
42,T41,T41,Kevin Sutherland,98,70.58,1835,26
43,T41,T41,Mike Weir,88,70.58,1341,19
44,45,45,Alejandro Cañizares,52,70.62,918,13
45,46,46,Boo Weekley,86,70.63,2260,32
46,T47,T47,Bob Estes,90,70.64,1978,28
47,T47,T47,Camilo Villegas,79,70.64,1554,22
48,T49,T49,K.J. Choi,74,70.65,1201,17
49,T49,T49,Brenden Pappas,66,70.65,1625,23
50,T49,T49,Brett Quigley,80,70.65,1837,26
51,T49,T49,Bo Van Pelt,101,70.65,2614,37
52,53,53,Zach Johnson,85,70.66,2049,29
53,54,54,Padraig Harrington,52,70.67,1060,15
54,T55,T55,James Driscoll,85,70.69,2050,29
55,T55,T55,Brian Gay,102,70.69,1838,26
56,T55,T55,Kevin Na,97,70.69,2474,35
57,58,58,Michael Allen,91,70.72,1768,25
58,59,59,Scott McCarron,63,70.73,778,11
59,T60,T60,John Huston,56,70.76,1203,17
60,T60,T60,Davis Love III,78,70.76,2052,29
61,T62,T62,Stewart Cink,87,70.77,1557,22
62,T62,T62,Todd Demsey,80,70.77,1840,26
63,T62,T62,Sergio Garcia,72,70.77,920,13
64,65,65,Nicholas Thompson,113,70.78,2831,40
65,66,66,Mathew Goggin,91,70.79,2053,29
66,67,67,Ryan Moore,72,70.81,1133,16
67,T68,T68,Dudley Hart,74,70.82,1204,17
68,T68,T68,Hunter Mahan,87,70.82,2337,33
69,70,70,John Riegger,73,70.83,2054,29
70,T71,T71,Joe Durant,92,70.84,2196,31
71,T71,T71,Greg Kraft,63,70.84,1346,19
72,T71,T71,Scott Sterling,89,70.84,2267,32
73,74,74,Peter Lonard,92,70.87,2197,31
74,T75,T75,Gavin Coles,54,70.88,1205,17
75,T75,T75,Jeff Gove,50,70.88,1134,16
76,T75,T75,Carl Pettersson,110,70.88,2339,33
77,T75,T75,Marc Turnesa,87,70.88,1701,24
78,79,79,George McNeill,97,70.92,2624,37
79,80,80,Tag Ridings,88,70.93,1915,27
80,81,81,Charley Hoffman,94,70.95,2625,37
81,82,82,John Merrick,98,70.96,1916,27
82,83,83,Nick O'Hern,82,70.97,2058,29
83,T84,T84,Robert Allenby,108,71.0,2272,32
84,T84,T84,Bart Bryant,81,71.0,1917,27
85,T84,T84,Nick Flanagan,89,71.0,1775,25
86,T84,T84,Steve Flesch,95,71.0,2059,29
87,T84,T84,Ryuji Imada,80,71.0,1704,24
88,T84,T84,Richard Johnson,60,71.0,1491,21
89,T84,T84,Doug LaBelle II,65,71.0,1420,20
90,T84,T84,Rod Pampling,83,71.0,1420,20
91,T84,T84,Brandt Snedeker,85,71.0,1846,26
92,T93,T93,John Mallinger,95,71.03,2060,29
93,T93,T93,Billy Mayfair,103,71.03,2415,34
94,95,95,Carlos Franco,73,71.04,1847,26
95,T96,T96,Ryan Palmer,69,71.05,1350,19
96,T96,T96,Bob Sowards,61,71.05,1563,22
97,98,98,Steve Allan,58,71.07,995,14
98,T99,T99,Cameron Beckman,87,71.1,2133,30
99,T99,T99,Jonathan Byrd,88,71.1,2133,30
100,T99,T99,Jeff Overton,103,71.1,2204,31
101,102,102,Y.E. Yang,89,71.11,1991,28
102,103,103,Kenneth Ferrie,72,71.12,1849,26
103,104,104,Dustin Johnson,92,71.14,2561,36
104,105,105,Sean O'Hair,81,71.15,1850,26
105,T106,T106,Brian Davis,108,71.19,1851,26
106,T106,T106,Vaughn Taylor,103,71.19,2207,31
107,108,108,Stuart Appleby,87,71.2,1424,20
108,109,109,Phil Mickelson,80,71.21,997,14
109,T110,T110,Stephen Ames,83,71.22,1638,23
110,T110,T110,Kent Jones,68,71.22,1282,18
111,T112,T112,Jim McGovern,75,71.25,1710,24
112,T112,T112,D.J. Trahan,94,71.25,2280,32
113,114,114,Ryan Armour,87,71.26,1639,23
114,T115,T115,Nathan Green,95,71.27,2352,33
115,T115,T115,Jesper Parnevik,88,71.27,2138,30
116,T117,T117,Glen Day,64,71.28,1283,18
117,T117,T117,Pat Perez,93,71.28,2067,29
118,T119,T119,Michael Letzig,88,71.3,1925,27
119,T119,T119,Ted Purdy,68,71.3,1426,20
120,121,121,Jeff Quinney,87,71.31,2068,29
121,T122,T122,David Lutterus,59,71.32,1355,19
122,T122,T122,Joe Ogilvie,100,71.32,2710,38
123,124,124,Vijay Singh,82,71.33,1498,21
124,125,125,Chris Stroud,81,71.34,2069,29
125,126,126,Fred Couples,60,71.35,1427,20
126,127,127,Nick Watney,96,71.36,2783,39
127,128,128,Woody Austin,109,71.42,2714,38
128,129,129,Rocco Mediate,87,71.45,2072,29
129,T130,T130,Tim Petrovic,97,71.47,2144,30
130,T130,T130,Andres Romero,69,71.47,2144,30
131,T132,T132,Retief Goosen,59,71.5,1573,22
132,T132,T132,Lee Janzen,89,71.5,1573,22
133,T134,T134,Robert Gamez,79,71.54,2003,28
134,T134,T134,Tom Scherrer,56,71.54,930,13
135,136,136,Rich Beem,90,71.55,2719,38
136,T137,T137,John Senden,93,71.56,2934,41
137,T137,T137,David Toms,70,71.56,1789,25
138,139,139,Tim Clark,90,71.57,1646,23
139,140,140,Mathias Grönberg,87,71.59,2434,34
140,T141,T141,Rory Sabbatini,77,71.61,1289,18
141,T141,T141,Heath Slocum,104,71.61,2220,31
142,T143,T143,Paul Claxton,63,71.62,1504,21
143,T143,T143,Trevor Immelman,70,71.62,1504,21
144,T143,T143,Richard Johnson,77,71.62,1862,26
145,T146,T146,Lucas Glover,91,71.63,2149,30
146,T146,T146,Frank Lickliter II,107,71.63,2865,40
147,148,148,Troy Matteson,94,71.67,1720,24
148,T149,T149,Jason Allred,63,71.7,1649,23
149,T149,T149,Ángel Cabrera,55,71.7,1434,20
150,151,151,Bubba Watson,97,71.71,1721,24
151,152,152,Jon Mills,95,71.73,2152,30
152,T153,T153,Brad Adamonis,87,71.74,1363,19
153,T153,T153,Brandt Jobe,52,71.74,1363,19
154,155,155,Paul Casey,55,71.76,1220,17
155,T156,T156,Olin Browne,77,71.77,1866,26
156,T156,T156,Chris DiMarco,87,71.77,2153,30
157,T158,T158,Matt Kuchar,88,71.78,1651,23
158,T158,T158,Scott Verplank,82,71.78,1292,18
159,160,160,Matt Jones,95,71.79,2082,29
160,161,161,Daniel Chopra,84,71.82,2011,28
161,T162,T162,Harrison Frazar,73,71.83,1724,24
162,T162,T162,Charles Warren,79,71.83,1652,23
163,164,164,Geoff Ogilvy,65,71.84,1365,19
164,165,165,Ernie Els,51,71.85,934,13
165,166,166,Ian Poulter,51,71.87,1078,15
166,T167,T167,Mark Calcavecchia,67,71.88,1725,24
167,T167,T167,Johnson Wagner,83,71.88,2300,32
168,169,169,Cliff Kresge,84,71.89,2013,28
169,170,170,Charles Howell III,101,71.91,2373,33
170,171,171,Mark Hensby,71,71.95,1367,19
171,172,172,Craig Kanada,65,72.0,1368,19
172,173,173,Jason Day,81,72.06,1297,18
173,174,174,Cody Freeman,66,72.12,1226,17
174,175,175,Kyle Thompson,70,72.13,1154,16
175,T176,T176,Brad Elder,67,72.16,1371,19
176,T176,T176,Ron Whittaker,54,72.16,1371,19
177,178,178,Steve Lowery,74,72.17,2165,30
