,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Justin Leonard,101,35.71,110,308
1,2,2,Brian Gay,102,30.9,106,343
2,3,3,Anthony Kim,81,29.37,79,269
3,4,4,Nick O'Hern,82,29.35,86,293
4,5,5,John Huston,56,29.19,61,209
5,6,6,Brian Davis,108,29.11,115,395
6,7,7,Aaron Baddeley,76,28.86,58,201
7,8,8,Bob Tway,70,28.64,59,206
8,9,9,Joe Ogilvie,100,28.32,113,399
9,T10,T10,Marc Turnesa,87,28.25,76,269
10,T10,T10,Scott Verplank,82,28.25,76,269
11,12,12,Chad Campbell,94,28.08,89,317
12,13,13,Gavin Coles,54,28.05,46,164
13,14,14,David Toms,70,28.02,65,232
14,15,15,Corey Pavin,69,27.98,54,193
15,16,16,Phil Mickelson,80,27.83,64,230
16,17,17,Paul Goydos,78,27.43,79,288
17,18,18,Jim Furyk,95,27.31,74,271
18,19,19,Mike Weir,88,27.3,77,282
19,20,20,Stuart Appleby,87,27.17,69,254
20,21,21,Ian Poulter,51,27.1,42,155
21,22,22,Freddie Jacobson,78,27.03,70,259
22,23,23,Jason Gore,94,26.89,82,305
23,24,24,Omar Uresti,74,26.77,72,269
24,25,25,Dean Wilson,109,26.69,95,356
25,26,26,Paul Casey,55,26.45,32,121
26,27,27,Ron Whittaker,54,26.42,42,159
27,28,28,Paul Claxton,63,26.34,49,186
28,29,29,Steve Stricker,75,26.32,60,228
29,30,30,Tim Clark,90,26.28,82,312
30,31,31,Ben Crane,86,26.26,73,278
31,32,32,Steve Elkington,84,26.2,82,313
32,33,33,Craig Kanada,65,25.93,56,216
33,34,34,Robert Allenby,108,25.9,65,251
34,35,35,K.J. Choi,74,25.85,53,205
35,36,36,Hunter Mahan,87,25.83,62,240
36,37,37,Ryan Palmer,69,25.63,61,238
37,38,38,Kevin Sutherland,98,25.59,76,297
38,39,39,Vaughn Taylor,103,25.52,98,384
39,40,40,Pat Perez,93,25.44,72,283
40,41,41,Padraig Harrington,52,25.41,31,122
41,42,42,Peter Lonard,92,25.31,82,324
42,43,43,Jeff Gove,50,25.3,42,166
43,44,44,Geoff Ogilvy,65,25.24,52,206
44,45,45,Kenny Perry,97,25.14,89,354
45,46,46,Chad Collins,72,25.12,52,207
46,47,47,Brett Rumford,72,25.1,61,243
47,48,48,Ryuji Imada,80,24.89,59,237
48,49,49,Woody Austin,109,24.86,89,358
49,50,50,Cameron Beckman,87,24.85,82,330
50,51,51,Tom Pernice Jr.,104,24.79,90,363
51,T52,T52,Shane Bertsch,96,24.74,94,380
52,T52,T52,John Riegger,73,24.74,72,291
53,54,54,Stephen Ames,83,24.73,69,279
54,T55,T55,Bart Bryant,81,24.7,61,247
55,T55,T55,Stewart Cink,87,24.7,62,251
56,T55,T55,Ben Curtis,80,24.7,61,247
57,58,58,Chris Riley,51,24.68,38,154
58,59,59,Chris Stroud,81,24.64,68,276
59,60,60,Heath Slocum,104,24.59,90,366
60,61,61,Matt Kuchar,88,24.47,69,282
61,62,62,Tim Wilkinson,95,24.46,80,327
62,63,63,Glen Day,64,24.44,55,225
63,64,64,Ken Duke,116,24.42,105,430
64,65,65,Nathan Green,95,24.38,78,320
65,66,66,Mark Wilson,107,24.27,100,412
66,67,67,Chez Reavie,102,24.19,82,339
67,T68,T68,Jeff Quinney,87,23.99,71,296
68,T68,T68,Scott Sterling,89,23.99,71,296
69,70,70,Stephen Leaney,53,23.98,41,171
70,71,71,Jonathan Byrd,88,23.93,67,280
71,72,72,Ryan Armour,87,23.84,77,323
72,73,73,Greg Kraft,63,23.81,55,231
73,74,74,Frank Lickliter II,107,23.75,95,400
74,75,75,Mark Calcavecchia,67,23.74,52,219
75,76,76,Camilo Villegas,79,23.59,46,195
76,77,77,Rocco Mediate,87,23.58,58,246
77,78,78,John Senden,93,23.57,66,280
78,79,79,Rich Beem,90,23.51,75,319
79,80,80,Todd Hamilton,92,23.42,74,316
80,T81,T81,Michael Letzig,88,23.4,55,235
81,T81,T81,Vijay Singh,82,23.4,62,265
82,83,83,John Mallinger,95,23.36,75,321
83,84,84,John Rollins,94,23.29,75,322
84,85,85,Tim Herron,97,23.28,81,348
85,86,86,Zach Johnson,85,23.18,70,302
86,87,87,Briny Baird,113,23.15,78,337
87,88,88,Michael Allen,91,23.13,71,307
88,89,89,Kent Jones,68,23.12,43,186
89,90,90,Billy Mayfair,103,23.1,73,316
90,91,91,Jin Park,85,23.05,68,295
91,92,92,Will MacKenzie,62,23.01,52,226
92,93,93,Adam Scott,51,22.96,31,135
93,94,94,Retief Goosen,59,22.93,36,157
94,95,95,Charlie Wi,97,22.88,73,319
95,96,96,Carl Pettersson,110,22.86,80,350
96,97,97,Shigeki Maruyama,50,22.81,39,171
97,98,98,Bo Van Pelt,101,22.79,80,351
