,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,John Huston,56,34.95,1957,56
1,2,2,Vijay Singh,82,34.99,2729,78
2,T3,T3,Ken Duke,116,35.1,4072,116
3,T3,T3,Kenny Perry,97,35.1,3405,97
4,5,5,Briny Baird,113,35.12,3968,113
5,6,6,Brian Gay,102,35.13,3583,102
6,7,7,Gavin Coles,54,35.15,1898,54
7,8,8,Ben Crane,86,35.17,3025,86
8,9,9,Shane Bertsch,96,35.18,3377,96
9,10,10,Mark Wilson,107,35.23,3770,107
10,11,11,John Mallinger,95,35.24,3348,95
11,12,12,Kent Jones,68,35.25,2397,68
12,T13,T13,Tom Pernice Jr.,104,35.26,3667,104
13,T13,T13,Kevin Sutherland,98,35.26,3455,98
14,T13,T13,Bob Tway,70,35.26,2468,70
15,16,16,Chad Campbell,94,35.28,3316,94
16,17,17,Charlie Wi,97,35.29,3423,97
17,18,18,Peter Lonard,92,35.3,3248,92
18,19,19,Kevin Streelman,114,35.31,4025,114
19,T20,T20,Stephen Ames,83,35.32,2896,82
20,T20,T20,Mathew Goggin,91,35.32,3214,91
21,T20,T20,George McNeill,97,35.32,3426,97
22,23,23,Justin Leonard,101,35.34,3357,95
23,T24,T24,Anthony Kim,81,35.35,2863,81
24,T24,T24,Steve Marino,119,35.35,4207,119
25,T24,T24,Ryan Palmer,69,35.35,2439,69
26,27,27,Padraig Harrington,52,35.36,1768,50
27,28,28,Tim Herron,97,35.37,3431,97
28,29,29,Scott Sterling,89,35.38,3149,89
29,T30,T30,Stuart Appleby,87,35.4,2974,84
30,T30,T30,Jesper Parnevik,88,35.4,3115,88
31,T32,T32,Brian Davis,108,35.41,3824,108
32,T32,T32,Glen Day,64,35.41,2266,64
33,T32,T32,Phil Mickelson,80,35.41,2762,78
34,35,35,Stewart Cink,87,35.42,2869,81
35,36,36,Martin Laird,98,35.43,3472,98
36,T37,T37,Robert Allenby,108,35.44,3792,107
37,T37,T37,Marco Dawson,64,35.44,2268,64
38,T37,T37,Lucas Glover,91,35.44,3225,91
39,T37,T37,Camilo Villegas,79,35.44,2764,78
40,T37,T37,Bubba Watson,97,35.44,3438,97
41,42,42,Will MacKenzie,62,35.45,2198,62
42,T43,T43,Bill Haas,99,35.47,3512,99
43,T43,T43,John Merrick,98,35.47,3476,98
44,T43,T43,Brenden Pappas,66,35.47,2341,66
45,T43,T43,Steve Stricker,75,35.47,2554,72
46,T47,T47,Carlos Franco,73,35.48,2590,73
47,T47,T47,Marc Turnesa,87,35.48,3087,87
48,T49,T49,Steve Elkington,84,35.49,2981,84
49,T49,T49,Jim Furyk,95,35.49,3336,94
50,T49,T49,Corey Pavin,69,35.49,2449,69
51,T52,T52,Todd Demsey,80,35.5,2840,80
52,T52,T52,Sergio Garcia,72,35.5,2485,70
53,T54,T54,Tommy Armour III,77,35.51,2734,77
54,T54,T54,Nick Watney,96,35.51,3409,96
55,T56,T56,Bob Estes,90,35.52,3197,90
56,T56,T56,Robert Gamez,79,35.52,2806,79
57,T56,T56,Vaughn Taylor,103,35.52,3659,103
58,T56,T56,Bo Van Pelt,101,35.52,3588,101
59,T60,T60,Dudley Hart,74,35.53,2629,74
60,T60,T60,Hunter Mahan,87,35.53,3020,85
61,T62,T62,Jason Gore,94,35.54,3341,94
62,T62,T62,Pat Perez,93,35.54,3270,92
63,T62,T62,Rory Sabbatini,77,35.54,2701,76
64,T62,T62,D.J. Trahan,94,35.54,3341,94
65,T62,T62,Dean Wilson,109,35.54,3874,109
66,T67,T67,J.B. Holmes,86,35.55,3022,85
67,T67,T67,Omar Uresti,74,35.55,2631,74
68,T69,T69,Ben Curtis,80,35.56,2845,80
69,T69,T69,Billy Mayfair,103,35.56,3663,103
70,T69,T69,Scott Verplank,82,35.56,2880,81
71,T69,T69,Tim Wilkinson,95,35.56,3378,95
72,T73,T73,Tim Clark,90,35.57,3166,89
73,T73,T73,Greg Kraft,63,35.57,2241,63
74,T73,T73,Michael Letzig,88,35.57,3130,88
