,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Brian Gay,102,14.22,261,1836
1,2,2,Briny Baird,113,14.55,296,2034
2,3,3,Bob Tway,70,15.0,189,1260
3,4,4,Gavin Coles,54,15.02,146,972
4,5,5,Kevin Sutherland,98,15.08,266,1764
5,6,6,Chris Riley,51,15.14,139,918
6,7,7,Jim Furyk,95,15.19,257,1692
7,T8,T8,Mike Weir,88,15.2,238,1566
8,T8,T8,Tim Wilkinson,95,15.2,260,1710
9,10,10,Justin Leonard,101,15.26,261,1710
10,11,11,Bob Estes,90,15.31,248,1620
11,12,12,Charlie Wi,97,15.35,268,1746
12,13,13,Ben Crane,86,15.37,238,1548
13,14,14,Steve Marino,119,15.41,330,2142
14,15,15,Mark Wilson,107,15.47,298,1926
15,T16,T16,Glen Day,64,15.54,179,1152
16,T16,T16,Scott Sterling,89,15.54,249,1602
17,18,18,Vijay Singh,82,15.67,220,1404
18,19,19,Matt Kuchar,88,15.72,249,1584
19,20,20,Shane Bertsch,96,15.8,273,1728
20,21,21,Nick O'Hern,82,15.83,228,1440
21,22,22,Phil Mickelson,80,15.88,223,1404
22,23,23,Billy Mayfair,103,15.91,295,1854
23,24,24,Steve Elkington,84,15.94,241,1512
24,25,25,Steve Stricker,75,15.97,207,1296
25,26,26,John Huston,56,16.07,162,1008
26,27,27,Mathew Goggin,91,16.12,264,1638
27,T28,T28,J.J. Henry,108,16.15,314,1944
28,T28,T28,Craig Kanada,65,16.15,189,1170
29,30,30,Brad Elder,67,16.17,195,1206
30,31,31,Robert Allenby,108,16.25,313,1926
31,32,32,Patrick Sheehan,124,16.26,363,2232
32,33,33,Omar Uresti,74,16.29,217,1332
33,34,34,Bill Haas,99,16.33,291,1782
34,35,35,Zach Johnson,85,16.34,247,1512
35,36,36,John Riegger,73,16.36,215,1314
36,37,37,Kevin Na,97,16.38,286,1746
37,38,38,Ben Curtis,80,16.39,236,1440
38,39,39,Tom Pernice Jr.,104,16.4,307,1872
39,40,40,Dudley Hart,74,16.44,219,1332
40,41,41,Brian Davis,108,16.56,322,1944
41,T42,T42,Kent Jones,68,16.58,203,1224
42,T42,T42,Brenden Pappas,66,16.58,197,1188
43,44,44,Anthony Kim,81,16.6,242,1458
44,T45,T45,Tim Herron,97,16.61,290,1746
45,T45,T45,Kenny Perry,97,16.61,290,1746
46,T45,T45,Heath Slocum,104,16.61,311,1872
47,T48,T48,Stephen Ames,83,16.67,246,1476
48,T48,T48,Nick Watney,96,16.67,288,1728
49,50,50,Ken Duke,116,16.71,349,2088
50,51,51,Chez Reavie,102,16.72,307,1836
51,52,52,Stewart Cink,87,16.8,245,1458
52,53,53,Kevin Streelman,114,16.81,345,2052
53,54,54,Charles Howell III,101,16.84,300,1782
54,T55,T55,Corey Pavin,69,16.91,210,1242
55,T55,T55,John Senden,93,16.91,280,1656
56,T57,T57,Hunter Mahan,87,16.93,259,1530
57,T57,T57,Geoff Ogilvy,65,16.93,195,1152
58,T59,T59,Aaron Baddeley,76,17.05,224,1314
59,T59,T59,Parker McLachlin,88,17.05,270,1584
60,T61,T61,Sergio Garcia,72,17.06,215,1260
61,T61,T61,John Merrick,98,17.06,301,1764
62,T63,T63,Michael Allen,91,17.09,280,1638
63,T63,T63,Doug LaBelle II,65,17.09,200,1170
64,T65,T65,Cameron Beckman,87,17.11,268,1566
65,T65,T65,Marc Turnesa,87,17.11,268,1566
66,67,67,K.J. Choi,74,17.14,216,1260
67,T68,T68,Bart Bryant,81,17.15,250,1458
68,T68,T68,Jason Day,81,17.15,250,1458
69,T68,T68,Ryuji Imada,80,17.15,247,1440
70,T68,T68,Brett Quigley,80,17.15,247,1440
71,72,72,Bo Van Pelt,101,17.16,312,1818
72,T73,T73,Fred Couples,60,17.22,186,1080
