,Rounds_in_the_60s_RANK THIS WEEK,Rounds_in_the_60s_RANK LAST WEEK,Rounds_in_the_60s_PLAYER NAME,Rounds_in_the_60s_EVENTS,Rounds_in_the_60s_TOTAL RNDS
0,1,1,Kevin Streelman,32,54
1,T2,T2,Brian Gay,31,47
2,T2,T2,Steve Marino,32,47
3,T4,T4,Briny Baird,30,45
4,T4,T4,Bill Haas,31,45
5,T4,T4,Patrick Sheehan,35,45
6,T7,T7,Ken Duke,33,44
7,T7,T7,Kenny Perry,26,44
8,9,9,Mark Wilson,29,43
9,10,10,Vaughn Taylor,32,42
10,T11,T11,Billy Mayfair,29,41
11,T11,T11,Tom Pernice Jr.,30,41
12,T13,T13,Chad Campbell,28,40
13,T13,T13,Brian Davis,34,40
14,T13,T13,Tim Herron,28,40
15,T16,T16,Chez Reavie,30,39
16,T16,T16,Kevin Sutherland,26,39
17,T18,T18,Woody Austin,30,38
18,T18,T18,Eric Axley,35,38
19,T18,T18,Heath Slocum,29,38
20,T18,T18,Nicholas Thompson,36,38
21,T22,T22,Robert Allenby,28,37
22,T22,T22,Kevin Na,29,37
23,T22,T22,Charlie Wi,27,37
24,T22,T22,Dean Wilson,32,37
25,T26,T26,Anthony Kim,22,36
26,T26,T26,Justin Leonard,25,36
27,T28,T28,Shane Bertsch,29,35
28,T28,T28,Tim Clark,27,35
29,T28,T28,Jason Gore,33,35
30,T28,T28,Nick Watney,27,35
31,T32,T32,Bob Estes,28,34
32,T32,T32,Jim Furyk,26,34
33,T32,T32,John Merrick,28,34
34,T32,T32,Jeff Overton,32,34
35,T32,T32,Carl Pettersson,29,34
36,T32,T32,John Senden,28,34
37,T32,T32,Bo Van Pelt,32,34
38,T39,T39,J.J. Henry,34,33
39,T39,T39,Charley Hoffman,29,33
40,T39,T39,Charles Howell III,31,33
41,T39,T39,Michael Letzig,29,33
42,T39,T39,Peter Lonard,30,33
43,T39,T39,Pat Perez,27,33
44,T39,T39,Bubba Watson,29,33
45,T46,T46,Steve Elkington,25,32
46,T46,T46,Robert Garrigus,29,32
47,T46,T46,Dustin Johnson,30,32
48,T46,T46,Phil Mickelson,21,32
49,T46,T46,Tim Wilkinson,29,32
50,T51,T51,Brad Adamonis,29,31
51,T51,T51,Ben Crane,25,31
52,T51,T51,Martin Laird,29,31
53,T51,T51,Frank Lickliter II,32,31
54,T51,T51,John Mallinger,29,31
55,T51,T51,Bob Tway,20,31
56,T51,T51,Mike Weir,26,31
57,T51,T51,Jay Williamson,33,31
58,T59,T59,Stewart Cink,23,30
59,T59,T59,Hunter Mahan,27,30
60,T59,T59,Parker McLachlin,27,30
61,T59,T59,Joe Ogilvie,29,30
62,T59,T59,Scott Verplank,24,30
63,T59,T59,Camilo Villegas,22,30
64,T65,T65,Cameron Beckman,29,29
65,T65,T65,Daniel Chopra,27,29
66,T65,T65,Troy Matteson,30,29
67,T65,T65,George McNeill,29,29
68,T65,T65,Tim Petrovic,32,29
69,T70,T70,Stephen Ames,24,28
70,T70,T70,Tommy Armour III,25,28
71,T70,T70,Bart Bryant,23,28
72,T70,T70,Steve Flesch,29,28
73,T70,T70,Mathew Goggin,27,28
74,T70,T70,Dudley Hart,22,28
75,T70,T70,Ryan Palmer,22,28
76,T70,T70,Corey Pavin,20,28
77,T70,T70,D.J. Trahan,27,28
78,T70,T70,Marc Turnesa,29,28
79,T80,T80,James Driscoll,28,27
80,T80,T80,Joe Durant,28,27
81,T80,T80,Lucas Glover,26,27
82,T80,T80,Ryuji Imada,25,27
83,T80,T80,Cliff Kresge,28,27
84,T80,T80,Davis Love III,23,27
85,T80,T80,Jesper Parnevik,29,27
86,T80,T80,Vijay Singh,23,27
87,T88,T88,Michael Allen,28,26
88,T88,T88,Jason Day,28,26
89,T88,T88,Nick Flanagan,29,26
90,T88,T88,Zach Johnson,25,26
91,T88,T88,Sean O'Hair,25,26
92,T88,T88,Tag Ridings,29,26
93,T88,T88,John Rollins,28,26
94,T88,T88,Rory Sabbatini,23,26
95,T88,T88,Charles Warren,29,26
96,T88,T88,Boo Weekley,24,26
97,T98,T98,Rich Beem,29,25
98,T98,T98,K.J. Choi,21,25
99,T98,T98,Ben Curtis,22,25
100,T98,T98,Sergio Garcia,19,25
101,T98,T98,J.B. Holmes,26,25
102,T98,T98,Lee Janzen,28,25
103,T98,T98,Matt Kuchar,27,25
104,T98,T98,Nick O'Hern,26,25
105,T98,T98,Steve Stricker,22,25
106,T107,T107,Stuart Appleby,23,24
107,T107,T107,Aaron Baddeley,22,24
108,T107,T107,Chad Collins,24,24
109,T107,T107,Todd Demsey,25,24
110,T107,T107,Nathan Green,30,24
111,T107,T107,Matt Jones,31,24
112,T107,T107,John Riegger,24,24
113,T107,T107,Brandt Snedeker,26,24
114,T107,T107,Kevin Stadler,30,24
115,T107,T107,Scott Sterling,28,24
116,T107,T107,Chris Stroud,29,24
117,T107,T107,Y.E. Yang,29,24
118,T119,T119,Jonathan Byrd,27,23
119,T119,T119,Mathias Grönberg,30,23
120,T119,T119,Jerry Kelly,31,23
121,T119,T119,Jon Mills,32,23
122,T119,T119,Jeff Quinney,28,23
123,T119,T119,Omar Uresti,24,23
124,T125,T125,Glen Day,19,22
125,T125,T125,Brad Elder,23,22
126,T125,T125,Harrison Frazar,23,22
127,T125,T125,Todd Hamilton,28,22
128,T125,T125,Mark Hensby,26,22
129,T125,T125,Brett Quigley,25,22
130,T125,T125,David Toms,20,22
131,T125,T125,Jimmy Walker,24,22
132,T133,T133,Steve Allan,21,21
133,T133,T133,Billy Andrade,24,21
134,T133,T133,Chris DiMarco,29,21
135,T133,T133,Robert Gamez,26,21
136,T133,T133,Kent Jones,23,21
137,T133,T133,Jeff Maggert,28,21
138,T133,T133,Jim McGovern,26,21
139,T133,T133,Rocco Mediate,27,21
140,T133,T133,Ryan Moore,24,21
141,T133,T133,Geoff Ogilvy,20,21
142,T133,T133,Rod Pampling,28,21
143,T133,T133,Brenden Pappas,24,21
144,T145,T145,Ryan Armour,32,20
145,T145,T145,Justin Bolli,28,20
146,T145,T145,Alex Cejka,25,20
147,T145,T145,John Huston,18,20
148,T145,T145,Freddie Jacobson,24,20
149,T145,T145,Craig Kanada,23,20
150,T145,T145,Greg Kraft,21,20
151,T145,T145,Doug LaBelle II,22,20
152,T145,T145,Steve Lowery,25,20
153,T145,T145,Johnson Wagner,26,20
154,T155,T155,Carlos Franco,25,19
155,T155,T155,Padraig Harrington,15,19
156,T155,T155,Scott McCarron,22,19
157,T155,T155,Jin Park,30,19
158,T159,T159,Olin Browne,27,18
159,T159,T159,Fred Couples,18,18
160,T159,T159,Paul Goydos,25,18
161,T159,T159,Richard Johnson,29,18
162,T159,T159,Chris Riley,17,18
163,T159,T159,Brett Rumford,26,18
164,T159,T159,Bob Sowards,22,18
165,T159,T159,Kyle Thompson,26,18
166,T167,T167,Jason Allred,23,17
167,T167,T167,Jason Dufner,16,17
168,T169,T169,Mark Calcavecchia,25,16
169,T169,T169,Alejandro Cañizares,16,16
170,T169,T169,Marco Dawson,21,16
171,T169,T169,Kenneth Ferrie,25,16
172,T169,T169,Trevor Immelman,22,16
173,T169,T169,Will MacKenzie,21,16
174,T169,T169,Ted Purdy,25,16
175,T169,T169,Andres Romero,20,16
176,T169,T169,Tom Scherrer,20,16
177,T169,T169,Adam Scott,15,16
178,T179,T179,Ernie Els,16,15
179,T179,T179,Tommy Gainey,24,15
180,T179,T179,Retief Goosen,18,15
181,T182,T182,Tom Byrum,12,14
182,T182,T182,Paul Casey,16,14
183,T182,T182,Paul Claxton,23,14
184,T182,T182,Gavin Coles,16,14
185,T182,T182,J.P. Hayes,26,14
186,T182,T182,Richard Johnson,21,14
187,T182,T182,Shigeki Maruyama,18,14
188,T189,T189,Andrew Buckle,15,13
189,T189,T189,Fred Funk,14,13
190,T189,T189,Bob Heintz,17,13
191,T189,T189,David Lutterus,23,13
192,T189,T189,Ron Whittaker,22,13
193,T194,T194,Michael Bradley,14,12
194,T194,T194,Ángel Cabrera,17,12
195,T194,T194,José Coceres,13,12
196,T197,T197,Jason Bohn,15,11
197,T197,T197,Jeff Gove,18,11
198,T197,T197,Larry Mize,16,11
199,T197,T197,Tiger Woods,6,11
200,T201,T201,Mark Brooks,17,10
201,T201,T201,Brandt Jobe,19,10
202,T201,T201,Tom Lehman,17,10
203,T201,T201,Ian Poulter,15,10
204,T201,T201,Paul Stankowski,13,10
205,T206,T206,Luke Donald,11,9
