,First_Tee_Late_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_1_Scoring_Average_AVG,First_Tee_Late_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Nick Watney,67.33,202,3
1,2,2,Cameron Beckman,68.0,204,3
2,3,3,Vaughn Taylor,68.67,412,6
3,4,4,Tag Ridings,69.11,622,9
4,T5,T5,Kent Jones,69.17,415,6
5,T5,T5,Anthony Kim,69.17,415,6
6,7,7,Daniel Chopra,69.25,277,4
7,8,8,Phil Mickelson,69.29,485,7
8,9,9,Richard Johnson,69.4,347,5
9,10,10,Lucas Glover,69.44,625,9
10,T11,T11,Gavin Coles,69.5,278,4
11,T11,T11,Bo Van Pelt,69.5,556,8
12,13,13,Nick O'Hern,69.67,209,3
13,T14,T14,Steve Allan,69.71,488,7
14,T14,T14,Briny Baird,69.71,488,7
15,T16,T16,Cliff Kresge,69.75,279,4
16,T16,T16,Geoff Ogilvy,69.75,279,4
17,18,18,Heath Slocum,69.79,977,14
18,T19,T19,Brad Adamonis,70.0,350,5
19,T19,T19,Michael Allen,70.0,490,7
20,T19,T19,Robert Allenby,70.0,630,9
21,T19,T19,Rich Beem,70.0,210,3
22,T19,T19,Craig Kanada,70.0,350,5
23,T19,T19,Will MacKenzie,70.0,350,5
24,T19,T19,Pat Perez,70.0,210,3
25,26,26,Parker McLachlin,70.11,631,9
26,27,27,Charles Howell III,70.14,491,7
27,T28,T28,J.P. Hayes,70.25,281,4
28,T28,T28,John Riegger,70.25,281,4
29,30,30,Brian Davis,70.27,773,11
30,T31,T31,John Huston,70.33,422,6
31,T31,T31,Kevin Streelman,70.33,211,3
32,T33,T33,Justin Leonard,70.4,352,5
33,T33,T33,Marc Turnesa,70.4,352,5
34,T35,T35,Olin Browne,70.43,493,7
35,T35,T35,Glen Day,70.43,493,7
36,T35,T35,Bob Estes,70.43,493,7
37,38,38,Kevin Sutherland,70.45,775,11
38,T39,T39,Stephen Ames,70.5,846,12
39,T39,T39,Dudley Hart,70.5,423,6
40,T39,T39,George McNeill,70.5,282,4
41,T39,T39,Tim Wilkinson,70.5,564,8
42,43,43,Vijay Singh,70.56,635,9
43,T44,T44,Jason Allred,70.6,353,5
44,T44,T44,Justin Bolli,70.6,353,5
45,T44,T44,Harrison Frazar,70.6,353,5
46,T47,T47,Lee Janzen,70.67,636,9
47,T47,T47,Davis Love III,70.67,212,3
48,T47,T47,Y.E. Yang,70.67,636,9
49,50,50,Scott Verplank,70.71,495,7
50,T51,T51,Brian Gay,70.73,778,11
51,T51,T51,Zach Johnson,70.73,778,11
52,T53,T53,Joe Ogilvie,70.75,566,8
53,T53,T53,Tim Petrovic,70.75,566,8
54,55,55,Omar Uresti,70.78,637,9
55,56,56,Jim Furyk,70.82,779,11
56,T57,T57,Robert Gamez,70.83,425,6
57,T57,T57,Bob Sowards,70.83,425,6
58,59,59,Tom Pernice Jr.,70.86,496,7
59,60,60,Freddie Jacobson,70.88,567,8
60,61,61,Scott McCarron,70.89,638,9
61,62,62,Dean Wilson,70.9,709,10
62,T63,T63,Tommy Armour III,71.0,355,5
63,T63,T63,Bart Bryant,71.0,568,8
64,T63,T63,Ben Crane,71.0,355,5
65,T63,T63,Jason Day,71.0,639,9
66,T63,T63,James Driscoll,71.0,355,5
67,T63,T63,Stephen Leaney,71.0,355,5
68,T63,T63,Hunter Mahan,71.0,213,3
69,T63,T63,Ryan Palmer,71.0,497,7
70,T63,T63,Rod Pampling,71.0,568,8
71,T63,T63,Rory Sabbatini,71.0,568,8
72,T63,T63,Mike Weir,71.0,568,8
73,T63,T63,Charlie Wi,71.0,213,3
74,T75,T75,Scott Sterling,71.11,640,9
75,T75,T75,Camilo Villegas,71.11,640,9
76,T77,T77,Nathan Green,71.14,498,7
77,T77,T77,Charley Hoffman,71.14,498,7
78,T79,T79,Paul Claxton,71.2,356,5
79,T79,T79,Bill Haas,71.2,712,10
80,T79,T79,Tim Herron,71.2,356,5
81,T79,T79,Andres Romero,71.2,356,5
82,T79,T79,Kevin Stadler,71.2,712,10
83,84,84,Mark Wilson,71.22,641,9
84,T85,T85,Eric Axley,71.25,570,8
85,T85,T85,Kevin Na,71.25,285,4
86,T85,T85,Corey Pavin,71.25,285,4
87,T88,T88,Ryan Moore,71.29,499,7
88,T88,T88,D.J. Trahan,71.29,499,7
89,90,90,Frank Lickliter II,71.3,713,10
90,T91,T91,Todd Demsey,71.33,428,6
91,T91,T91,Nick Flanagan,71.33,642,9
92,T91,T91,David Toms,71.33,428,6
93,T91,T91,Jay Williamson,71.33,642,9
94,95,95,Peter Lonard,71.36,785,11
95,96,96,Jesper Parnevik,71.38,571,8
96,97,97,Chris Stroud,71.4,357,5
97,T98,T98,Billy Andrade,71.43,500,7
98,T98,T98,Steve Flesch,71.43,500,7
99,T98,T98,Brett Rumford,71.43,500,7
100,101,101,Steve Elkington,71.44,643,9
101,T102,T102,Greg Kraft,71.5,286,4
102,T102,T102,Travis Perkins,71.5,286,4
103,T102,T102,Brett Quigley,71.5,286,4
104,T102,T102,John Senden,71.5,572,8
105,T102,T102,Brandt Snedeker,71.5,572,8
106,T107,T107,Jason Gore,71.55,787,11
107,T107,T107,Billy Mayfair,71.55,787,11
108,T109,T109,Todd Hamilton,71.57,501,7
109,T109,T109,Carl Pettersson,71.57,501,7
110,T111,T111,Chad Collins,71.6,358,5
111,T111,T111,Jim McGovern,71.6,358,5
112,113,113,Aaron Baddeley,71.63,573,8
113,114,114,Bob Tway,71.67,430,6
114,115,115,Ken Duke,71.71,502,7
115,116,116,Sean O'Hair,71.78,646,9
116,T117,T117,Alejandro Cañizares,71.8,359,5
117,T117,T117,Kenneth Ferrie,71.8,359,5
118,T119,T119,Jonathan Byrd,71.83,431,6
119,T119,T119,Ernie Els,71.83,431,6
120,121,121,Kyle Thompson,71.86,503,7
121,122,122,Patrick Sheehan,71.89,647,9
122,123,123,Bubba Watson,71.93,1079,15
123,T124,T124,Stuart Appleby,72.0,288,4
124,T124,T124,Tim Clark,72.0,648,9
125,T124,T124,Marco Dawson,72.0,72,1
126,T124,T124,Carlos Franco,72.0,144,2
127,T124,T124,J.B. Holmes,72.0,576,8
128,T124,T124,Brandt Jobe,72.0,360,5
129,T124,T124,Shigeki Maruyama,72.0,360,5
130,T124,T124,Nicholas Thompson,72.0,720,10
131,T124,T124,Ron Whittaker,72.0,432,6
132,133,133,Matt Kuchar,72.11,649,9
133,134,134,John Merrick,72.13,577,8
134,T135,T135,Shane Bertsch,72.25,578,8
135,T135,T135,Cody Freeman,72.25,578,8
136,T135,T135,Dustin Johnson,72.25,289,4
137,T135,T135,Brenden Pappas,72.25,289,4
138,T139,T139,Alex Cejka,72.33,651,9
139,T139,T139,Joe Durant,72.33,217,3
140,T139,T139,Jeff Maggert,72.33,434,6
141,T139,T139,Jeff Overton,72.33,434,6
142,143,143,Steve Marino,72.4,362,5
143,144,144,J.J. Henry,72.44,652,9
144,T145,T145,Stewart Cink,72.5,580,8
145,T145,T145,Sergio Garcia,72.5,435,6
146,T145,T145,Rocco Mediate,72.5,435,6
147,T145,T145,John Rollins,72.5,580,8
148,T149,T149,Trevor Immelman,72.56,653,9
149,T149,T149,Michael Letzig,72.56,653,9
150,151,151,Jerry Kelly,72.57,508,7
151,T152,T152,K.J. Choi,72.6,726,10
152,T152,T152,Brad Elder,72.6,363,5
153,T152,T152,Jeff Gove,72.6,363,5
154,T152,T152,Troy Matteson,72.6,726,10
155,T152,T152,Chez Reavie,72.6,363,5
156,157,157,Tom Scherrer,72.63,581,8
157,T158,T158,Paul Casey,72.67,436,6
158,T158,T158,Retief Goosen,72.67,436,6
159,T160,T160,Padraig Harrington,72.75,291,4
160,T160,T160,Steve Lowery,72.75,291,4
161,162,162,Ben Curtis,72.78,655,9
162,163,163,Martin Laird,72.8,364,5
163,164,164,Ted Purdy,72.83,437,6
164,165,165,Jon Mills,72.88,583,8
165,166,166,Ryan Armour,72.9,729,10
166,T167,T167,Mark Calcavecchia,73.0,365,5
167,T167,T167,Matt Jones,73.0,730,10
168,T167,T167,John Mallinger,73.0,365,5
169,T167,T167,Adam Scott,73.0,438,6
170,171,171,Boo Weekley,73.2,366,5
171,T172,T172,Chris DiMarco,73.25,293,4
172,T172,T172,Steve Stricker,73.25,586,8
173,T172,T172,Charles Warren,73.25,293,4
174,175,175,Mathias Grönberg,73.29,513,7
175,T176,T176,Chad Campbell,73.33,220,3
176,T176,T176,Jin Park,73.33,660,9
177,T178,T178,Paul Goydos,73.4,367,5
178,T178,T178,Doug LaBelle II,73.4,367,5
179,T180,T180,Robert Garrigus,73.5,588,8
180,T180,T180,Johnson Wagner,73.5,294,4
181,T182,T182,Mathew Goggin,73.6,368,5
182,T182,T182,Richard Johnson,73.6,368,5
183,T182,T182,Jimmy Walker,73.6,368,5
184,185,185,Fred Couples,73.67,221,3
185,T186,T186,Ángel Cabrera,73.83,443,6
186,T186,T186,David Duval,73.83,443,6
187,188,188,Tommy Gainey,73.86,517,7
188,T189,T189,Woody Austin,73.88,591,8
189,T189,T189,Kenny Perry,73.88,591,8
190,191,191,Tom Lehman,74.33,446,6
191,T192,T192,Mark Hensby,74.4,372,5
192,T192,T192,Ryuji Imada,74.4,372,5
193,194,194,Ian Poulter,74.5,149,2
194,195,195,David Lutterus,74.8,374,5
195,196,196,Jeff Quinney,75.0,75,1
196,197,197,Chris Riley,76.33,229,3
