,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,1,Travis Perkins,23,100.0
1,2,2,Padraig Harrington,15,90.91
2,3,3,Cody Freeman,26,80.0
3,4,4,John Senden,28,77.78
4,5,5,Vijay Singh,23,76.47
5,6,6,Carl Pettersson,29,76.0
6,T7,T7,Rod Pampling,28,75.0
7,T7,T7,Ron Whittaker,22,75.0
8,9,9,Ryuji Imada,25,73.33
9,T10,T10,Steve Lowery,25,72.73
10,T10,T10,Heath Slocum,29,72.73
11,T12,T12,Stewart Cink,23,72.22
12,T12,T12,Phil Mickelson,21,72.22
13,T14,T14,Steve Allan,21,71.43
14,T14,T14,Cameron Beckman,29,71.43
15,T14,T14,Jeff Gove,18,71.43
16,T14,T14,Richard Johnson,29,71.43
17,T14,T14,Kevin Stadler,30,71.43
18,19,19,Ken Duke,33,70.83
19,20,20,Steve Flesch,29,70.59
20,21,21,Ernie Els,16,70.0
21,22,22,Justin Leonard,25,69.57
22,23,23,Peter Lonard,30,68.75
23,T24,T24,Stephen Ames,24,66.67
24,T24,T24,K.J. Choi,21,66.67
25,T24,T24,Glen Day,19,66.67
26,T24,T24,Mathias Grönberg,30,66.67
27,T24,T24,Freddie Jacobson,24,66.67
28,T24,T24,Ryan Palmer,22,66.67
29,T24,T24,Brett Rumford,26,66.67
30,T24,T24,Steve Stricker,22,66.67
31,T24,T24,Dean Wilson,32,66.67
32,33,33,Nicholas Thompson,36,65.0
33,T34,T34,Nathan Green,30,64.71
34,T34,T34,Hunter Mahan,27,64.71
35,36,36,Andres Romero,20,64.29
36,T37,T37,Paul Casey,16,63.64
37,T37,T37,Alex Cejka,25,63.64
38,T37,T37,Chad Collins,24,63.64
39,T37,T37,Ryan Moore,24,63.64
40,T41,T41,Lucas Glover,26,63.16
41,T41,T41,Joe Ogilvie,29,63.16
42,T41,T41,D.J. Trahan,27,63.16
43,T44,T44,Davis Love III,23,62.5
44,T44,T44,Scott McCarron,22,62.5
45,T46,T46,Robert Allenby,28,61.54
46,T46,T46,Harrison Frazar,23,61.54
47,T46,T46,Trevor Immelman,22,61.54
48,T49,T49,Anthony Kim,22,61.11
49,T49,T49,Camilo Villegas,22,61.11
50,T51,T51,Aaron Baddeley,22,60.0
51,T51,T51,Brian Gay,31,60.0
52,T51,T51,Sean O'Hair,25,60.0
53,T51,T51,Pat Perez,27,60.0
54,T51,T51,Brett Quigley,25,60.0
55,T51,T51,Adam Scott,15,60.0
56,T51,T51,Scott Sterling,28,60.0
57,T58,T58,Sergio Garcia,19,58.82
58,T58,T58,Tim Wilkinson,29,58.82
59,T60,T60,Fred Couples,18,58.33
60,T60,T60,Retief Goosen,18,58.33
61,T60,T60,Mark Wilson,29,58.33
62,T63,T63,Shane Bertsch,29,57.89
63,T63,T63,Chad Campbell,28,57.89
64,T63,T63,J.J. Henry,34,57.89
65,T63,T63,Kevin Na,29,57.89
66,T63,T63,Mike Weir,26,57.89
67,T68,T68,James Driscoll,28,57.14
68,T68,T68,J.P. Hayes,26,57.14
69,T68,T68,Jerry Kelly,31,57.14
70,T68,T68,Tag Ridings,29,57.14
71,T68,T68,Johnson Wagner,26,57.14
72,T73,T73,Charley Hoffman,29,56.25
73,T73,T73,Nick O'Hern,26,56.25
74,T73,T73,Jeff Quinney,28,56.25
75,T76,T76,Ben Crane,25,55.56
76,T76,T76,Ben Curtis,22,55.56
77,T76,T76,Brad Elder,23,55.56
78,T76,T76,Richard Johnson,21,55.56
79,T76,T76,Steve Marino,32,55.56
80,T76,T76,Chris Riley,17,55.56
81,T76,T76,John Rollins,28,55.56
82,T83,T83,Stuart Appleby,23,55.0
83,T83,T83,Brian Davis,34,55.0
84,T83,T83,John Mallinger,29,55.0
85,T86,T86,Kent Jones,23,54.55
86,T86,T86,Ian Poulter,15,54.55
87,T88,T88,Tommy Armour III,25,53.85
88,T88,T88,Geoff Ogilvy,20,53.85
89,T88,T88,Marc Turnesa,29,53.85
90,91,91,David Toms,20,53.33
91,T92,T92,Steve Elkington,25,52.94
92,T92,T92,Robert Garrigus,29,52.94
93,T92,T92,Parker McLachlin,27,52.94
94,T92,T92,Brandt Snedeker,26,52.94
95,T92,T92,Scott Verplank,24,52.94
96,T97,T97,Eric Axley,35,52.63
97,T97,T97,Charles Howell III,31,52.63
98,T97,T97,George McNeill,29,52.63
99,T97,T97,John Merrick,28,52.63
100,T97,T97,Bo Van Pelt,32,52.63
101,T97,T97,Bubba Watson,29,52.63
102,T103,T103,Billy Mayfair,29,52.38
103,T103,T103,Nick Watney,27,52.38
104,105,105,Woody Austin,30,52.17
105,T106,T106,Michael Allen,28,50.0
106,T106,T106,Ryan Armour,32,50.0
107,T106,T106,Jonathan Byrd,27,50.0
108,T106,T106,Alejandro Cañizares,16,50.0
109,T106,T106,Jason Day,28,50.0
110,T106,T106,Carlos Franco,25,50.0
111,T106,T106,Jim Furyk,26,50.0
112,T106,T106,Robert Gamez,26,50.0
113,T106,T106,Mathew Goggin,27,50.0
114,T106,T106,Lee Janzen,28,50.0
115,T106,T106,Zach Johnson,25,50.0
116,T106,T106,Greg Kraft,21,50.0
