,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Brian Gay,31,2.3,235,102
1,2,2,Tim Wilkinson,29,2.35,223,95
2,T3,T3,Gavin Coles,16,2.39,129,54
3,T3,T3,Steve Marino,32,2.39,284,119
4,5,5,Mike Weir,26,2.41,210,87
5,T6,T6,Briny Baird,30,2.42,273,113
6,T6,T6,Justin Leonard,25,2.42,230,95
7,8,8,Ben Crane,25,2.43,209,86
8,9,9,Charlie Wi,27,2.44,237,97
9,T10,T10,Steve Stricker,22,2.47,178,72
10,T10,T10,Kevin Sutherland,26,2.47,242,98
11,T12,T12,Matt Kuchar,27,2.49,219,88
12,T12,T12,Chris Riley,17,2.49,127,51
13,T12,T12,Mark Wilson,29,2.49,266,107
14,15,15,Brad Elder,23,2.52,169,67
15,T16,T16,Jim Furyk,26,2.55,240,94
16,T16,T16,Zach Johnson,25,2.55,214,84
17,T16,T16,Scott Sterling,28,2.55,227,89
18,T19,T19,Shane Bertsch,29,2.56,246,96
19,T19,T19,Steve Elkington,25,2.56,215,84
20,T19,T19,Bob Estes,28,2.56,230,90
21,T19,T19,Mathew Goggin,27,2.56,233,91
22,T19,T19,Bill Haas,31,2.56,253,99
23,T19,T19,Bob Tway,20,2.56,179,70
24,25,25,Billy Mayfair,29,2.57,265,103
25,T26,T26,Glen Day,19,2.58,165,64
26,T26,T26,Brenden Pappas,24,2.58,170,66
27,T28,T28,Charley Hoffman,29,2.6,244,94
28,T28,T28,Patrick Sheehan,35,2.6,322,124
29,T28,T28,Vijay Singh,23,2.6,203,78
30,31,31,Nick Watney,27,2.61,251,96
31,T32,T32,Robert Allenby,28,2.63,281,107
32,T32,T32,Craig Kanada,23,2.63,171,65
33,T32,T32,Phil Mickelson,21,2.63,205,78
34,T32,T32,Chez Reavie,30,2.63,268,102
35,T36,T36,Ben Curtis,22,2.64,211,80
36,T36,T36,Jason Gore,33,2.64,248,94
37,T36,T36,John Huston,18,2.64,148,56
38,T36,T36,Jerry Kelly,31,2.64,232,88
39,T36,T36,Nick O'Hern,26,2.64,211,80
40,T36,T36,Tom Pernice Jr.,30,2.64,275,104
41,T36,T36,Marc Turnesa,29,2.64,230,87
42,43,43,Kevin Streelman,32,2.65,302,114
43,T44,T44,Brian Davis,34,2.66,287,108
44,T44,T44,Tim Herron,28,2.66,258,97
45,T44,T44,John Riegger,24,2.66,194,73
46,T47,T47,Steve Allan,21,2.67,155,58
47,T47,T47,Nathan Green,30,2.67,254,95
48,T47,T47,Frank Lickliter II,32,2.67,286,107
49,T47,T47,Kevin Na,29,2.67,259,97
50,T51,T51,Dudley Hart,22,2.68,198,74
51,T51,T51,Ryan Palmer,22,2.68,185,69
52,T53,T53,Anthony Kim,22,2.69,218,81
53,T53,T53,Hunter Mahan,27,2.69,229,85
54,T53,T53,Heath Slocum,29,2.69,280,104
55,T53,T53,Omar Uresti,24,2.69,199,74
56,T57,T57,Eric Axley,35,2.7,305,113
57,T57,T57,Stewart Cink,23,2.7,219,81
58,T57,T57,Fred Couples,18,2.7,162,60
59,T57,T57,Jason Day,28,2.7,219,81
60,T57,T57,Ken Duke,33,2.7,313,116
61,T57,T57,J.J. Henry,34,2.7,292,108
62,T57,T57,Geoff Ogilvy,20,2.7,173,64
63,T64,T64,Stephen Ames,24,2.71,222,82
64,T64,T64,Cameron Beckman,29,2.71,236,87
65,T64,T64,Sergio Garcia,19,2.71,190,70
66,T64,T64,Kent Jones,23,2.71,184,68
67,T64,T64,Joe Ogilvie,29,2.71,271,100
68,T69,T69,Doug LaBelle II,22,2.72,177,65
69,T69,T69,John Merrick,28,2.72,267,98
70,71,71,Bo Van Pelt,32,2.73,276,101
71,T72,T72,Jonathan Byrd,27,2.74,233,85
72,T72,T72,Shigeki Maruyama,18,2.74,137,50
73,T72,T72,Parker McLachlin,27,2.74,241,88
74,T75,T75,Todd Demsey,25,2.75,220,80
75,T75,T75,John Senden,28,2.75,253,92
76,T75,T75,Dean Wilson,32,2.75,300,109
77,T78,T78,Michael Allen,28,2.76,251,91
78,T78,T78,Steve Flesch,29,2.76,262,95
79,T78,T78,Ryuji Imada,25,2.76,221,80
80,T78,T78,Ted Purdy,25,2.76,188,68
81,T82,T82,Lucas Glover,26,2.77,252,91
82,T82,T82,Charles Howell III,31,2.77,274,99
83,T82,T82,Kenny Perry,26,2.77,269,97
84,T82,T82,Vaughn Taylor,32,2.77,285,103
85,T86,T86,Harrison Frazar,23,2.78,203,73
86,T86,T86,Jeff Gove,18,2.78,139,50
87,T86,T86,Ryan Moore,24,2.78,200,72
88,T89,T89,Aaron Baddeley,22,2.79,204,73
89,T89,T89,Stephen Leaney,17,2.79,148,53
90,T89,T89,Scott McCarron,22,2.79,176,63
91,T89,T89,Jeff Quinney,28,2.79,243,87
92,T93,T93,Corey Pavin,20,2.8,193,69
93,T93,T93,Carl Pettersson,29,2.8,308,110
94,T93,T93,Brett Quigley,25,2.8,224,80
95,T93,T93,Scott Verplank,24,2.8,227,81
96,T97,T97,K.J. Choi,21,2.81,197,70
97,T97,T97,Jin Park,30,2.81,239,85
98,T97,T97,Tim Petrovic,32,2.81,273,97
99,T100,T100,Woody Austin,30,2.82,296,105
100,T100,T100,Carlos Franco,25,2.82,206,73
101,T100,T100,Martin Laird,29,2.82,276,98
102,T100,T100,Will MacKenzie,21,2.82,175,62
103,T104,T104,Brad Adamonis,29,2.83,246,87
104,T104,T104,Bart Bryant,23,2.83,229,81
105,T104,T104,Daniel Chopra,27,2.83,235,83
106,T104,T104,John Rollins,28,2.83,266,94
107,T108,T108,Olin Browne,27,2.84,219,77
108,T108,T108,Tom Scherrer,20,2.84,159,56
109,T108,T108,Y.E. Yang,29,2.84,253,89
110,T111,T111,Alejandro Cañizares,16,2.85,148,52
111,T111,T111,Kenneth Ferrie,25,2.85,205,72
112,T111,T111,Cliff Kresge,28,2.85,239,84
113,T114,T114,Padraig Harrington,15,2.86,143,50
114,T114,T114,Jeff Maggert,28,2.86,246,86
115,T114,T114,Pat Perez,27,2.86,263,92
116,T117,T117,Freddie Jacobson,24,2.87,224,78
117,T117,T117,Boo Weekley,24,2.87,238,83
118,T119,T119,Tommy Armour III,25,2.88,222,77
119,T119,T119,Rory Sabbatini,23,2.88,219,76
120,T121,T121,Chad Campbell,28,2.89,272,94
121,T121,T121,Jim McGovern,26,2.89,217,75
122,T121,T121,Jesper Parnevik,29,2.89,254,88
123,T121,T121,Kevin Stadler,30,2.89,260,90
124,T121,T121,Chris Stroud,29,2.89,234,81
125,T121,T121,D.J. Trahan,27,2.89,272,94
126,T127,T127,Chad Collins,24,2.9,209,72
127,T127,T127,Brandt Jobe,19,2.9,151,52
128,T127,T127,Richard Johnson,21,2.9,174,60
129,T127,T127,Michael Letzig,29,2.9,255,88
130,T127,T127,Troy Matteson,30,2.9,273,94
131,T132,T132,Ryan Armour,32,2.91,253,87
132,T132,T132,James Driscoll,28,2.91,247,85
133,T134,T134,Tim Clark,27,2.92,260,89
134,T134,T134,Joe Durant,28,2.92,269,92
135,T134,T134,Robert Garrigus,29,2.92,263,90
136,T134,T134,Brandt Snedeker,26,2.92,245,84
137,T134,T134,Bubba Watson,29,2.92,283,97
138,T139,T139,Stuart Appleby,23,2.93,246,84
139,T139,T139,John Mallinger,29,2.93,278,95
140,T141,T141,Paul Goydos,25,2.94,229,78
141,T141,T141,Jon Mills,32,2.94,279,95
