,First_Tee_Late_Round_5_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_5_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_5_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_5_Scoring_Average_AVG,First_Tee_Late_Round_5_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_5_Scoring_Average_TOTAL ROUNDS
0,T1,T1,Chez Reavie,65.0,65,1
1,T1,T1,D.J. Trahan,65.0,65,1
2,3,3,Ryan Moore,66.0,66,1
3,T4,T4,Steve Elkington,69.0,69,1
4,T4,T4,Bill Haas,69.0,69,1
5,T4,T4,Anthony Kim,69.0,69,1
6,T4,T4,Kenny Perry,69.0,69,1
7,T8,T8,Ryuji Imada,70.0,70,1
8,T8,T8,John Merrick,70.0,70,1
9,T8,T8,Brett Rumford,70.0,70,1
10,T8,T8,Nicholas Thompson,70.0,70,1
11,T12,T12,Ben Crane,71.0,71,1
12,T12,T12,Dustin Johnson,71.0,71,1
13,T12,T12,Scott Verplank,71.0,71,1
14,T12,T12,Boo Weekley,71.0,71,1
15,T16,T16,Shane Bertsch,72.0,72,1
16,T16,T16,Justin Leonard,72.0,72,1
17,18,18,Robert Gamez,74.0,74,1
