,Tenth_Tee_Late_Par_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_5_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_5_Scoring_Average_AVG,Tenth_Tee_Late_Par_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Rory Sabbatini,77,4.39,123,28
1,2,2,Camilo Villegas,79,4.41,97,22
2,3,3,Steve Marino,119,4.43,288,65
3,4,4,J.B. Holmes,86,4.44,142,32
4,5,5,Craig Kanada,65,4.45,196,44
5,T6,T6,Tim Clark,90,4.46,156,35
6,T6,T6,Fred Couples,60,4.46,205,46
7,8,8,Stewart Cink,87,4.48,103,23
8,9,9,Bob Tway,70,4.49,157,35
9,T10,T10,Geoff Ogilvy,65,4.5,81,18
10,T10,T10,Nick Watney,96,4.5,297,66
11,12,12,Johnson Wagner,83,4.51,248,55
12,T13,T13,Stephen Ames,83,4.52,113,25
13,T13,T13,Robert Garrigus,90,4.52,208,46
14,15,15,Martin Laird,98,4.53,358,79
15,T16,T16,Matt Jones,95,4.55,173,38
16,T16,T16,John Merrick,98,4.55,305,67
17,T16,T16,Kenny Perry,97,4.55,150,33
18,T16,T16,Chris Riley,51,4.55,173,38
19,T20,T20,Tommy Armour III,77,4.56,187,41
20,T20,T20,John Riegger,73,4.56,251,55
21,22,22,Kevin Sutherland,98,4.57,160,35
22,T23,T23,Ryan Armour,87,4.58,243,53
23,T23,T23,Kent Jones,68,4.58,206,45
24,T23,T23,Andres Romero,69,4.58,183,40
25,T26,T26,Bart Bryant,81,4.59,202,44
26,T26,T26,Bill Haas,99,4.59,188,41
27,T26,T26,Anthony Kim,81,4.59,179,39
28,T26,T26,Kevin Na,97,4.59,303,66
29,T30,T30,Bob Estes,90,4.6,290,63
30,T30,T30,Jim Furyk,95,4.6,46,10
31,T30,T30,Mathias Grönberg,87,4.6,299,65
32,T30,T30,Bob Sowards,61,4.6,193,42
33,T34,T34,Ben Crane,86,4.61,272,59
34,T34,T34,Tim Petrovic,97,4.61,249,54
35,T36,T36,Dustin Johnson,92,4.62,328,71
36,T36,T36,Michael Letzig,88,4.62,314,68
37,T36,T36,Brenden Pappas,66,4.62,240,52
38,T36,T36,Pat Perez,93,4.62,180,39
39,T36,T36,John Senden,93,4.62,254,55
40,T36,T36,Scott Sterling,89,4.62,245,53
41,T36,T36,Scott Verplank,82,4.62,120,26
42,T36,T36,Ron Whittaker,54,4.62,268,58
43,T44,T44,Frank Lickliter II,107,4.63,301,65
44,T44,T44,Rocco Mediate,87,4.63,227,49
45,T44,T44,Brett Rumford,72,4.63,259,56
46,T47,T47,Brad Elder,67,4.64,167,36
47,T47,T47,Lucas Glover,91,4.64,232,50
48,T47,T47,Rod Pampling,83,4.64,167,36
49,T50,T50,Mathew Goggin,91,4.65,223,48
50,T50,T50,Paul Goydos,78,4.65,214,46
51,T50,T50,John Huston,56,4.65,144,31
52,T50,T50,Peter Lonard,92,4.65,186,40
53,T50,T50,Jeff Overton,103,4.65,335,72
54,T50,T50,Kevin Streelman,114,4.65,377,81
55,T56,T56,Brian Davis,108,4.66,326,70
56,T56,T56,Stephen Leaney,53,4.66,135,29
57,T58,T58,K.J. Choi,74,4.67,84,18
58,T58,T58,Chris DiMarco,87,4.67,369,79
59,T58,T58,Brian Gay,102,4.67,154,33
60,T58,T58,Charles Howell III,101,4.67,322,69
61,T58,T58,Matt Kuchar,88,4.67,215,46
62,T58,T58,Davis Love III,78,4.67,224,48
63,T58,T58,George McNeill,97,4.67,299,64
64,T58,T58,Vijay Singh,82,4.67,98,21
65,T58,T58,David Toms,70,4.67,112,24
66,T67,T67,Robert Allenby,108,4.68,192,41
67,T67,T67,Cameron Beckman,87,4.68,356,76
68,T67,T67,Harrison Frazar,73,4.68,290,62
69,T67,T67,Todd Hamilton,92,4.68,267,57
70,T67,T67,Brandt Jobe,52,4.68,145,31
71,T67,T67,Jerry Kelly,89,4.68,295,63
72,T67,T67,Troy Matteson,94,4.68,173,37
73,T67,T67,Billy Mayfair,103,4.68,234,50
74,T67,T67,Chris Stroud,81,4.68,309,66
