,Back_9_Par_5_Scoring_Average_RANK THIS WEEK,Back_9_Par_5_Scoring_Average_RANK LAST WEEK,Back_9_Par_5_Scoring_Average_PLAYER NAME,Back_9_Par_5_Scoring_Average_ROUNDS,Back_9_Par_5_Scoring_Average_AVG,Back_9_Par_5_Scoring_Average_TOTAL STROKES,Back_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Vijay Singh,82,4.51,546,121
1,T2,T2,Sergio Garcia,72,4.54,472,104
2,T2,T2,Martin Laird,98,4.54,727,160
3,T4,T4,Robert Garrigus,90,4.56,680,149
4,T4,T4,Bubba Watson,97,4.56,707,155
5,T6,T6,Bill Haas,99,4.57,754,165
6,T6,T6,Kevin Sutherland,98,4.57,713,156
7,T6,T6,Camilo Villegas,79,4.57,548,120
8,T9,T9,Chad Campbell,94,4.58,669,146
9,T9,T9,Fred Couples,60,4.58,499,109
10,11,11,Mathew Goggin,91,4.59,680,148
11,T12,T12,Todd Demsey,80,4.6,617,134
12,T12,T12,Phil Mickelson,80,4.6,598,130
13,T12,T12,Pat Perez,93,4.6,694,151
14,T12,T12,Nick Watney,96,4.6,777,169
15,T16,T16,Brian Davis,108,4.61,811,176
16,T16,T16,Steve Marino,119,4.61,863,187
17,T16,T16,David Toms,70,4.61,470,102
18,T19,T19,Lucas Glover,91,4.62,652,141
19,T19,T19,George McNeill,97,4.62,726,157
20,T19,T19,Brenden Pappas,66,4.62,504,109
21,T22,T22,Ben Crane,86,4.63,630,136
22,T22,T22,Anthony Kim,81,4.63,570,123
23,T22,T22,Doug LaBelle II,65,4.63,477,103
24,T22,T22,Kenny Perry,97,4.63,709,153
25,T22,T22,Adam Scott,51,4.63,375,81
26,T27,T27,Charles Howell III,101,4.64,785,169
27,T27,T27,Justin Leonard,101,4.64,687,148
28,T29,T29,Stuart Appleby,87,4.65,623,134
29,T29,T29,Stewart Cink,87,4.65,637,137
30,T29,T29,Ken Duke,116,4.65,874,188
31,T29,T29,Steve Elkington,84,4.65,655,141
32,T29,T29,Steve Flesch,95,4.65,744,160
33,T29,T29,Carlos Franco,73,4.65,595,128
34,T29,T29,J.B. Holmes,86,4.65,655,141
35,T29,T29,John Merrick,98,4.65,734,158
36,T29,T29,Tag Ridings,88,4.65,688,148
37,T38,T38,Tommy Armour III,77,4.66,564,121
38,T38,T38,Aaron Baddeley,76,4.66,564,121
39,T38,T38,Peter Lonard,92,4.66,648,139
40,T41,T41,Stephen Ames,83,4.67,588,126
41,T41,T41,Brian Gay,102,4.67,714,153
42,T41,T41,Chris Riley,51,4.67,416,89
43,T41,T41,Kevin Streelman,114,4.67,850,182
44,T41,T41,Charlie Wi,97,4.67,719,154
45,T46,T46,Gavin Coles,54,4.68,426,91
46,T46,T46,Ben Curtis,80,4.68,590,126
47,T46,T46,Bob Estes,90,4.68,683,146
48,T46,T46,Nathan Green,95,4.68,758,162
49,T46,T46,Ryuji Imada,80,4.68,632,135
50,T46,T46,Frank Lickliter II,107,4.68,809,173
51,T46,T46,Troy Matteson,94,4.68,763,163
52,T46,T46,Kevin Stadler,90,4.68,716,153
53,T46,T46,Scott Sterling,89,4.68,711,152
54,T46,T46,Bo Van Pelt,101,4.68,763,163
55,T46,T46,Mark Wilson,107,4.68,805,172
56,T57,T57,Eric Axley,113,4.69,891,190
57,T57,T57,Cameron Beckman,87,4.69,708,151
58,T57,T57,Jason Gore,94,4.69,774,165
59,T57,T57,Cliff Kresge,84,4.69,624,133
60,T57,T57,Joe Ogilvie,100,4.69,783,167
61,T57,T57,Andres Romero,69,4.69,502,107
62,T57,T57,Bob Sowards,61,4.69,474,101
