,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,1,1,Chad Campbell,94,16.0
1,2,2,Mathias Grönberg,87,14.0
2,T3,T3,Pat Perez,93,13.0
3,T3,T3,Kevin Streelman,114,13.0
4,T5,T5,Matt Jones,95,12.0
5,T5,T5,Nicholas Thompson,113,12.0
6,T5,T5,Nick Watney,96,12.0
7,T8,T8,Stewart Cink,87,11.0
8,T8,T8,Mathew Goggin,91,11.0
9,T8,T8,Dustin Johnson,92,11.0
10,T8,T8,Martin Laird,98,11.0
11,T8,T8,Charlie Wi,97,11.0
12,T13,T13,Michael Allen,91,10.0
13,T13,T13,Eric Axley,113,10.0
14,T13,T13,Daniel Chopra,84,10.0
15,T13,T13,Steve Flesch,95,10.0
16,T13,T13,Anthony Kim,81,10.0
17,T13,T13,Frank Lickliter II,107,10.0
18,T13,T13,Will MacKenzie,62,10.0
19,T13,T13,Parker McLachlin,88,10.0
20,T13,T13,Kevin Na,97,10.0
21,T13,T13,Sean O'Hair,81,10.0
22,T13,T13,Brenden Pappas,66,10.0
23,T13,T13,Tom Pernice Jr.,104,10.0
24,T13,T13,John Rollins,94,10.0
25,T13,T13,Kevin Stadler,90,10.0
26,T13,T13,Chris Stroud,81,10.0
27,T13,T13,Charles Warren,79,10.0
28,T29,T29,Jason Day,81,9.0
29,T29,T29,Jason Gore,94,9.0
30,T29,T29,George McNeill,97,9.0
31,T29,T29,John Merrick,98,9.0
32,T29,T29,Carl Pettersson,110,9.0
33,T29,T29,John Riegger,73,9.0
34,T29,T29,Bob Sowards,61,9.0
35,T29,T29,Y.E. Yang,89,9.0
36,T37,T37,Robert Allenby,108,8.0
37,T37,T37,Briny Baird,113,8.0
38,T37,T37,Rich Beem,90,8.0
39,T37,T37,Mark Calcavecchia,67,8.0
40,T37,T37,Joe Durant,92,8.0
41,T37,T37,Nick Flanagan,89,8.0
42,T37,T37,Bill Haas,99,8.0
43,T37,T37,Charles Howell III,101,8.0
44,T37,T37,Richard Johnson,77,8.0
45,T37,T37,Matt Kuchar,88,8.0
46,T37,T37,Davis Love III,78,8.0
47,T37,T37,Steve Marino,119,8.0
48,T37,T37,Brett Quigley,80,8.0
49,T37,T37,Tag Ridings,88,8.0
50,T37,T37,Brandt Snedeker,85,8.0
51,T37,T37,D.J. Trahan,94,8.0
52,T37,T37,Bo Van Pelt,101,8.0
53,T37,T37,Bubba Watson,97,8.0
54,T55,T55,Brad Adamonis,87,7.0
55,T55,T55,Aaron Baddeley,76,7.0
56,T55,T55,Justin Bolli,87,7.0
57,T55,T55,Jonathan Byrd,88,7.0
58,T55,T55,Fred Couples,60,7.0
59,T55,T55,Todd Demsey,80,7.0
60,T55,T55,Jim Furyk,95,7.0
61,T55,T55,Robert Garrigus,90,7.0
62,T55,T55,Mark Hensby,71,7.0
63,T55,T55,Charley Hoffman,94,7.0
64,T55,T55,J.B. Holmes,86,7.0
65,T55,T55,Michael Letzig,88,7.0
66,T55,T55,Steve Lowery,74,7.0
67,T55,T55,Hunter Mahan,87,7.0
68,T55,T55,Billy Mayfair,103,7.0
69,T55,T55,Jon Mills,95,7.0
70,T55,T55,Rod Pampling,83,7.0
71,T55,T55,Chez Reavie,102,7.0
72,T55,T55,John Senden,93,7.0
73,T55,T55,Camilo Villegas,79,7.0
74,T55,T55,Jimmy Walker,73,7.0
75,T55,T55,Mike Weir,88,7.0
76,T55,T55,Jay Williamson,96,7.0
77,T78,T78,Steve Allan,58,6.0
78,T78,T78,Ryan Armour,87,6.0
79,T78,T78,Woody Austin,109,6.0
