,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Steve Allan,68.29,478,7
1,2,2,Ron Whittaker,69.0,276,4
2,3,3,Steve Stricker,69.13,1037,15
3,4,4,Bob Tway,69.14,968,14
4,5,5,Padraig Harrington,69.18,761,11
5,6,6,Ryuji Imada,69.4,1041,15
6,7,7,Rod Pampling,69.58,835,12
7,8,8,Hunter Mahan,69.59,1183,17
8,9,9,Peter Lonard,69.81,1117,16
9,T10,T10,Glen Day,70.0,840,12
10,T10,T10,Brenden Pappas,70.0,560,8
11,T12,T12,Chad Campbell,70.11,1332,19
12,T12,T12,John Senden,70.11,1262,18
13,14,14,Richard Johnson,70.14,491,7
14,T15,T15,Chad Collins,70.18,772,11
15,T15,T15,Steve Elkington,70.18,1193,17
16,T15,T15,Kent Jones,70.18,772,11
17,T15,T15,Vijay Singh,70.18,1193,17
18,19,19,Dean Wilson,70.19,1474,21
19,T20,T20,K.J. Choi,70.2,1053,15
20,T20,T20,Tommy Gainey,70.2,351,5
21,T20,T20,Pat Perez,70.2,1404,20
22,23,23,D.J. Trahan,70.21,1334,19
23,24,24,Ryan Palmer,70.25,843,12
24,25,25,Aaron Baddeley,70.27,1054,15
25,T26,T26,Richard Johnson,70.33,633,9
26,T26,T26,Phil Mickelson,70.33,1266,18
27,T28,T28,Michael Letzig,70.36,985,14
28,T28,T28,Steve Lowery,70.36,774,11
29,30,30,Stephen Ames,70.39,1267,18
30,31,31,Jason Day,70.42,845,12
31,32,32,J.P. Hayes,70.43,493,7
32,T33,T33,Mathew Goggin,70.44,1268,18
33,T33,T33,Nick O'Hern,70.44,1127,16
34,35,35,Mark Wilson,70.46,1691,24
35,T36,T36,Shane Bertsch,70.47,1339,19
36,T36,T36,Freddie Jacobson,70.47,1057,15
37,T38,T38,Ben Crane,70.5,1269,18
38,T38,T38,Ernie Els,70.5,705,10
39,T38,T38,Mathias Grönberg,70.5,846,12
40,T38,T38,Jerry Kelly,70.5,987,14
41,42,42,Kevin Sutherland,70.55,1552,22
42,43,43,Martin Laird,70.58,1341,19
43,44,44,Corey Pavin,70.62,918,13
44,45,45,Charles Howell III,70.63,1342,19
45,46,46,Alex Cejka,70.64,777,11
46,T47,T47,Ryan Armour,70.67,848,12
47,T47,T47,Ken Duke,70.67,1696,24
48,T47,T47,Brett Rumford,70.67,636,9
49,T47,T47,Camilo Villegas,70.67,1272,18
50,51,51,George McNeill,70.68,1343,19
