,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,John Cook,26,361
1,2,2,Steve Lowery,32,265
2,3,3,Carl Pettersson,34,207
3,4,4,Daniel Chopra,34,196
4,5,5,Joey Snyder III,31,164
5,6,6,Kevin Stadler,33,162
6,7,7,Vaughn Taylor,32,149
7,8,8,Fred Couples,22,142
8,9,9,Ian Poulter,20,139
9,T10,T10,Heath Slocum,29,134
10,T10,T10,Bob Tway,26,134
11,12,12,Dennis Paulson,24,120
12,13,13,Geoff Ogilvy,26,116
13,14,14,Bob Heintz,24,112
14,15,15,Kevin Sutherland,26,109
15,T16,T16,Chris Anderson,25,108
16,T16,T16,Scott Gutschewski,27,108
17,18,18,D.J. Trahan,28,95
18,T19,T19,Olin Browne,29,88
19,T19,T19,Tom Byrum,27,88
20,T19,T19,Len Mattiace,34,88
21,22,22,Cameron Beckman,31,85
22,23,23,David Toms,25,84
23,24,24,Glen Day,27,83
24,25,25,Jeff Sluman,28,78
25,T26,T26,Bill Glasson,21,75
26,T26,T26,Lucas Glover,28,75
27,T28,T28,Mark Calcavecchia,27,74
28,T28,T28,Neal Lancaster,31,74
29,30,30,Steve Stricker,21,73
30,T31,T31,Bart Bryant,26,72
31,T31,T31,Shaun Micheel,29,72
32,T31,T31,Joey Sindelar,29,72
33,34,34,Kirk Triplett,18,68
34,35,35,Ben Curtis,24,67
35,36,36,Mark Wilson,25,66
36,37,37,José Coceres,22,65
37,38,38,Freddie Jacobson,23,62
38,T39,T39,Tom Lehman,20,60
39,T39,T39,Loren Roberts,18,60
40,41,41,Paul Gow,27,58
41,42,42,Corey Pavin,23,52
42,T43,T43,Woody Austin,30,51
43,T43,T43,Marco Dawson,23,51
44,T43,T43,Todd Hamilton,31,51
45,T43,T43,Andrew Magee,29,51
46,T47,T47,Franklin Langham,31,50
47,T47,T47,Charlie Wi,23,50
48,T49,T49,Jay Haas,16,49
49,T49,T49,Phil Mickelson,21,49
50,51,51,Jeff Brehaut,23,48
51,T52,T52,Danny Briggs,29,45
52,T52,T52,Tim Petrovic,32,45
53,T54,T54,Chris DiMarco,24,44
54,T54,T54,Larry Mize,18,44
55,T56,T56,José María Olazábal,16,43
56,T56,T56,Mario Tiziani,23,43
57,T58,T58,Jim Furyk,26,42
58,T58,T58,Ryan Palmer,32,42
59,T58,T58,Bo Van Pelt,33,42
60,61,61,Brad Faxon,23,41
61,T62,T62,Sergio Garcia,20,39
62,T62,T62,Jesper Parnevik,24,39
63,T64,T64,Paul Azinger,22,38
64,T64,T64,Patrick Sheehan,35,38
65,66,66,Vijay Singh,30,37
