,Consecutive_Fairways_Hit_RANK THIS WEEK,Consecutive_Fairways_Hit_RANK LAST WEEK,Consecutive_Fairways_Hit_PLAYER NAME,Consecutive_Fairways_Hit_EVENTS,Consecutive_Fairways_Hit_BEST STREAK,Consecutive_Fairways_Hit_CURRENT STREAK
0,1,1,Craig Bowden,15,43,
1,T2,T2,John Rollins,30,41,
2,T2,T2,Darron Stiles,26,41,1.0
3,T4,T4,Fred Funk,30,31,2.0
4,T4,T4,Jay Williamson,16,31,
5,6,6,Mark Wilson,25,30,5.0
6,7,7,Guy Boros,5,29,3.0
7,T8,T8,Mark Calcavecchia,27,28,
8,T8,T8,Paul Claxton,29,28,
9,T10,T10,J.P. Hayes,22,27,1.0
10,T10,T10,Kent Jones,32,27,2.0
11,T10,T10,Hidemichi Tanaka,34,27,2.0
12,T13,T13,José Coceres,22,26,3.0
13,T13,T13,Joe Ogilvie,30,26,1.0
14,T13,T13,Vaughn Taylor,32,26,9.0
15,T16,T16,Robert Damron,28,25,5.0
16,T16,T16,Paul Goydos,15,25,
17,T16,T16,Justin Rose,28,25,
18,T19,T19,Bart Bryant,26,24,8.0
19,T19,T19,Skip Kendall,32,24,
20,T19,T19,Tom Lehman,20,24,
21,T19,T19,Billy Mayfair,31,24,
22,T19,T19,Blaine McCallister,9,24,11.0
23,T19,T19,Nick O'Hern,13,24,2.0
24,T19,T19,Vijay Singh,30,24,1.0
25,T19,T19,Roland Thatcher,26,24,
26,T27,T27,Doug Barron,24,23,5.0
27,T27,T27,Scott Gutschewski,27,23,2.0
28,T27,T27,Jeff Hart,23,23,4.0
29,T27,T27,John Huston,31,23,1.0
30,T27,T27,Nick Price,16,23,
31,T27,T27,Scott Verplank,25,23,
32,T33,T33,Joe Durant,25,22,1.0
33,T33,T33,Steve Flesch,30,22,2.0
34,T33,T33,Todd Hamilton,31,22,
35,T33,T33,Spike McRoy,12,22,2.0
36,T33,T33,Kevin Stadler,33,22,
37,T33,T33,Duffy Waldorf,28,22,
38,T33,T33,Charles Warren,31,22,1.0
39,T40,T40,Robert Gamez,28,21,
40,T40,T40,Sergio Garcia,20,21,1.0
41,T40,T40,Graeme McDowell,14,21,1.0
42,T40,T40,Larry Mize,18,21,2.0
43,T40,T40,Rod Pampling,26,21,
44,T40,T40,Chris Riley,25,21,
45,T40,T40,Heath Slocum,29,21,3.0
46,T40,T40,Omar Uresti,27,21,3.0
47,T48,T48,Danny Briggs,29,20,1.0
48,T48,T48,Luke Donald,18,20,2.0
49,T48,T48,Todd Fischer,35,20,1.0
50,T48,T48,Jeff Maggert,25,20,1.0
51,T48,T48,Corey Pavin,23,20,
52,T48,T48,Henrik Stenson,4,20,
53,T54,T54,Stephen Ames,24,19,6.0
54,T54,T54,Justin Bolli,24,19,2.0
55,T54,T54,Olin Browne,29,19,1.0
56,T54,T54,Chad Campbell,27,19,
57,T54,T54,Alex Cejka,31,19,
58,T54,T54,Carlos Franco,25,19,
59,T54,T54,Brian Gay,33,19,
60,T54,T54,Mark Hensby,21,19,
61,T54,T54,Richard Johnson,16,19,1.0
62,T54,T54,J.L. Lewis,30,19,
63,T54,T54,John Maginnes,17,19,17.0
64,T54,T54,Loren Roberts,18,19,
65,T54,T54,Joey Snyder III,31,19,2.0
66,T54,T54,Mario Tiziani,23,19,
67,T54,T54,Dean Wilson,27,19,1.0
68,T69,T69,Billy Andrade,26,18,5.0
69,T69,T69,Woody Austin,30,18,1.0
70,T69,T69,Jason Bohn,28,18,
71,T69,T69,D.J. Brigman,26,18,3.0
72,T69,T69,Daniel Chopra,34,18,
73,T69,T69,Gavin Coles,22,18,2.0
74,T69,T69,Ben Curtis,24,18,1.0
75,T69,T69,Brian Davis,23,18,1.0
76,T69,T69,Mathias Grönberg,19,18,4.0
77,T69,T69,David Hearn,24,18,5.0
78,T69,T69,Jonathan Kaye,24,18,
79,T69,T69,Hank Kuehne,30,18,
80,T69,T69,Stephen Leaney,29,18,
81,T69,T69,Justin Leonard,24,18,
82,T69,T69,Peter Lonard,27,18,2.0
83,T69,T69,Sean O'Hair,29,18,1.0
84,T69,T69,D.A. Points,33,18,
85,T69,T69,Tjaart van der Walt,19,18,
86,T87,T87,Robert Allenby,31,17,
87,T87,T87,Rich Barcelo,3,17,2.0
88,T87,T87,Darren Clarke,12,17,
89,T87,T87,David Edwards,9,17,
90,T87,T87,Dan Forsman,17,17,
