,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,T1,T1,Jason Allred,29,5
1,T1,T1,Briny Baird,33,5
2,T1,T1,Steve Flesch,30,5
3,T1,T1,Robert Gamez,28,5
4,T1,T1,Bill Glasson,21,5
5,T1,T1,Lee Janzen,26,5
6,T1,T1,J.L. Lewis,30,5
7,T1,T1,Chris Smith,32,5
8,T1,T1,Brett Wetterich,28,5
9,T10,T10,Robert Allenby,31,4
10,T10,T10,Billy Andrade,26,4
11,T10,T10,Arjun Atwal,17,4
12,T10,T10,Craig Barlow,26,4
13,T10,T10,Bart Bryant,26,4
14,T10,T10,Paul Claxton,29,4
15,T10,T10,Glen Day,27,4
16,T10,T10,Danny Ellis,7,4
17,T10,T10,Harrison Frazar,31,4
18,T10,T10,Dudley Hart,29,4
19,T10,T10,Matt Hendrix,1,4
20,T10,T10,Brendan Jones,28,4
21,T10,T10,Neal Lancaster,31,4
22,T10,T10,Bernhard Langer,19,4
23,T10,T10,Frank Lickliter II,33,4
24,T10,T10,Len Mattiace,34,4
25,T10,T10,Shaun Micheel,29,4
26,T10,T10,Ryan Palmer,32,4
27,T10,T10,Rod Pampling,26,4
28,T10,T10,Corey Pavin,23,4
29,T10,T10,Craig Perks,27,4
30,T10,T10,Tag Ridings,31,4
31,T10,T10,Rory Sabbatini,26,4
32,T10,T10,Joey Snyder III,31,4
33,T10,T10,Duffy Waldorf,28,4
34,T10,T10,Tiger Woods,21,4
35,T36,T36,Steve Allan,32,3
36,T36,T36,Michael Allen,30,3
37,T36,T36,Aaron Baddeley,27,3
38,T36,T36,Brian Bateman,32,3
39,T36,T36,Jason Bohn,28,3
40,T36,T36,D.J. Brigman,26,3
41,T36,T36,Mark Brooks,28,3
42,T36,T36,Tim Clark,26,3
43,T36,T36,José Coceres,22,3
44,T36,T36,Fred Couples,22,3
45,T36,T36,Ben Crane,21,3
46,T36,T36,Robert Damron,28,3
47,T36,T36,Brian Davis,23,3
