,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
0,1,1,John Cook,26,361,361.0
1,2,2,Stewart Cink,26,351,21.0
2,3,3,Jesper Parnevik,24,276,39.0
3,4,4,Steve Lowery,32,265,265.0
4,5,5,Olin Browne,29,248,88.0
5,6,6,Jason Bohn,28,244,7.0
6,7,7,Duffy Waldorf,28,243,27.0
7,8,8,Bart Bryant,26,241,72.0
8,9,9,Paul Goydos,15,237,74.0
9,10,10,Rod Pampling,26,235,7.0
10,11,11,Chris DiMarco,24,233,44.0
11,12,12,J.P. Hayes,22,232,7.0
12,13,13,Jim Furyk,26,229,42.0
13,14,14,Bo Van Pelt,33,227,42.0
14,15,15,Michael Allen,30,224,4.0
15,16,16,Luke Donald,18,223,17.0
16,17,17,Arjun Atwal,17,221,25.0
17,18,18,Joey Sindelar,29,218,72.0
18,19,19,Doug Barron,24,212,29.0
19,20,20,Jeff Sluman,28,210,78.0
20,21,21,Bob Estes,25,209,9.0
21,22,22,Jeff Brehaut,23,208,48.0
22,23,23,Carl Pettersson,34,207,207.0
23,24,24,Esteban Toledo,7,205,205.0
24,T25,T25,Carlos Franco,25,202,24.0
25,T25,T25,Tom Gillis,28,202,14.0
26,T25,T25,Jeff Hart,23,202,1.0
27,28,28,Brian Bateman,32,201,26.0
28,T29,T29,Jerry Kelly,31,199,13.0
29,T29,T29,Hidemichi Tanaka,34,199,6.0
30,T31,T31,Daniel Chopra,34,196,196.0
31,T31,T31,Brian Gay,33,196,36.0
32,33,33,Brad Faxon,23,195,41.0
33,T34,T34,Todd Fischer,35,190,1.0
34,T34,T34,Ryuji Imada,25,190,17.0
35,T36,T36,Brent Geiberger,21,189,16.0
36,T36,T36,Rob Rashell,25,189,3.0
37,T36,T36,Kirk Triplett,18,189,68.0
38,T36,T36,Tiger Woods,21,189,2.0
39,T40,T40,Ben Crane,21,188,18.0
40,T40,T40,Robert Gamez,28,188,8.0
41,T40,T40,Scott McCarron,24,188,
42,43,43,Kevin Na,32,187,21.0
43,44,44,Bob Tway,26,184,134.0
44,45,45,Corey Pavin,23,183,52.0
45,46,46,Bernhard Langer,19,181,8.0
46,T47,T47,Len Mattiace,34,178,88.0
47,T47,T47,David Toms,25,178,84.0
48,49,49,José María Olazábal,16,177,43.0
49,T50,T50,Todd Hamilton,31,176,51.0
50,T50,T50,D.A. Points,33,176,6.0
51,T52,T52,Hideto Tanihara,20,175,28.0
52,T52,T52,Scott Verplank,25,175,25.0
53,54,54,Robert Damron,28,173,2.0
54,55,55,Dan Forsman,17,172,16.0
55,T56,T56,Justin Bolli,24,171,34.0
56,T56,T56,John Senden,29,171,13.0
57,T56,T56,Patrick Sheehan,35,171,38.0
58,T56,T56,Steve Stricker,21,171,73.0
59,60,60,Paul Gow,27,170,58.0
60,61,61,Brett Quigley,31,168,10.0
61,T62,T62,Matt Gogel,28,166,19.0
62,T62,T62,Vijay Singh,30,166,37.0
63,T64,T64,Steve Jones,20,165,2.0
64,T64,T64,Darron Stiles,26,165,9.0
65,T66,T66,Rich Beem,26,164,5.0
66,T66,T66,Tom Pernice Jr.,32,164,25.0
67,T66,T66,Joey Snyder III,31,164,164.0
68,69,69,Aaron Baddeley,27,163,21.0
69,T70,T70,Paul Azinger,22,162,38.0
70,T70,T70,Zach Johnson,30,162,2.0
71,T70,T70,Kevin Stadler,33,162,162.0
72,T73,T73,Adam Scott,19,161,17.0
73,T73,T73,Chris Smith,32,161,25.0
74,75,75,Harrison Frazar,31,160,35.0
75,76,76,Stephen Ames,24,159,10.0
76,T77,T77,Hunter Haas,28,158,22.0
77,T77,T77,Jonathan Kaye,24,158,19.0
78,T77,T77,Frank Lickliter II,33,158,6.0
79,T80,T80,Billy Andrade,26,157,29.0
80,T80,T80,Roland Thatcher,26,157,1.0
81,82,82,Gavin Coles,22,156,2.0
82,83,83,Shigeki Maruyama,29,155,32.0
83,84,84,Justin Leonard,24,154,
84,T85,T85,Marco Dawson,23,153,51.0
85,T85,T85,Arron Oberholser,21,153,8.0
86,T87,T87,Kent Jones,32,152,9.0
87,T87,T87,Franklin Langham,31,152,50.0
88,T87,T87,D.J. Trahan,28,152,95.0
89,90,90,Mark Hensby,21,151,1.0
90,T91,T91,Thongchai Jaidee,4,150,8.0
91,T91,T91,Phillip Price,25,150,5.0
92,T93,T93,Michael Long,26,149,34.0
93,T93,T93,David Peoples,12,149,23.0
94,T93,T93,Vaughn Taylor,32,149,149.0
95,T93,T93,Mike Weir,23,149,3.0
96,T93,T93,Dean Wilson,27,149,
97,98,98,Loren Roberts,18,148,60.0
98,99,99,Mario Tiziani,23,147,43.0
99,100,100,Brian Watts,7,146,42.0
100,T101,T101,Glen Hnatiuk,21,145,29.0
101,T101,T101,Nick Price,16,145,71.0
102,T103,T103,James Driscoll,26,144,6.0
103,T103,T103,Dick Mast,3,144,144.0
104,T105,T105,Danny Briggs,29,143,45.0
105,T105,T105,Fred Funk,30,143,21.0
106,T105,T105,Stephen Leaney,29,143,36.0
107,T105,T105,Joe Ogilvie,30,143,25.0
108,T105,T105,Chris Riley,25,143,22.0
109,T110,T110,Steve Allan,32,142,16.0
110,T110,T110,Bob Burns,15,142,45.0
111,T110,T110,Jim Carter,25,142,8.0
112,T110,T110,Fred Couples,22,142,142.0
113,T114,T114,Padraig Harrington,15,141,8.0
114,T114,T114,Nick Watney,31,141,25.0
115,T116,T116,Alex Cejka,31,140,
116,T116,T116,Retief Goosen,18,140,19.0
117,T116,T116,Craig Stadler,6,140,16.0
118,T119,T119,Bob Heintz,24,139,112.0
119,T119,T119,Billy Mayfair,31,139,2.0
120,T119,T119,Ian Poulter,20,139,139.0
121,T122,T122,Bill Glasson,21,138,75.0
122,T122,T122,Craig Perks,27,138,20.0
123,T122,T122,Rory Sabbatini,26,138,15.0
124,T122,T122,Charles Warren,31,138,23.0
125,T122,T122,Mark Wilson,25,138,66.0
126,T127,T127,Tommy Armour III,29,137,17.0
127,T127,T127,Tim Clark,26,137,16.0
128,T127,T127,Ryan Palmer,32,137,42.0
129,T127,T127,Ted Purdy,34,137,7.0
130,T131,T131,Guy Boros,5,136,4.0
131,T131,T131,J.L. Lewis,30,136,1.0
132,T131,T131,Jeff Maggert,25,136,3.0
133,T134,T134,Robert Allenby,31,135,36.0
134,T134,T134,Briny Baird,33,135,29.0
135,T134,T134,Freddie Jacobson,23,135,62.0
136,T134,T134,Tag Ridings,31,135,3.0
137,T134,T134,Jay Williamson,16,135,
138,T139,T139,Mark Brooks,28,134,16.0
139,T139,T139,Dudley Hart,29,134,7.0
140,T139,T139,Lee Janzen,26,134,31.0
141,T139,T139,Geoff Ogilvy,26,134,116.0
142,T139,T139,Gene Sauers,7,134,
143,T139,T139,Heath Slocum,29,134,134.0
144,145,145,Mike Springer,5,133,133.0
145,T146,T146,Craig Bowden,15,132,132.0
146,T146,T146,Ángel Cabrera,11,132,4.0
147,T146,T146,Steve Elkington,20,132,15.0
148,T146,T146,Sean O'Hair,29,132,25.0
149,T150,T150,Davis Love III,24,131,5.0
150,T150,T150,Tim Petrovic,32,131,45.0
151,T152,T152,Brenden Pappas,15,130,31.0
152,T152,T152,Steve Pate,9,130,7.0
153,T152,T152,"Wes Short, Jr.",16,130,5.0
154,155,155,Paul McGinley,6,129,6.0
155,156,156,Paul Casey,10,128,13.0
156,157,157,John Rollins,30,127,3.0
157,T158,T158,Chad Campbell,27,126,33.0
158,T158,T158,Andrew Magee,29,126,51.0
159,T158,T158,Rocco Mediate,24,126,
160,T158,T158,Greg Owen,24,126,3.0
161,T162,T162,Ben Curtis,24,125,67.0
162,T162,T162,Phil Mickelson,21,125,49.0
163,T164,T164,Woody Austin,30,124,51.0
164,T164,T164,Kevin Sutherland,26,124,109.0
165,T166,T166,Scott Gutschewski,27,123,108.0
166,T166,T166,Jay Haas,16,123,49.0
167,T166,T166,Hunter Mahan,34,123,35.0
168,T166,T166,Mark O'Meara,21,123,32.0
169,170,170,Justin Rose,28,122,10.0
170,T171,T171,Matt Kuchar,21,121,10.0
171,T171,T171,John Maginnes,17,121,40.0
172,T171,T171,Michael Putnam,5,121,18.0
173,T174,T174,K.J. Choi,24,120,13.0
174,T174,T174,Jay Delsing,11,120,40.0
175,T174,T174,Brandt Jobe,27,120,
176,T174,T174,Dennis Paulson,24,120,120.0
177,T178,T178,Mark Calcavecchia,27,118,74.0
178,T178,T178,Peter Lonard,27,118,2.0
179,T178,T178,Sandy Lyle,4,118,3.0
180,T178,T178,Jimmy Walker,9,118,18.0
181,T182,T182,Jyoti Randhawa,2,117,3.0
182,T182,T182,Bob Sowards,7,117,74.0
183,T182,T182,Tjaart van der Walt,19,117,31.0
184,T185,T185,Michael Bradley,4,116,116.0
185,T185,T185,Darren Clarke,12,116,92.0
186,T185,T185,Ernie Els,11,116,19.0
187,T188,T188,Peter Jacobsen,11,115,7.0
188,T188,T188,Hank Kuehne,30,115,
189,T188,T188,Kenny Perry,23,115,9.0
190,T191,T191,Tom Byrum,27,113,88.0
191,T191,T191,Neal Lancaster,31,113,74.0
192,T191,T191,Willie Wood,4,113,113.0
193,T194,T194,D.J. Brigman,26,112,22.0
194,T194,T194,John Huston,31,112,1.0
195,T194,T194,Tom Lehman,20,112,60.0
196,T194,T194,Charlie Wi,23,112,50.0
197,T198,T198,John Elliott,25,110,10.0
198,T198,T198,Jason Gore,8,110,8.0
199,T200,T200,Lucas Glover,28,109,75.0
200,T200,T200,Ryan Moore,14,109,5.0
201,T202,T202,Chris Anderson,25,108,108.0
202,T202,T202,Michael Campbell,5,108,9.0
203,T204,T204,Paul Claxton,29,107,9.0
204,T204,T204,John Daly,25,107,4.0
205,T204,T204,Steve Flesch,30,107,5.0
206,T207,T207,Skip Kendall,32,106,29.0
207,T207,T207,Brett Wetterich,28,106,7.0
208,T209,T209,Jason Allred,29,105,8.0
209,T209,T209,Cameron Beckman,31,105,85.0
210,T209,T209,Matt Davidson,20,105,4.0
211,212,212,Stuart Appleby,25,104,35.0
212,T213,T213,J.J. Henry,32,103,15.0
213,T213,T213,Larry Mize,18,103,44.0
214,T215,T215,David Duval,20,102,51.0
215,T215,T215,Bill Haas,6,102,17.0
216,T215,T215,Trevor Immelman,14,102,14.0
217,T215,T215,Will MacKenzie,25,102,6.0
218,T215,T215,Nick O'Hern,13,102,45.0
219,T215,T215,Craig Parry,15,102,8.0
220,T221,T221,Brian Davis,23,101,34.0
221,T221,T221,Omar Uresti,27,101,25.0
222,T221,T221,Euan Walters,18,101,19.0
223,T224,T224,Jaxon Brigman,2,100,
224,T224,T224,Brendan Jones,28,100,
225,T224,T224,Pat Perez,28,100,6.0
226,227,227,Nick Dougherty,6,99,37.0
227,228,228,Tripp Isenhour,7,98,47.0
228,229,229,Lee Westwood,15,97,10.0
229,230,230,Charles Howell III,29,96,7.0
230,T231,T231,José Coceres,22,94,65.0
231,T231,T231,Scott Hend,28,94,12.0
232,T233,T233,Glen Day,27,93,83.0
233,T233,T233,David Frost,10,93,1.0
234,T235,T235,Colby Beckstrom,2,92,92.0
235,T235,T235,P.H. Horgan III,2,92,7.0
236,T235,T235,Richard Johnson,16,92,13.0
237,T235,T235,Hal Sutton,10,92,32.0
238,T239,T239,Joe Durant,25,90,29.0
239,T239,T239,Tim Herron,28,90,21.0
240,T239,T239,Scott Hoch,2,90,90.0
241,242,242,Shaun Micheel,29,89,72.0
242,243,243,Blaine McCallister,9,88,21.0
243,244,244,David Hearn,24,87,21.0
244,T245,T245,David Howell,12,85,85.0
245,T245,T245,Carl Paulson,13,85,65.0
246,247,247,Shingo Katayama,5,84,22.0
247,248,248,Eric Axley,2,83,6.0
248,T249,T249,Craig Barlow,26,82,4.0
249,T249,T249,Tom Kite,12,82,16.0
250,T251,T251,Richard Green,11,81,29.0
251,T251,T251,Spencer Levin,7,81,64.0
252,253,253,Thomas Bjørn,8,80,6.0
253,T254,T254,Notah Begay III,11,79,5.0
254,T254,T254,Jonathan Byrd,31,79,27.0
255,T254,T254,Spike McRoy,12,79,16.0
256,T254,T254,Kelly Mitchum,5,79,79.0
257,T254,T254,Henrik Stenson,4,79,12.0
258,T254,T254,Andre Stolz,12,79,12.0
259,T260,T260,Danny Ellis,7,78,78.0
260,T260,T260,Toru Taniguchi,7,78,20.0
261,T262,T262,Keith Clearwater,2,77,12.0
262,T262,T262,Gabriel Hjertstedt,3,77,77.0
263,T262,T262,Colin Montgomerie,6,77,31.0
264,T262,T262,Tom Scherrer,2,77,18.0
265,T262,T262,Y.E. Yang,4,77,1.0
266,T267,T267,Robin Freeman,8,76,27.0
267,T267,T267,Bradley Hughes,20,76,13.0
268,T269,T269,Graeme McDowell,14,75,9.0
269,T269,T269,James McLean,5,75,16.0
270,T269,T269,John Morgan,11,75,16.0
271,T272,T272,Kenneth Ferrie,3,74,74.0
272,T272,T272,Mike Hulbert,4,74,74.0
273,T272,T272,Scott Simpson,9,74,12.0
274,T275,T275,Nick Faldo,5,73,4.0
275,T275,T275,Sergio Garcia,20,73,39.0
276,T275,T275,Per-Ulrik Johansson,7,73,34.0
277,T278,T278,Erik Compton,1,72,72.0
278,T278,T278,Stephen Gangluff,1,72,72.0
279,T278,T278,Nick Gilliam,3,72,16.0
280,T278,T278,Kelly Grunewald,1,72,72.0
281,T278,T278,Kazuhiko Hosokawa,1,72,72.0
282,T278,T278,Kevin Johnson,1,72,72.0
283,T278,T278,Ben Portie,1,72,72.0
284,T285,T285,Mike Heinen,7,71,29.0
285,T285,T285,Ted Tryba,2,71,71.0
286,T287,T287,Rich Barcelo,3,70,22.0
287,T287,T287,Mathias Grönberg,19,70,1.0
288,T287,T287,John Riegger,4,70,68.0
289,T290,T290,Ian Leggatt,12,69,21.0
290,T290,T290,Casey Wittenberg,9,69,69.0
291,T292,T292,Scott Gump,2,68,
292,T292,T292,Brian Henninger,2,68,68.0
293,294,294,Joel Kribel,2,67,15.0
294,T295,T295,Jim McGovern,2,66,5.0
295,T295,T295,Dicky Pride,5,66,44.0
296,T295,T295,Grant Waite,6,66,16.0
297,T298,T298,Ryan Brehm,1,65,1.0
298,T298,T298,Thomas Levet,20,65,14.0
299,T300,T300,Brad Fabel,1,64,7.0
300,T300,T300,Sean Murphy,3,64,15.0
301,302,302,Trevor Dodds,2,63,44.0
302,T303,T303,Chris Couch,1,62,4.0
303,T303,T303,Dave Rummells,2,62,14.0
304,T305,T305,David Edwards,9,61,2.0
305,T305,T305,Ian Woosnam,2,61,2.0
306,307,307,Miguel Angel Jiménez,9,60,19.0
307,T308,T308,Steve Marino,1,59,3.0
308,T308,T308,Garrett Willis,7,59,24.0
309,T308,T308,Don Yrene,2,59,5.0
310,311,311,Jim Benepe,2,58,
311,T312,T312,Peter Hedblom,1,57,14.0
312,T312,T312,Kevin Streelman,2,57,25.0
313,314,314,Darrell Kestner,1,56,15.0
314,T315,T315,Scott Piercy,4,55,6.0
315,T315,T315,Chris Starkjohann,4,55,32.0
