,Best_YTD_1-Putt_or_Better_Streak_RANK THIS WEEK,Best_YTD_1-Putt_or_Better_Streak_RANK LAST WEEK,Best_YTD_1-Putt_or_Better_Streak_PLAYER NAME,Best_YTD_1-Putt_or_Better_Streak_EVENTS,Best_YTD_1-Putt_or_Better_Streak_VALUE
0,1,1,Tom Pernice Jr.,32,15
1,2,2,Steve Stricker,21,13
2,T3,T3,Cameron Beckman,31,12
3,T3,T3,David Frost,10,12
4,T3,T3,Kent Jones,32,12
5,T3,T3,Mark O'Meara,21,12
6,T7,T7,Tommy Armour III,29,11
7,T7,T7,K.J. Choi,24,11
8,T7,T7,Neal Lancaster,31,11
9,T10,T10,Chris Anderson,25,10
10,T10,T10,Billy Andrade,26,10
11,T10,T10,Stuart Appleby,25,10
12,T10,T10,Steve Elkington,20,10
13,T10,T10,Ernie Els,11,10
14,T10,T10,J.J. Henry,32,10
15,T10,T10,Ryuji Imada,25,10
16,T10,T10,Matt Kuchar,21,10
17,T10,T10,Bernhard Langer,19,10
18,T10,T10,Franklin Langham,31,10
19,T10,T10,Phil Mickelson,21,10
20,T10,T10,Simon Nash,2,10
21,T10,T10,Geoff Ogilvy,26,10
22,T10,T10,Rod Pampling,26,10
23,T10,T10,Pat Perez,28,10
24,T10,T10,Nick Price,16,10
25,T10,T10,Chris Riley,25,10
26,T10,T10,David Toms,25,10
27,T10,T10,Omar Uresti,27,10
28,T10,T10,Mark Wilson,25,10
29,T30,T30,Stephen Ames,24,9
30,T30,T30,Woody Austin,30,9
31,T30,T30,Justin Bolli,24,9
32,T30,T30,Craig Bowden,15,9
33,T30,T30,Ángel Cabrera,11,9
34,T30,T30,Mark Calcavecchia,27,9
35,T30,T30,Chad Campbell,27,9
36,T30,T30,Daniel Chopra,34,9
37,T30,T30,John Cook,26,9
38,T30,T30,David Duval,20,9
39,T30,T30,Carlos Franco,25,9
40,T30,T30,Jim Furyk,26,9
41,T30,T30,Lucas Glover,28,9
42,T30,T30,Paul Goydos,15,9
43,T30,T30,Todd Hamilton,31,9
44,T30,T30,Dudley Hart,29,9
45,T30,T30,David Hearn,24,9
46,T30,T30,Brandt Jobe,27,9
47,T30,T30,Brendan Jones,28,9
48,T30,T30,Ian Leggatt,12,9
49,T30,T30,Len Mattiace,34,9
50,T30,T30,Chris Ming,1,9
51,T30,T30,Jesper Parnevik,24,9
52,T30,T30,Carl Pettersson,34,9
53,T30,T30,D.A. Points,33,9
54,T30,T30,Dicky Pride,5,9
55,T30,T30,Brett Quigley,31,9
56,T30,T30,Loren Roberts,18,9
57,T30,T30,Patrick Sheehan,35,9
58,T30,T30,Jeff Sluman,28,9
59,T30,T30,Craig Stadler,6,9
60,T30,T30,Darron Stiles,26,9
61,T62,T62,Steve Allan,32,8
62,T62,T62,Paul Azinger,22,8
63,T62,T62,Aaron Baddeley,27,8
64,T62,T62,Briny Baird,33,8
65,T62,T62,Notah Begay III,11,8
66,T62,T62,Danny Briggs,29,8
67,T62,T62,Jonathan Byrd,31,8
68,T62,T62,Tom Byrum,27,8
69,T62,T62,Stewart Cink,26,8
70,T62,T62,Paul Claxton,29,8
71,T62,T62,Ben Crane,21,8
72,T62,T62,Ben Curtis,24,8
73,T62,T62,Matt Davidson,20,8
74,T62,T62,Marco Dawson,23,8
75,T62,T62,James Driscoll,26,8
