,Consecutive_Cuts_RANK THIS WEEK,Consecutive_Cuts_RANK LAST WEEK,Consecutive_Cuts_PLAYER NAME,Consecutive_Cuts_TOTAL,Consecutive_Cuts_START TOURNAMENT ID
0,1,1,Ernie Els,24,2004130
1,2,2,Luke Donald,15,2005060
2,3,3,Adam Scott,14,2005120
3,4,4,Ben Crane,11,2005290
4,T5,T5,Paul McGinley,10,2004300
5,T5,T5,Kenny Perry,10,2005230
6,T5,T5,Ted Purdy,10,2005320
7,T8,T8,Chad Campbell,9,2005310
8,T8,T8,Marco Dawson,9,2005370
9,T8,T8,Retief Goosen,9,2005240
10,T11,T11,Bart Bryant,8,2005360
11,T11,T11,Michael Campbell,8,2004300
12,T11,T11,Mark Hensby,8,2005250
13,T11,T11,Tim Herron,8,2005350
14,T11,T11,Steve Lowery,8,2005380
15,T11,T11,Tom Pernice Jr.,8,2005380
16,T11,T11,Carl Pettersson,8,2005380
17,T18,T18,Jonathan Byrd,7,2005380
18,T18,T18,Peter Lonard,7,2005360
19,T18,T18,Shigeki Maruyama,7,2005400
20,T21,T21,Stuart Appleby,6,2005400
21,T21,T21,Gavin Coles,6,2005410
22,T21,T21,Gary Evans,6,1998295
23,T21,T21,Harrison Frazar,6,2005380
24,T21,T21,Charles Howell III,6,2005410
25,T21,T21,Tom Lehman,6,2005360
26,T21,T21,Justin Leonard,6,2005360
27,T21,T21,John Senden,6,2005380
28,T21,T21,Heath Slocum,6,2005400
29,T21,T21,Hidemichi Tanaka,6,2005410
30,T21,T21,Doug Tewell,6,1999230
31,T32,T32,Fred Funk,5,2005390
32,T32,T32,Robert Gamez,5,2005410
33,T32,T32,Sergio Garcia,5,2005340
34,T32,T32,Lucas Glover,5,2005430
35,T32,T32,Hunter Haas,5,2005400
36,T32,T32,Barry Lane,5,2001310
37,T32,T32,Bernhard Langer,5,2005250
38,T32,T32,Billy Mayfair,5,2005430
39,T32,T32,José María Olazábal,5,2005300
40,T32,T32,Corey Pavin,5,2005330
41,T42,T42,Arjun Atwal,4,2005350
42,T42,T42,Daniel Chopra,4,2005430
43,T42,T42,Jay Delsing,4,2005390
44,T42,T42,Scott Drummond,4,2004340
45,T42,T42,Dan Forsman,4,2005380
46,T42,T42,Padraig Harrington,4,2005360
47,T42,T42,Miguel Angel Jiménez,4,2005300
48,T42,T42,Wayne Levi,4,2001300
49,T42,T42,J.L. Lewis,4,2005410
50,T42,T42,Davis Love III,4,2005450
51,T42,T42,Bob May,4,2003140
52,T42,T42,Sean O'Hair,4,2005450
53,T42,T42,Joe Ogilvie,4,2005410
54,T42,T42,Deane Pappas,4,2004430
55,T42,T42,Peter Senior,4,2000310
56,T42,T42,Henrik Stenson,4,2005300
57,T42,T42,Bo Van Pelt,4,2005460
58,T42,T42,Scott Verplank,4,2005450
59,T60,T60,Cameron Beckman,3,2005470
60,T60,T60,Thomas Bjørn,3,2005340
61,T60,T60,Guy Boros,3,2005280
62,T60,T60,Stewart Cink,3,2005450
63,T60,T60,Paul Curry,3,2000455
64,T60,T60,Brian Davis,3,2005470
65,T60,T60,Ryan Dillon,3,2001420
66,T60,T60,Danny Ellis,3,2005350
67,T60,T60,Bob Estes,3,2005470
68,T60,T60,Mark Foster,3,2003300
69,T60,T60,Keiichiro Fukabori,3,2004230
70,T60,T60,Jim Furyk,3,2005450
71,T60,T60,Michael Harris,3,2003380
72,T60,T60,Bob Heintz,3,2005460
73,T60,T60,Brandt Jobe,3,2005470
74,T60,T60,Jonathan Lomas,3,1995290
75,T60,T60,Casey Martin,3,2004050
76,T60,T60,Andrew McLardy,3,2004180
77,T60,T60,Rocco Mediate,3,2005470
