,YTD_Par_or_Better_Streak_RANK THIS WEEK,YTD_Par_or_Better_Streak_RANK LAST WEEK,YTD_Par_or_Better_Streak_PLAYER NAME,YTD_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Bart Bryant,30
1,2,2,Tom Lehman,25
2,3,3,Tim Clark,23
3,T4,T4,Carl Pettersson,22
4,T4,T4,David Toms,22
5,6,6,Bob Heintz,18
6,T7,T7,Mathias Grönberg,17
7,T7,T7,Tim Herron,17
8,T7,T7,Rocco Mediate,17
9,T10,T10,Daniel Chopra,16
10,T10,T10,Charles Howell III,16
11,T10,T10,Richard Johnson,16
12,T10,T10,Craig Parry,16
13,T10,T10,Tiger Woods,16
14,T15,T15,Jim Furyk,15
15,T15,T15,Donnie Hammond,15
16,T15,T15,Billy Mayfair,15
17,T15,T15,Shaun Micheel,15
18,T19,T19,Jeff Brehaut,14
19,T19,T19,Steve Lowery,14
20,T19,T19,Dicky Pride,14
21,T19,T19,John Senden,14
22,T19,T19,"Wes Short, Jr.",14
23,T24,T24,Doug Barron,13
24,T24,T24,Harrison Frazar,13
25,T24,T24,Robert Gamez,13
26,T24,T24,Jason Gore,13
27,T24,T24,J.J. Henry,13
28,T24,T24,Vijay Singh,13
29,T24,T24,Heath Slocum,13
30,T24,T24,Steve Stricker,13
31,T24,T24,Dean Wilson,13
32,T33,T33,Stewart Cink,12
33,T33,T33,Paul Goydos,12
34,T33,T33,Scott Gutschewski,12
35,T33,T33,J.P. Hayes,12
36,T33,T33,Matt Kuchar,12
37,T33,T33,Jeff Maggert,12
38,T33,T33,Scott McCarron,12
39,T33,T33,Joe Ogilvie,12
40,T33,T33,Greg Owen,12
41,T33,T33,D.A. Points,12
42,T33,T33,Justin Rose,12
43,T33,T33,Joey Sindelar,12
44,T33,T33,Jeff Sluman,12
45,T33,T33,Bo Van Pelt,12
46,T33,T33,Scott Verplank,12
47,T48,T48,Tommy Armour III,11
48,T48,T48,Jason Bohn,11
49,T48,T48,Matt Davidson,11
50,T48,T48,Steve Elkington,11
51,T48,T48,Carlos Franco,11
52,T48,T48,Jerry Kelly,11
53,T48,T48,Neal Lancaster,11
54,T48,T48,Bernhard Langer,11
55,T48,T48,Will MacKenzie,11
56,T48,T48,José María Olazábal,11
57,T48,T48,Ryan Palmer,11
58,T48,T48,Pat Perez,11
59,T48,T48,Tom Pernice Jr.,11
60,T48,T48,Brett Quigley,11
61,T48,T48,Kevin Stadler,11
62,T48,T48,Roland Thatcher,11
63,T48,T48,D.J. Trahan,11
64,T65,T65,Craig Barlow,10
65,T65,T65,Jonathan Byrd,10
66,T65,T65,Chad Campbell,10
67,T65,T65,John Daly,10
68,T65,T65,Brian Davis,10
69,T65,T65,Marco Dawson,10
70,T65,T65,Luke Donald,10
71,T65,T65,James Driscoll,10
72,T65,T65,David Edwards,10
73,T65,T65,Bob Estes,10
74,T65,T65,Fred Funk,10
75,T65,T65,Retief Goosen,10
76,T65,T65,Todd Hamilton,10
77,T65,T65,Kent Jones,10
78,T65,T65,Brendan Jones,10
79,T65,T65,Hank Kuehne,10
80,T65,T65,Wayne Levi,10
81,T65,T65,Kevin Na,10
82,T65,T65,Geoff Ogilvy,10
83,T65,T65,Loren Roberts,10
84,T65,T65,Hidemichi Tanaka,10
85,T65,T65,Omar Uresti,10
86,T87,T87,Jason Allred,9
87,T87,T87,Mark Calcavecchia,9
88,T87,T87,Ben Crane,9
89,T87,T87,Glen Day,9
90,T87,T87,Joe Durant,9
91,T87,T87,John Elliott,9
92,T87,T87,Sergio Garcia,9
93,T87,T87,Tom Gillis,9
94,T87,T87,Bill Glasson,9
95,T87,T87,Hunter Haas,9
96,T87,T87,Dudley Hart,9
97,T87,T87,David Hearn,9
98,T87,T87,Bradley Hughes,9
99,T87,T87,John Huston,9
100,T87,T87,Lee Janzen,9
101,T87,T87,Zach Johnson,9
102,T87,T87,Davis Love III,9
103,T87,T87,Rod Pampling,9
104,T87,T87,Kenny Perry,9
105,T87,T87,Rory Sabbatini,9
106,T87,T87,Chris Smith,9
107,T87,T87,Mario Tiziani,9
108,T87,T87,Bob Tway,9
109,T87,T87,Charles Warren,9
110,T87,T87,Brett Wetterich,9
111,T112,T112,Steve Allan,8
112,T112,T112,Robert Allenby,8
113,T112,T112,Stephen Ames,8
114,T112,T112,Stuart Appleby,8
115,T112,T112,Woody Austin,8
116,T112,T112,Aaron Baddeley,8
117,T112,T112,Briny Baird,8
118,T112,T112,Justin Bolli,8
119,T112,T112,Ángel Cabrera,8
120,T112,T112,Gavin Coles,8
121,T112,T112,John Cook,8
122,T112,T112,Ernie Els,8
123,T112,T112,Brad Faxon,8
124,T112,T112,Lucas Glover,8
125,T112,T112,Jay Haas,8
126,T112,T112,Mark Hensby,8
127,T112,T112,Brandt Jobe,8
128,T112,T112,Franklin Langham,8
129,T112,T112,Stephen Leaney,8
130,T112,T112,Justin Leonard,8
131,T112,T112,Spencer Levin,8
132,T112,T112,J.L. Lewis,8
133,T112,T112,Michael Long,8
134,T112,T112,Andrew Magee,8
135,T112,T112,Shigeki Maruyama,8
136,T112,T112,Arron Oberholser,8
137,T112,T112,Corey Pavin,8
138,T112,T112,David Peoples,8
139,T112,T112,Tim Petrovic,8
140,T112,T112,Tag Ridings,8
141,T112,T112,Craig Stadler,8
142,T112,T112,Darron Stiles,8
143,T112,T112,Andre Stolz,8
144,T112,T112,Kevin Sutherland,8
145,T112,T112,Charlie Wi,8
146,T112,T112,Mark Wilson,8
147,T148,T148,Michael Allen,7
148,T148,T148,Chris Anderson,7
149,T148,T148,Billy Andrade,7
150,T148,T148,Arjun Atwal,7
151,T148,T148,Guy Boros,7
152,T148,T148,Danny Briggs,7
153,T148,T148,Olin Browne,7
154,T148,T148,Brad Bryant,7
155,T148,T148,José Coceres,7
156,T148,T148,Fred Couples,7
157,T148,T148,Robert Damron,7
158,T148,T148,Jay Delsing,7
159,T148,T148,Danny Ellis,7
160,T148,T148,Brian Gay,7
161,T148,T148,Brent Geiberger,7
162,T148,T148,Paul Gow,7
163,T148,T148,Glen Hnatiuk,7
164,T148,T148,David Howell,7
165,T148,T148,Peter Jacobsen,7
166,T148,T148,Frank Lickliter II,7
167,T148,T148,Peter Lonard,7
168,T148,T148,Hunter Mahan,7
169,T148,T148,Larry Mize,7
170,T148,T148,Ryan Moore,7
