,YTD_Rounds_in_60s_Streak_RANK THIS WEEK,YTD_Rounds_in_60s_Streak_RANK LAST WEEK,YTD_Rounds_in_60s_Streak_PLAYER NAME,YTD_Rounds_in_60s_Streak_BEST STREAK
0,1,1,Harrison Frazar,13
1,2,2,J.P. Hayes,11
2,T3,T3,Rocco Mediate,10
3,T3,T3,Joey Sindelar,10
4,T5,T5,Ben Crane,9
5,T5,T5,Jim Furyk,9
6,T5,T5,John Huston,9
7,T5,T5,Heath Slocum,9
8,T9,T9,Steve Lowery,8
9,T9,T9,Rory Sabbatini,8
10,T9,T9,Bob Tway,8
11,T12,T12,Bart Bryant,7
12,T12,T12,Bernhard Langer,7
13,T12,T12,Stephen Leaney,7
14,T12,T12,Rod Pampling,7
15,T12,T12,Loren Roberts,7
16,T12,T12,"Wes Short, Jr.",7
17,T12,T12,Chris Smith,7
18,T12,T12,David Toms,7
19,T12,T12,Scott Verplank,7
20,T21,T21,Jason Bohn,6
21,T21,T21,John Daly,6
22,T21,T21,Luke Donald,6
23,T21,T21,Richard Johnson,6
24,T21,T21,Brendan Jones,6
25,T21,T21,Jerry Kelly,6
26,T21,T21,Andrew Magee,6
27,T21,T21,Jeff Maggert,6
28,T21,T21,Shaun Micheel,6
29,T21,T21,Phil Mickelson,6
30,T21,T21,Arron Oberholser,6
31,T21,T21,José María Olazábal,6
32,T21,T21,Ryan Palmer,6
33,T21,T21,Carl Pettersson,6
34,T21,T21,Ted Purdy,6
35,T21,T21,John Senden,6
36,T21,T21,Craig Stadler,6
37,T21,T21,Darron Stiles,6
38,T21,T21,Hidemichi Tanaka,6
39,T21,T21,Tiger Woods,6
40,T41,T41,Woody Austin,5
41,T41,T41,K.J. Choi,5
42,T41,T41,Tim Clark,5
43,T41,T41,Fred Couples,5
44,T41,T41,Ben Curtis,5
45,T41,T41,Robert Damron,5
46,T41,T41,Brian Davis,5
47,T41,T41,Steve Elkington,5
48,T41,T41,Sergio Garcia,5
49,T41,T41,Brian Gay,5
50,T41,T41,Lucas Glover,5
51,T41,T41,Mathias Grönberg,5
52,T41,T41,J.J. Henry,5
53,T41,T41,Jonathan Kaye,5
54,T41,T41,Hank Kuehne,5
55,T41,T41,Justin Leonard,5
56,T41,T41,Spencer Levin,5
57,T41,T41,Hunter Mahan,5
58,T41,T41,Shigeki Maruyama,5
59,T41,T41,Billy Mayfair,5
60,T41,T41,Colin Montgomerie,5
61,T41,T41,Kevin Na,5
62,T41,T41,Sean O'Hair,5
63,T41,T41,Jesper Parnevik,5
64,T41,T41,Tom Pernice Jr.,5
65,T41,T41,Kenny Perry,5
66,T41,T41,Nick Price,5
67,T41,T41,Phillip Price,5
68,T41,T41,Tag Ridings,5
69,T41,T41,John Rollins,5
70,T41,T41,Patrick Sheehan,5
71,T41,T41,Vijay Singh,5
72,T41,T41,Joey Snyder III,5
73,T41,T41,Mike Springer,5
74,T41,T41,Steve Stricker,5
75,T41,T41,Hideto Tanihara,5
76,T41,T41,Roland Thatcher,5
77,T41,T41,Tjaart van der Walt,5
78,T41,T41,Mark Wilson,5
79,T80,T80,Robert Allenby,4
80,T80,T80,Stephen Ames,4
81,T80,T80,Billy Andrade,4
82,T80,T80,Stuart Appleby,4
83,T80,T80,Aaron Baddeley,4
84,T80,T80,Briny Baird,4
85,T80,T80,Doug Barron,4
86,T80,T80,Rich Beem,4
