,3-Putt_Avoidance_-_Inside_5_RANK THIS WEEK,3-Putt_Avoidance_-_Inside_5_RANK LAST WEEK,3-Putt_Avoidance_-_Inside_5_PLAYER NAME,3-Putt_Avoidance_-_Inside_5_ROUNDS,3-Putt_Avoidance_-_Inside_5_%,3-Putt_Avoidance_-_Inside_5_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Inside_5_ATTEMPTS,3-Putt_Avoidance_-_Inside_5_2 PUTT OR BETTER %
0,T1,T1,Brad Adamonis,70,0.0,,246,100.0
1,T1,T1,Michael Allen,73,0.0,,233,100.0
2,T1,T1,Robert Allenby,71,0.0,,209,100.0
3,T1,T1,Stephen Ames,77,0.0,,204,100.0
4,T1,T1,Eric Axley,71,0.0,,248,100.0
5,T1,T1,Briny Baird,89,0.0,,266,100.0
6,T1,T1,Brian Bateman,55,0.0,,184,100.0
7,T1,T1,Cameron Beckman,87,0.0,,279,100.0
8,T1,T1,Rich Beem,77,0.0,,226,100.0
9,T1,T1,Matt Bettencourt,98,0.0,,341,100.0
10,T1,T1,Kris Blanks,60,0.0,,179,100.0
11,T1,T1,Jason Bohn,88,0.0,,315,100.0
12,T1,T1,Bart Bryant,58,0.0,,204,100.0
13,T1,T1,Chad Campbell,90,0.0,,269,100.0
14,T1,T1,Greg Chalmers,85,0.0,,267,100.0
15,T1,T1,Stewart Cink,79,0.0,,218,100.0
16,T1,T1,Tim Clark,81,0.0,,250,100.0
17,T1,T1,Ben Crane,93,0.0,,310,100.0
18,T1,T1,Ben Curtis,63,0.0,,193,100.0
19,T1,T1,Glen Day,79,0.0,,244,100.0
20,T1,T1,Brendon de Jonge,90,0.0,,293,100.0
21,T1,T1,Chris DiMarco,97,0.0,,383,100.0
22,T1,T1,Luke Donald,79,0.0,,251,100.0
23,T1,T1,Jason Dufner,90,0.0,,314,100.0
24,T1,T1,Ken Duke,87,0.0,,314,100.0
25,T1,T1,Joe Durant,62,0.0,,163,100.0
26,T1,T1,David Duval,56,0.0,,156,100.0
27,T1,T1,Bob Estes,78,0.0,,306,100.0
28,T1,T1,Steve Flesch,77,0.0,,237,100.0
29,T1,T1,Harrison Frazar,93,0.0,,346,100.0
30,T1,T1,Jim Furyk,86,0.0,,274,100.0
31,T1,T1,Sergio Garcia,59,0.0,,172,100.0
32,T1,T1,Robert Garrigus,83,0.0,,266,100.0
33,T1,T1,Lucas Glover,93,0.0,,302,100.0
34,T1,T1,Mathew Goggin,76,0.0,,242,100.0
35,T1,T1,Retief Goosen,74,0.0,,244,100.0
36,T1,T1,Paul Goydos,79,0.0,,252,100.0
37,T1,T1,Nathan Green,104,0.0,,373,100.0
38,T1,T1,Bill Haas,91,0.0,,330,100.0
39,T1,T1,Padraig Harrington,66,0.0,,223,100.0
40,T1,T1,Bob Heintz,59,0.0,,210,100.0
41,T1,T1,J.J. Henry,97,0.0,,273,100.0
42,T1,T1,Ryuji Imada,85,0.0,,296,100.0
43,T1,T1,Freddie Jacobson,83,0.0,,292,100.0
44,T1,T1,Zach Johnson,94,0.0,,303,100.0
45,T1,T1,Richard Johnson,85,0.0,,273,100.0
46,T1,T1,Kent Jones,73,0.0,,233,100.0
47,T1,T1,Matt Jones,56,0.0,,166,100.0
48,T1,T1,Jerry Kelly,90,0.0,,317,100.0
49,T1,T1,Jeff Klauk,97,0.0,,335,100.0
50,T1,T1,Colt Knost,71,0.0,,207,100.0
51,T1,T1,Greg Kraft,51,0.0,,168,100.0
52,T1,T1,Cliff Kresge,78,0.0,,279,100.0
