,Total_3_Putts_-__25_RANK THIS WEEK,Total_3_Putts_-__25_RANK LAST WEEK,Total_3_Putts_-__25_PLAYER NAME,Total_3_Putts_-__25_ROUNDS,Total_3_Putts_-__25_TOTAL 3 PUTTS > 25',Total_3_Putts_-__25_TOTAL 3 PUTTS
0,1,1,Nicholas Thompson,96,57,77
1,2,2,Matt Bettencourt,98,49,77
2,3,3,Greg Owen,97,46,52
3,4,4,Bill Haas,91,45,52
4,T5,T5,Marc Leishman,91,44,53
5,T5,T5,Jeff Maggert,79,44,56
6,T5,T5,Ted Purdy,101,44,61
7,T5,T5,Kevin Streelman,97,44,55
8,T9,T9,Brendon de Jonge,90,43,52
9,T9,T9,Peter Lonard,86,43,53
10,T11,T11,Robert Garrigus,83,41,52
11,T11,T11,J.B. Holmes,74,41,50
12,T13,T13,Jason Gore,74,40,51
13,T13,T13,D.A. Points,99,40,55
14,T13,T13,D.J. Trahan,96,40,50
15,T16,T16,Robert Allenby,71,39,46
16,T16,T16,Michael Letzig,96,39,49
17,T18,T18,Jay Williamson,69,38,48
18,T18,T18,Y.E. Yang,83,38,45
19,T20,T20,Jonathan Byrd,89,37,54
20,T20,T20,Nathan Green,104,37,44
21,T20,T20,J.J. Henry,97,37,43
22,T20,T20,Troy Matteson,95,37,42
23,T20,T20,Rocco Mediate,79,37,46
24,T20,T20,Bo Van Pelt,100,37,47
25,T20,T20,Mark Wilson,99,37,45
26,T27,T27,Mark Calcavecchia,72,36,52
27,T27,T27,Brian Davis,103,36,54
28,T27,T27,Steve Lowery,83,36,54
29,T27,T27,Bill Lunde,83,36,49
30,T27,T27,John Rollins,92,36,41
31,T27,T27,Heath Slocum,95,36,52
32,T27,T27,Marc Turnesa,77,36,48
33,T34,T34,Glen Day,79,35,45
34,T34,T34,Tim Herron,87,35,43
35,T34,T34,Cliff Kresge,78,35,40
36,T34,T34,Hunter Mahan,94,35,40
37,T34,T34,Brett Quigley,92,35,46
38,T34,T34,Webb Simpson,94,35,44
39,T34,T34,Chris Stroud,88,35,44
40,T41,T41,Briny Baird,89,34,41
41,T41,T41,Jeff Overton,92,34,40
42,T41,T41,Aron Price,89,34,50
43,T41,T41,Brian Vranesh,51,34,37
44,T45,T45,Cameron Beckman,87,33,44
45,T45,T45,Alex Cejka,82,33,40
46,T45,T45,Joe Durant,62,33,42
47,T45,T45,Steve Flesch,77,33,46
48,T45,T45,Lucas Glover,93,33,45
49,T45,T45,Davis Love III,89,33,42
50,T45,T45,Billy Mayfair,83,33,53
51,T45,T45,George McNeill,82,33,38
52,T45,T45,Tom Pernice Jr.,82,33,42
53,T45,T45,Kenny Perry,92,33,41
54,T55,T55,Charley Hoffman,97,32,41
55,T55,T55,Will MacKenzie,69,32,51
