,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,T1,T1,Nathan Green,104,356,688,51.7
1,T1,T1,Tim Petrovic,97,356,649,54.9
2,3,3,Brian Davis,103,355,691,51.4
3,4,4,Chris DiMarco,97,352,619,56.9
4,5,5,Daniel Chopra,89,344,639,53.8
5,6,6,Charley Hoffman,97,342,640,53.4
6,7,7,Brian Gay,96,340,658,51.7
7,8,8,Michael Letzig,96,339,633,53.6
8,9,9,Webb Simpson,94,332,691,48.0
9,T10,T10,Harrison Frazar,93,324,625,51.8
10,T10,T10,D.A. Points,99,324,608,53.3
11,12,12,Joe Ogilvie,85,321,618,51.9
12,13,13,Jeff Overton,92,317,588,53.9
13,T14,T14,Jeff Klauk,97,314,610,51.5
14,T14,T14,Nicholas Thompson,96,314,590,53.2
15,16,16,Scott McCarron,91,312,590,52.9
16,T17,T17,Steve Marino,98,311,585,53.2
17,T17,T17,Bo Van Pelt,100,311,621,50.1
18,19,19,Matt Bettencourt,98,310,634,48.9
19,20,20,Bill Haas,91,309,585,52.8
20,21,21,John Rollins,92,306,565,54.2
21,22,22,Tim Herron,87,304,576,52.8
22,23,23,Nick O'Hern,90,303,601,50.4
23,24,24,Jerry Kelly,90,300,589,50.9
24,25,25,Ben Crane,93,299,596,50.2
25,T26,T26,Kevin Na,91,296,605,48.9
26,T26,T26,Charlie Wi,92,296,598,49.5
27,T28,T28,Ted Purdy,101,295,622,47.4
28,T28,T28,Mark Wilson,99,295,635,46.5
29,30,30,Justin Leonard,95,292,546,53.5
30,31,31,Jason Dufner,90,291,555,52.4
31,32,32,Kevin Streelman,97,290,597,48.6
32,T33,T33,Charles Howell III,99,289,559,51.7
33,T33,T33,John Senden,100,289,594,48.7
34,T33,T33,Heath Slocum,95,289,565,51.2
35,T33,T33,Vaughn Taylor,88,289,568,50.9
36,T37,T37,Lucas Glover,93,287,574,50.0
37,T37,T37,Zach Johnson,94,287,581,49.4
38,39,39,James Nitties,86,286,550,52.0
39,T40,T40,Ken Duke,87,285,509,56.0
40,T40,T40,John Mallinger,90,285,518,55.0
41,T42,T42,Tom Pernice Jr.,82,284,545,52.1
42,T42,T42,Scott Verplank,88,284,559,50.8
43,44,44,Bob Estes,78,282,521,54.1
44,45,45,Jason Bohn,88,281,542,51.8
45,T46,T46,Freddie Jacobson,83,280,550,50.9
46,T46,T46,George McNeill,82,280,569,49.2
47,48,48,David Toms,98,279,560,49.8
48,T49,T49,Marc Leishman,91,278,583,47.7
49,T49,T49,Steve Lowery,83,278,557,49.9
50,51,51,Troy Matteson,95,277,580,47.8
51,52,52,Jeff Quinney,78,276,526,52.5
52,T53,T53,Davis Love III,89,275,511,53.8
53,T53,T53,Brett Quigley,92,275,523,52.6
54,55,55,Ryuji Imada,85,274,530,51.7
55,56,56,Jonathan Byrd,89,273,531,51.4
56,T57,T57,Kenny Perry,92,272,542,50.2
