,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Aaron Baddeley,66,64.96,254,165
1,2,2,Joe Ogilvie,85,64.06,320,205
2,3,3,Brian Gay,96,63.58,346,220
3,4,4,Padraig Harrington,66,63.27,196,124
4,5,5,Bryce Molder,69,63.23,223,141
5,6,6,Colt Knost,71,62.56,227,142
6,7,7,Hunter Mahan,94,62.38,303,189
7,8,8,Kevin Sutherland,96,62.13,301,187
8,9,9,Tiger Woods,64,62.09,182,113
9,10,10,Ángel Cabrera,55,62.03,158,98
10,11,11,Jason Day,61,62.01,179,111
11,T12,T12,Harrison Frazar,93,61.72,337,208
12,T12,T12,Ryan Palmer,78,61.72,303,187
13,14,14,Spencer Levin,75,61.62,271,167
14,15,15,Brandt Snedeker,81,61.48,270,166
15,T16,T16,Woody Austin,84,61.39,360,221
16,T16,T16,Mike Weir,85,61.39,303,186
17,18,18,Mark Calcavecchia,72,61.09,275,168
18,19,19,Parker McLachlin,71,60.88,317,193
19,20,20,Ryan Moore,89,60.81,347,211
20,21,21,Freddie Jacobson,83,60.67,300,182
21,22,22,Matt Jones,56,60.66,183,111
22,23,23,Luke Donald,79,60.63,254,154
23,24,24,Nathan Green,104,60.44,412,249
24,25,25,George McNeill,82,60.12,321,193
25,T26,T26,Cliff Kresge,78,60.0,300,180
26,T26,T26,Webb Simpson,94,60.0,395,237
27,28,28,Brad Adamonis,70,59.91,232,139
28,29,29,Mark Wilson,99,59.75,395,236
29,30,30,Andres Romero,58,59.61,203,121
30,31,31,Stephen Ames,77,59.48,232,138
31,32,32,Steve Marino,98,59.36,342,203
32,33,33,Matt Kuchar,82,59.35,310,184
33,34,34,Richard Johnson,85,59.24,314,186
34,35,35,Brian Vranesh,51,59.11,203,120
35,36,36,Eric Axley,71,58.91,258,152
36,37,37,Paul Goydos,79,58.9,292,172
37,38,38,Brian Davis,103,58.82,408,240
38,39,39,Tim Clark,81,58.8,250,147
39,40,40,Bill Lunde,83,58.75,320,188
40,41,41,Dustin Johnson,85,58.67,271,159
41,42,42,Jeff Overton,92,58.66,358,210
42,43,43,Jeff Maggert,79,58.64,324,190
43,44,44,Steve Lowery,83,58.6,343,201
44,45,45,Stewart Cink,79,58.58,239,140
45,46,46,Ben Curtis,63,58.52,176,103
46,T47,T47,Zach Johnson,94,58.51,323,189
47,T47,T47,David Mathis,82,58.51,335,196
48,49,49,Brendon Todd,53,58.43,178,104
49,50,50,Johnson Wagner,81,58.31,307,179
50,51,51,Jim Furyk,86,58.17,263,153
51,52,52,Retief Goosen,74,58.11,222,129
52,53,53,Leif Olson,51,58.08,198,115
53,54,54,Marc Leishman,91,58.04,367,213
54,55,55,Cameron Beckman,87,57.96,314,182
55,56,56,Chris Riley,77,57.77,251,145
56,57,57,Charlie Wi,92,57.74,336,194
57,58,58,Anthony Kim,76,57.69,260,150
58,T59,T59,Jerry Kelly,90,57.51,313,180
59,T59,T59,Kevin Streelman,97,57.51,386,222
60,61,61,Jeff Klauk,97,57.42,364,209
61,62,62,Pat Perez,74,57.38,244,140
62,63,63,Scott Piercy,85,57.36,326,187
63,64,64,Nick Watney,86,57.28,302,173
64,65,65,Ian Poulter,59,57.22,180,103
65,66,66,K.J. Choi,65,57.21,215,123
66,67,67,Kevin Na,91,57.14,350,200
67,68,68,Scott McCarron,91,57.1,324,185
68,69,69,Brad Faxon,59,57.02,228,130
69,70,70,Bob Heintz,59,56.95,223,127
70,71,71,Lucas Glover,93,56.94,353,201
71,72,72,Aron Price,89,56.92,325,185
72,73,73,Robert Garrigus,83,56.54,306,173
73,74,74,Briny Baird,89,56.42,296,167
74,75,75,Tommy Armour III,58,56.4,250,141
75,76,76,Ryuji Imada,85,56.39,305,172
76,77,77,Tim Herron,87,56.27,327,184
77,78,78,Jason Bohn,88,56.23,329,185
78,79,79,Tom Pernice Jr.,82,56.19,315,177
79,80,80,Geoff Ogilvy,78,56.18,251,141
80,81,81,Ted Purdy,101,56.17,381,214
81,T82,T82,Tim Petrovic,97,56.12,376,211
82,T82,T82,Darron Stiles,52,56.12,196,110
83,84,84,Kenny Perry,92,56.1,328,184
84,85,85,Greg Chalmers,85,56.09,312,175
85,86,86,Ben Crane,93,56.08,362,203
86,T87,T87,Bo Van Pelt,100,56.07,387,217
87,T87,T87,Matt Weibring,65,56.07,239,134
88,89,89,Bill Haas,91,55.87,358,200
89,T90,T90,Jeff Quinney,78,55.84,308,172
90,T90,T90,David Toms,98,55.84,317,177
91,92,92,Brian Bateman,55,55.78,199,111
92,93,93,Todd Hamilton,83,55.68,273,152
93,94,94,Y.E. Yang,83,55.66,309,172
94,95,95,Steve Stricker,81,55.64,257,143
95,T96,T96,Carl Pettersson,86,55.59,295,164
96,T96,T96,John Rollins,92,55.59,340,189
97,98,98,Corey Pavin,73,55.51,227,126
98,99,99,Jay Williamson,69,55.5,218,121
99,100,100,Steve Flesch,77,55.44,294,163
100,T101,T101,Chad Campbell,90,55.41,296,164
101,T101,T101,Vaughn Taylor,88,55.41,314,174
102,103,103,Marc Turnesa,77,55.29,293,162
103,104,104,Daniel Chopra,89,55.25,362,200
104,105,105,Justin Rose,71,55.19,241,133
105,106,106,Jason Dufner,90,55.18,328,181
106,107,107,John Mallinger,90,55.17,290,160
107,108,108,Bob Estes,78,55.09,285,157
108,109,109,David Duval,56,55.05,218,120
109,110,110,Nicholas Thompson,96,54.89,368,202
110,111,111,Casey Wittenberg,71,54.78,230,126
111,112,112,Rich Beem,77,54.76,252,138
112,113,113,Rory Sabbatini,81,54.73,296,162
113,114,114,Jimmy Walker,74,54.65,269,147
114,115,115,Gary Woodland,53,54.6,163,89
115,116,116,Steve Elkington,70,54.51,266,145
116,117,117,Kevin Stadler,65,54.41,204,111
117,118,118,James Nitties,86,54.38,320,174
118,119,119,Brett Quigley,92,54.31,313,170
119,120,120,Martin Laird,72,54.29,280,152
120,T121,T121,Jarrod Lyle,65,54.27,199,108
121,T121,T121,Patrick Sheehan,51,54.27,164,89
122,T121,T121,Scott Verplank,88,54.27,328,178
123,124,124,Nick O'Hern,90,54.16,373,202
124,125,125,Charles Howell III,99,54.11,353,191
125,126,126,Charley Hoffman,97,54.09,379,205
126,127,127,J.J. Henry,97,54.02,348,188
127,128,128,Matt Bettencourt,98,53.97,378,204
128,129,129,Boo Weekley,79,53.95,291,157
129,130,130,Phil Mickelson,66,53.81,197,106
130,131,131,Davis Love III,89,53.75,320,172
131,132,132,Scott Sterling,51,53.69,149,80
132,133,133,Sergio Garcia,59,53.55,183,98
133,134,134,Chez Reavie,81,53.52,284,152
134,135,135,Troy Matteson,95,53.46,361,193
135,136,136,John Merrick,91,53.42,292,156
136,137,137,Greg Owen,97,53.14,382,203
137,138,138,Michael Letzig,96,53.03,347,184
138,139,139,Michael Allen,73,52.99,234,124
139,140,140,Rod Pampling,72,52.83,265,140
140,141,141,Dean Wilson,81,52.81,303,160
141,142,142,Derek Fathauer,63,52.68,224,118
142,143,143,Mathew Goggin,76,52.55,255,134
143,144,144,Bubba Watson,73,52.47,223,117
144,145,145,Justin Leonard,95,52.41,311,163
145,146,146,Heath Slocum,95,52.33,386,202
146,147,147,Chris DiMarco,97,52.3,348,182
147,148,148,Sean O'Hair,80,52.24,268,140
148,149,149,Peter Lonard,86,52.03,344,179
149,150,150,Camilo Villegas,76,52.02,248,129
150,151,151,Kent Jones,73,52.0,250,130
151,152,152,Charles Warren,63,51.97,229,119
152,153,153,Ken Duke,87,51.89,291,151
153,154,154,Chris Stroud,88,51.88,293,152
154,155,155,Fred Couples,54,51.81,193,100
155,156,156,Greg Kraft,51,51.76,170,88
156,T157,T157,Lee Janzen,74,51.67,240,124
157,T157,T157,Kirk Triplett,60,51.67,240,124
158,159,159,John Senden,100,51.56,384,198
159,160,160,Tag Ridings,50,51.55,161,83
160,161,161,Mark Brooks,55,51.53,163,84
161,162,162,Bart Bryant,58,51.16,215,110
162,163,163,Kris Blanks,60,51.1,227,116
163,164,164,Rick Price,54,51.02,196,100
164,165,165,Ernie Els,70,50.81,246,125
165,166,166,Peter Tomasulo,61,50.77,195,99
166,167,167,Alex Cejka,82,50.48,311,157
167,168,168,Robert Allenby,71,50.42,238,120
168,169,169,Brendon de Jonge,90,50.28,356,179
169,170,170,Rocco Mediate,79,50.18,271,136
170,171,171,J.B. Holmes,74,50.0,312,156
171,172,172,Glen Day,79,49.81,259,129
172,173,173,D.A. Points,99,49.71,344,171
173,174,174,Vijay Singh,71,49.57,230,114
174,175,175,Will MacKenzie,69,49.1,279,137
175,176,176,Jason Gore,74,48.84,258,126
176,177,177,D.J. Trahan,96,48.59,354,172
177,178,178,Jonathan Byrd,89,48.02,329,158
178,179,179,Billy Mayfair,83,47.89,284,136
179,180,180,Adam Scott,53,47.67,172,82
180,181,181,Joe Durant,62,47.22,216,102
181,182,182,Stuart Appleby,79,46.99,249,117
182,183,183,Tom Lehman,55,45.67,127,58
183,184,184,Ricky Barnes,67,44.72,199,89
